"","Language","CanonicalName","CommonName","IndexFG","n","ScientificName2023","Genus2023","Family2023","Order2023","ScientificName1974","Genus1974","Family1974","Order1974","ScientificName2021","ScientificNameV3","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","IsoPer","zIsoPer","tSNE1per","tSNE2per","VarPer","IsoPhy","zIsoPhy","Iso23","zIso23","Iso74","zIso74","cBlack","cWhite","cYellow","cBlue","cRed","cGreen","cElaboration","cDiversity","IsoCol","zIsoCol","zcElaboration","zcDiversity","VarPhy"
"1","Anindilyakwa","Cuculus optatus","Oriental Cuckoo","Ani.47",7,"Cuculus optatus","Cuculus","Cuculidae","Cuculiformes","Cuculus saturatus","Cuculus","Cuculidae","Cuculiformes","Cuculus optatus","Cuculus optatus",24.8,15.3,6.4,7.5,21.6,182.6,87.4,95.3,47.8,146.4,87,0.27,-1.06,-0.0546139139995664,0.377013075871389,1.18239652338141,57.51,0.3,2,0.48,1,-0.8,0.1997855335,0.2686724575,0.0089876185,7.91e-05,0.0015223785,0.0002197205,29.19085298,53.5,0.29,-0.36,0.01,0.68,105.684236300099
"2","Anindilyakwa","Ixobrychus dubius","Little Bittern","Ani.29",4,"Ixobrychus dubius","Ixobrychus","Ardeidae","Pelecaniformes","Ixobrychus dubius","Ixobrychus","Ardeidae","Ciconiiformes","Ixobrychus dubius","Ixobrychus minutus",51.2,34,5.7,8.1,42.1,131.5,43.8,87.7,33.3,41.5,83.9,1.66,1.33,-0.364056281713169,1.20650955612851,1.52513491917985,82.5,1.1,1,-0.82,2,0.56,0.221245928,0.214499622,0.207226775,0,0.00108599,3.29e-05,30.80500968,50,1.52,2.15,0.27,0.47,104.131979753204
"3","Tzeltal","Cantorchilus modestus","Cabanis's Wren","Tze.63",2,"Cantorchilus modestus","Cantorchilus","Troglodytidae","Passeriformes","Thryothorus modestus","Thryothorus","Troglodytidae","Passeriformes","Cantorchilus modestus","Thryothorus modestus",18,11.2,3.4,3.8,24.1,57.1,5.2,53.6,8.8,52.4,17.6,0.92,0.22,-5.37082036663806,-1.03427994928332,0.678295432197177,21.36,-0.58,2,0.56,2,0.47,0.070876167,0.196053004,0.02761011,0,9.44e-05,2.36e-05,22.227654,45,0.18,-0.8,-1.09,-0.23,21.3586155117867
"4","Tzeltal","Saltator grandis","Cinnamon-bellied Saltator","Tze.94",1,"Saltator grandis","Saltator","Thraupidae","Passeriformes","Saltator coerulescens","Saltator","Fringillidae","Passeriformes","Saltator grandis","Saltator coerulescens",22.3,14.3,9.2,11.1,26.1,99.1,14.6,86.2,14.5,97.9,54.9,0.72,-0.27,1.45725976436043,0.819008063438551,0,18.54,-0.67,1,-0.97,1,-1.08,0.091848692,0.081830408,0.017864126,3.173e-05,0,0,20.88166119,36,0.21,-0.73,-1.28,-0.68,0
"5","Anindilyakwa","Sula leucogaster","Brown Booby","Ani.1",1,"Sula leucogaster","Sula","Sulidae","Suliformes","Sula leucogaster","Sula","Sulidae","Pelecaniformes","Sula leucogaster","Sula leucogaster",100.9,86.9,20.5,30.1,35.7,388.6,232,159,59.3,204.4,1288.8,1.42,0.93,-0.0181537986382853,-5.90885932548017,0,81.16,1.06,3,1.77,3,1.92,0.578854623,0.07071003,0.021721434,0.000598016,9.922e-05,0.00011731,30.15588904,31,0.53,0.14,0.17,-0.7,0
"6","Anindilyakwa","Fregata ariel","Lesser Frigatebird","Ani.2",1,"Fregata ariel","Fregata","Fregatidae","Suliformes","Fregata ariel","Fregata","Fregatidae","Pelecaniformes","Fregata ariel","Fregata ariel",91.4,76.8,19.9,17.2,14.9,513,333,183.5,64.6,277,804.3,1.73,1.46,-0.277229094784483,-6.16709193440686,0,100.36,1.67,3,1.77,3,1.92,0.744981624,0.02399387,0.000111405,0,0.093507907,0,38.83096902,37,1.67,2.46,1.58,-0.33,0
"7","Anindilyakwa","Pandion haliaetus","Osprey","Ani.3",1,"Pandion haliaetus","Pandion","Pandionidae","Accipitriformes","Pandion haliaetus","Pandion","Pandionidae","Falconiformes","Pandion haliaetus","Pandion haliaetus",47,27.7,17.3,19.6,49.8,468.4,204.8,253,44.9,201.3,1483.2,0.84,-0.08,-0.281146206213369,-5.13245755512366,0,136.48,2.83,3,1.77,3,1.92,0.3588439735,0.225460412,0.0004838705,2.17e-05,0,8.05e-06,28.57347404,35.2,0.38,-0.17,-0.09,-0.44,0
"8","Anindilyakwa","Haliastur indus","Brahminy Kite","Ani.4",1,"Haliastur indus","Haliastur","Accipitridae","Accipitriformes","Haliastur indus","Haliastur","Accipitridae","Falconiformes","Haliastur indus","Haliastur indus",48.8,24.4,12.9,17,48.2,399.8,147,257.2,36.4,203.8,529,0.95,0.1,-0.350839765477674,-4.41072809917872,0,35,-0.42,1,-0.82,1,-0.8,0.113106608,0.124459927,0.017236679,5.64e-06,0.0001745,1.128e-05,27.42497777,39.75,0.08,-0.77,-0.27,-0.16,0
"9","Anindilyakwa","Icthyophaga leucogaster","White-bellied Sea-Eagle","Ani.5",1,"Icthyophaga leucogaster","Icthyophaga","Accipitridae","Accipitriformes","Haliaeetus leucogaster","Haliaeetus","Accipitridae","Falconiformes","Haliaeetus leucogaster","Haliaeetus leucogaster",71.3,39.2,18.5,24.9,86,556.7,231.8,330.2,41.3,253.3,2827,0.92,0.06,-0.0371605089525748,-6.16365792836614,0,31.74,-0.53,2,0.48,2,0.56,0.100650858,0.34338685,0.00238536,0,0,0,28.37150997,28,0.24,-0.45,-0.12,-0.88,0
"10","Anindilyakwa","Hydroprogne caspia","Caspian Tern","Ani.6",2,"Hydroprogne caspia","Hydroprogne","Laridae","Charadriiformes","Hydroprogne caspia","Hydroprogne","Laridae","Charadriiformes","Hydroprogne caspia","Sterna caspia",78.7,49.1,10.4,19.2,42.6,410.7,268.2,143.1,65.1,148.7,655,1.27,0.66,0.401843447738645,-4.92578876339672,0.685793703344583,11.78,-1.17,2,0.48,2,0.56,0.073035246,0.782341666,0.000195595,0,0.023041114,0,39.88758459,41,0.27,-0.39,1.75,-0.09,16.6317715583689
