"","Gavia immer","Gavia stellata","Morus bassanus","Nannopterum auritum","Botaurus lentiginosus","Anser caerulescens","Anas rubripes","Anas acuta","Anas crecca","Spatula discors","Bucephala clangula","Bucephala islandica","Aythya collaris","Aythya marila","Aythya affinis","Clangula hyemalis","Histrionicus histrionicus","Somateria mollissima","Somateria spectabilis","Melanitta perspicillata","Mergus serrator","Mergus merganser","Larus argentatus","Larus hyperboreus","Larus marinus","Rissa tridactyla","Stercorarius pomarinus","Sterna hirundo.1","Sterna paradisaea","Alca torda","Uria lomvia","Uria aalge","Alle alle","Cepphus grylle","Fratercula arctica","Buteo lagopus","Haliaeetus leucocephalus","Pandion haliaetus.1","Falco columbarius","Bubo scandiacus","Aegolius funereus","Surnia ulula","Asio flammeus","Canachites canadensis","Bonasa umbellus","Lagopus muta","Charadrius semipalmatus","Charadrius vociferus","Calidris melanotos","Numenius phaeopus.1","Actitis macularius","Tringa solitaria","Tringa melanoleuca","Calidris minutilla","Phalaropus lobatus","Phalaropus fulicarius","Megaceryle alcyon","Picoides arcticus","Empidonax flaviventris","Setophaga magnolia","Empidonax traillii","Eremophila alpestris","Tachycineta bicolor","Perisoreus canadensis","Corvus corax","Poecile hudsonicus","Sitta canadensis","Euphagus carolinus","Quiscalus quiscula","Pinicola enucleator","Zonotrichia leucophrys","Zonotrichia albicollis","Regulus satrapa","Passerella iliaca","Plectrophenax nivalis","Branta canadensis","Chordeiles minor","Lagopus lagopus","Setophaga petechia","Turdus migratorius","Loxia leucoptera","Phalacrocorax carbo.1","Branta bernicla","Pluvialis dominica","Picoides dorsalis","Colaptes auratus","Melanitta deglandi","Melanitta americana","Larus glaucoides","Bubo virginianus","Strix varia","Corvus brachyrhynchos","Acanthis flammea","Loxia curvirostra","Circus hudsonius","Riparia riparia","Gallinago delicata"
"Gavia immer",0,1.97033453970341,3.32125144115707,2.37412062069553,2.36957991862457,2.13413886408877,2.42377673232605,3.27961596293411,4.14843555849181,3.85694808907499,3.85677358456185,3.69343871063454,3.42289744797413,3.30944016856009,3.40735606353016,4.14159882414779,4.33780012801883,2.42643713883025,3.0835353943028,3.09370915457615,2.5513596373605,2.34854728958464,2.83809464106109,2.80552216089285,2.78417133814337,3.98514726589803,3.77401036282534,5.43989169809488,6.01329941064665,3.72218554298193,3.29541389891911,3.23989603752866,6.31718013189067,4.46821830728737,4.07276082741638,3.93398718340874,3.90533581676209,3.41554523934451,5.26264560838675,3.51202627991887,5.91331711396513,5.11073130696934,4.27650911735469,5.158054108616,4.86529560341165,5.33845191759245,7.48374238121857,6.02257904269755,5.94843722073305,3.03775756642054,7.04531840339383,6.10830831194814,3.80826597059834,7.89172373352708,7.26292046564839,6.29166045762416,5.26587509140781,5.97120379958961,8.95991734885584,9.61307741286507,8.73550085752853,7.30453939666286,8.63084323759134,6.25518686373617,3.30745995189191,9.63442807695275,9.12083853258417,6.37068319670811,5.45262870192398,6.7605569983547,8.03647395628241,8.36446790341829,10.2972431937889,7.74991892487822,7.31711212644415,2.51343647749291,7.74274959270691,4.83368794906595,9.32374978781115,6.16457145242749,7.31151828179963,2.32374981743933,2.82239997905262,5.32582534139072,6.20298750258163,5.2313382052179,2.91751007665096,3.36718884605402,3.11673131849891,3.62296201409111,4.08772081528571,3.31563853064835,8.53167264791912,6.78715457735924,4.08012139619244,9.29571781213303,4.86990869210778
"Gavia stellata",1.97033453970341,0,4.59693505023872,2.71098818455272,2.35302403676678,2.95223538993715,2.12002292142429,2.77471350521025,2.77667789075403,2.71352340359398,2.7248794372897,2.6234573844627,2.35426728251345,2.39038674650869,2.33026770343966,3.24148080141152,3.01588754378437,2.17270185640688,2.24436450602919,2.40163562649838,1.4060556124959,1.83636686474502,3.05771294641389,3.39778876333774,3.42691781916264,2.9377519738253,3.22165457591945,4.29190206478727,4.97445210761032,2.85394105151728,1.8233952007251,1.9593755976104,4.58771605378059,2.73539801183923,2.97167667949673,3.92014546433156,5.08176716506838,3.7263859046839,3.90815796789251,3.78584629180963,4.49614098222357,4.16079334501634,3.34954419021936,3.75614522307506,3.71202185430443,3.79414908291562,5.65431405088605,4.29390756342949,4.17783870724994,2.34199421637215,5.20626256353905,4.30987738666261,2.40465424531399,6.02767336190041,5.43382866208568,4.50286896677776,4.28209576966086,4.57831488984861,7.21145128037555,7.8177392133405,7.01806187291716,5.53620643331413,6.82301491374967,5.01359245227611,4.12239695453567,7.88714814852434,7.29542598976149,4.76764256084459,4.17239674803685,5.27734927092389,6.3611112129143,6.72699167918038,8.45601879611528,6.09820229104251,5.57921848204708,2.84272013545055,6.11863513113866,3.52356227407147,7.51592990872466,4.58029292760827,5.63852952413762,2.95257187747011,2.20488252001497,3.59337718808725,4.68931607631859,3.99019347822926,2.49423942515639,2.47565128845561,2.89434860576651,3.71771738577386,3.93323033264245,3.09776419832099,6.81021972652204,5.19649129212088,3.70046362078424,7.47258690188891,3.4078800229849
"Morus bassanus",3.32125144115707,4.59693505023872,0,3.01057710387392,4.20451603009793,2.35389179320253,3.41482225604153,3.47916646455586,5.27350289712343,4.82322774972142,4.84566471712666,4.74322016237983,4.72183077516577,4.59615524360301,4.72753844778144,4.58184449944399,5.32909173093561,3.5945143732928,4.24213883430533,4.10774355734455,4.1707578429365,3.58985777077463,3.02872829863353,2.68350179687315,2.72074279962756,4.7384295773101,4.15678754748486,5.7938982352415,6.00978834450006,4.53289230858106,5.13949268114992,4.87471331192729,7.85182561408868,6.25546906444779,5.61735325386709,3.98336260812866,2.69207922973577,3.05033826478,6.09528306858678,3.49011651004305,7.01278706863646,5.57242841363752,4.90525349757293,6.3652350687415,5.74317690215008,6.55443619196884,8.84313921276333,7.27870156166807,7.40103259191888,4.15817526947411,8.56004603522025,7.66334817436949,5.33100431218963,9.55436290892691,8.69514684045867,7.771102924927,6.01131471872102,7.12060808476581,10.3866478482397,11.2026677263507,10.1308856199155,8.64120985309959,9.7798619652297,7.37632353468677,2.5451980740302,11.1215657384628,10.7417885465552,7.76843106520698,6.6597311769226,7.88600775345218,9.49428717136667,9.80688998164779,11.9005205061755,9.15707777947502,8.63966155254871,3.02894781733365,8.55948184605179,5.97275808810275,10.9377728483082,7.54152149920865,8.64518308738678,3.00308583626175,3.82973985601449,6.73209352108717,7.42071774390217,6.41089789354752,3.79118866842873,4.43376730438189,3.55894503338272,4.12139729561099,4.54935729550877,3.79246805406922,9.86022966721049,8.03746024499783,4.42051921819097,10.4603840912955,6.38814221524446
"Nannopterum auritum",2.37412062069553,2.71098818455272,3.01057710387392,0,1.7242718826186,1.77661337082409,2.23739026455804,2.39362967368937,3.71430774057158,3.4290763239113,3.17534014688029,2.86476054088073,3.13609597434035,3.16535677793803,3.27626862821863,2.92868590507317,3.48216932867047,1.78812515788863,2.5520600292332,2.73743071454582,2.22708368415756,1.32045485007852,1.95846562874856,1.83107334745797,1.9399732230373,3.27789745394126,2.65175776955932,4.71485520040605,5.08264471098589,3.18693098098487,3.48895212409399,3.50949224496179,6.04835805065727,4.0709452586155,4.14252821543927,2.24615679681739,2.84348834889881,1.86435789374173,4.14953789696428,1.88588749706788,4.64710031028244,3.45570123209136,2.96350319309634,3.90524177026887,3.35991492654416,4.42146438342177,6.94456988923306,5.24343931835812,5.50964060889272,2.63232370912857,6.46512473982629,5.6380879299614,3.35228832068855,7.31378357986567,6.70321033422441,5.86064939452405,4.18597713486528,4.71547946320175,8.02208747498408,8.74289639861689,7.74337496363596,6.37368682177286,7.91656248988159,4.71099098549639,1.73128918128891,8.63794939179437,8.39744832295784,5.21967095438672,4.05794813049028,5.61465116484668,7.0061534952169,7.30679792509157,9.47311054165878,6.72681917932826,6.41948661451917,1.81169621785617,6.87795741850369,3.6375031801606,8.50495111112778,4.97370205001134,6.48053302004235,0.640779129667942,2.22480916848031,4.90613696725402,5.07359069210104,3.81567014592007,2.50414244112987,2.76968992272312,2.16714265468871,1.89263102490889,2.15696367196189,1.28890826539764,7.61281906662157,5.98805134436432,2.51438999400369,8.60896282807045,4.54087256808597
"Botaurus lentiginosus",2.36957991862457,2.35302403676678,4.20451603009793,1.7242718826186,0,2.85551201432614,2.72242471942536,3.39590101867715,3.92198092100484,3.67222937537146,3.6756553363623,3.34704693860755,3.23683414111666,3.32174650984913,3.4052954690383,3.76130785399198,3.92376180738247,2.40874056354881,3.10949037824936,3.16691993164038,2.3936782318736,1.99368661909064,3.17106498698596,3.13255261814601,3.19343051305596,4.0413965921241,3.7186352751872,5.38688547248304,5.90898191624946,3.83856843394927,3.5073820243336,3.59923954059838,5.96766643992563,3.8735908019717,4.20008840237196,3.39085813209511,4.01135440845143,3.27687858348933,4.62785249129693,3.18866259115917,4.78592808932642,4.19264668416869,3.74522343829454,4.14097681229958,3.80878535592771,4.77070358024604,6.94369025818911,5.35506539776436,5.37991288549792,2.66865025687728,6.2320490932281,5.3742465441869,3.08061581420391,6.92417828715176,6.52878179064002,5.65025250367861,4.26791259618101,4.45362308722201,7.64337848416017,8.28496477290218,7.38367316472088,6.2647489048002,7.99986125129737,4.4797161281031,2.85443823781711,8.25596170531708,7.93820170987091,4.93737375026764,3.80803682627998,5.53603091009591,6.67350936470956,6.93346413218719,9.06935320557798,6.45232891494679,6.35179539306849,2.85409051503721,7.31310457810573,3.99673018596997,8.03841091570916,4.76858649671972,6.2864016218246,1.68381921209563,2.98577953900482,5.00593357589522,4.83546491014961,3.54498608739092,3.07358631836674,3.15054504839454,3.24435760225169,2.70531236589375,2.90089018846791,2.09711349711372,7.39379309090356,5.83036219033496,3.38261738062659,8.64985826753635,4.13287268426286
"Anser caerulescens",2.13413886408877,2.95223538993715,2.35389179320253,1.77661337082409,2.85551201432614,0,2.12783705171324,2.40879682847049,4.02568195686569,3.66806862430681,3.25736361214444,3.00906708823674,3.33536420484341,3.15967572418171,3.32252789717695,3.15809037454175,3.74000229809882,1.819141755626,2.43278370427446,2.63944830243641,2.89047307667393,2.17141976596499,1.68256853814572,1.41457738549936,1.48955289195458,3.47388689204285,2.69712330066954,5.09095215594083,5.45366678772178,3.24270705775517,3.67941658747666,3.71224570654025,6.34152527822513,4.73750292073434,4.24903714204273,2.42480563104457,2.53605557828002,1.72581267410279,4.47754337962677,1.91088987205406,5.3734459436589,4.11761163869941,3.20251274339436,4.59144302163869,4.06277043966206,4.83188807537475,7.38439274747311,5.82406339756267,6.17315567665298,3.44499065941439,7.22544501524212,6.41573861119095,4.19299730998639,8.15423321770241,7.46092887013443,6.59177664029752,5.22519469231464,5.78920511746999,8.86716362263651,9.64189516508092,8.60111085768899,7.08075054586095,8.3682795349828,5.80085266170473,1.95772646569508,9.56961022508673,9.25988020828381,6.23495568462177,5.21619178222969,6.39075841857876,7.90581800079961,8.22025615838094,10.3231124532447,7.54635807665271,7.06134931173282,0.953028790486864,7.22581155065723,4.17670714858706,9.37177302547981,5.92136704952314,7.26308503231733,1.95753996270401,1.8756423967867,5.28276102860343,6.07836622658704,5.0854411350741,2.20380912417912,2.81833629120761,2.11447849732351,2.41503123226538,2.99277149274174,2.3420330036351,8.35504849265776,6.67866593831685,2.73497817806082,9.05323121859741,5.4763483565129
"Anas rubripes",2.42377673232605,2.12002292142429,3.41482225604153,2.23739026455804,2.72242471942536,2.12783705171324,0,1.48950597769022,2.22471801985635,1.77569154801255,1.89813361404409,1.82860072153182,1.37478533088836,1.22732951449575,1.37775123679194,2.20609908476485,2.47942506534231,1.06647723665755,1.37053608464999,0.975250396728246,1.65056270741955,1.56867706117334,2.76878145276944,2.95192057332441,3.06583979067341,2.93547698188362,3.02893263823979,4.15914191611799,4.65070499008365,2.18356773775147,2.04155920644895,2.07770378041734,4.70232617355058,3.18930982036447,2.7695500207491,3.52871542170747,4.2738062122103,2.82755433464452,3.69551515500803,3.1328629189709,4.35230627647013,3.6313196041081,3.02998882130126,3.75783100436714,3.43598403979681,3.87754378819333,6.07436540774789,4.77055403063315,4.68341376895046,2.66630493099911,5.77915921121411,5.01262179172358,3.20056194903131,6.62330771841239,5.96736130552921,5.12601094410382,3.65161333963435,4.3714986910277,7.39679149042624,8.23474999379482,7.17456714411229,5.81558507682338,7.00302618880501,4.97072888617704,3.16607587727861,8.22791668460247,7.70506938521209,5.03743684403098,4.16486453817574,5.07080503657634,6.61991991137019,6.93577619783914,8.95078178249335,6.27919744710127,5.76620490222205,2.17761344302385,6.2757049211802,3.38265105868766,7.94099742263507,4.82300666853047,5.74583629536841,2.51083280166056,1.6297244974579,4.20951160771425,4.57128847013048,3.91146544056227,0.90780086600301,1.30536064943641,2.74330086270806,3.25070172304289,3.57767568672313,2.44713711094311,6.94811846459119,5.09798159010325,3.49993165958395,7.64813777328911,3.84711102207141
"Anas acuta",3.27961596293411,2.77471350521025,3.47916646455586,2.39362967368937,3.39590101867715,2.40879682847049,1.48950597769022,0,2.06649003182503,1.76205193701996,1.57251505494295,1.66403607371785,1.95524978381972,2.0362826769464,1.9606637019253,1.35625821136143,1.95254538009614,1.75502537678107,1.59897578703778,1.48823554172916,1.80292828928214,1.65962950329188,2.30469430832552,2.69803735229838,2.82562264059299,1.96066361456359,2.07017503138876,3.09121088128193,3.44920742854526,1.47355573988426,2.33239367963989,2.20160123698101,4.49434178688531,3.13788263112268,2.88026022713094,3.09688656837773,4.38879611288382,2.6229288194258,2.90240595106372,2.91371827484785,3.95552445209725,2.88442632373324,2.2607092605763,3.29200747654672,2.82085371136117,3.2520400681923,5.46862874083371,4.04320284540163,4.23158805121064,2.55283622497951,5.32472239257841,4.6150542973144,2.98786671210882,6.33120929702613,5.50239197519613,4.70811713406747,3.62165753827611,4.28938495292735,7.13911116553583,7.96202173059654,6.90556679193273,5.31207200054188,6.38645747896958,4.77246072026336,3.3182131459557,7.91266038563236,7.49742730327823,4.71563182508729,3.95051897315383,4.7657989132312,6.3092956965155,6.67068324988308,8.60527140427601,5.95657374087471,5.28787347287651,2.37214588113397,5.35881197242311,2.89981043548019,7.68619390444624,4.46846723522907,5.40240229387109,2.89822960273907,1.51094103547796,3.57485716849325,4.43059810060064,3.85091604757376,1.66871036746761,1.66676656695127,2.09197591789874,3.26460590937786,3.39913740801823,2.39525809052953,6.56838883754456,4.83240591578083,2.93005030610557,7.0624704899678,3.81379335706997
"Anas crecca",4.14843555849181,2.77667789075403,5.27350289712343,3.71430774057158,3.92198092100484,4.02568195686569,2.22471801985635,2.06649003182503,0,0.691620040470432,1.40470136841289,1.70641739777798,1.26663315068685,1.6023202843726,1.27506019116184,1.93199074942187,1.36891953228018,2.6789873899551,2.03333367873295,1.8337589762386,2.01781891173332,2.64052379938421,3.96012233632374,4.42677465281085,4.53733142669037,2.49198293134946,3.38175419633728,2.98800137510508,3.52484324527117,1.71744936552713,1.33266794784443,1.47242558781988,2.65549426053604,1.60403640835303,1.89819310589111,4.50174198711042,6.1175029720948,4.21802989290676,2.50529187215758,4.42189198786163,3.09232296022559,3.10609195799316,2.88863252203612,2.80236838552258,2.83711826059998,2.52800864712293,4.03225514416122,3.07898718197779,2.72946279204547,3.01533537711686,3.79369925500681,3.20493893970335,2.68649391578645,4.62379063779745,3.95544504825402,3.26303140002119,2.77241729387995,3.1354446368334,5.53780002445018,6.3645896929214,5.35835424379103,3.91090666393811,4.92885809677144,4.16715382024706,4.88043404039032,6.3980405214418,5.74969082778242,3.54252507672912,3.22978539342846,3.47277423864386,4.90232461179683,5.26977512023229,7.00722006682123,4.56323404754774,3.83947324932613,3.85523755043697,4.55441681334038,2.55408378742183,6.05527084157343,3.42678229146959,3.76132819009544,4.14500308831872,2.5840715956346,2.6382145817961,3.05519508066754,3.14077692912421,2.36996486342292,1.79588210747601,3.55411165859529,4.40263678949464,4.38991653172884,3.42787890679841,4.99705740990303,3.14683218305982,4.11720683335882,5.54877259048461,2.56670430923167
"Spatula discors",3.85694808907499,2.71352340359398,4.82322774972142,3.4290763239113,3.67222937537146,3.66806862430681,1.77569154801255,1.76205193701996,0.691620040470432,0,1.32874236427485,1.63390664145051,0.882685672976219,1.24786385770327,0.922162922807719,1.86182010052101,1.59514303020341,2.33009405681824,1.90598517665352,1.36399537052601,1.88132867088536,2.39723060603174,3.74261467875297,4.15372333856856,4.27164042969454,2.63718549264377,3.34146400243007,3.24318850704982,3.7660721266055,1.68400655776387,1.47294139800183,1.47078002061758,3.18245312357274,2.06430552091206,1.96954177384903,4.38371242227834,5.77058050929642,3.98614783534592,2.86917640270724,4.22058886014314,3.47034974990638,3.28035977871995,2.99040653615234,3.1035423476745,2.98302854243503,2.97950824032742,4.59195431223702,3.57234346807654,3.22956365209845,2.81855055099591,4.30118026472793,3.6817310858686,2.7537454488947,5.15352733499086,4.48651657534595,3.74193267534388,2.84322598920737,3.36858772969485,5.96766346780988,6.82674383222049,5.77804660554059,4.43275814753327,5.48407116495811,4.35559294703896,4.506069190939,6.86860704150046,6.23956281261158,3.92598002815974,3.41008233821807,3.85215813532942,5.32779687248713,5.672077892881,7.5136865919411,4.99391956733665,4.37154833049699,3.57344479027315,5.06484660577018,2.82340580189927,6.52324244264403,3.79105401846973,4.24801830054323,3.83513483558356,2.41472784535581,3.10524554335914,3.38875507737473,3.28437702611102,1.98934409135487,1.47035458304747,3.42204213909106,4.22325880247971,4.28765541591763,3.20965335397158,5.48175465428116,3.60245106340754,4.04989833829879,6.09489331456259,2.75396128994336
