"","Terathopius ecaudatus","Aquila rapax","Circaetus pectoralis","Circus ranivorus","Circus macrourus","Necrosyrtes monachus","Falco biarmicus","Falco cuvierii","Sagittarius serpentarius","Ciconia abdimii","Balearica regulorum","Mycteria ibis","Ardea cinerea","Ardea melanocephala","Ardea purpurea","Ardea alba.1","Bostrychia hagedash","Scopus umbretta","Plectropterus gambensis","Cairina moschata","Alopochen aegyptiaca","Alopochen aegyptiaca.1","Anas erythrorhyncha","Fulica cristata","Charadrius tricollaris","Anarhynchus pecuarius","Charadrius hiaticula","Charadrius dubius","Calidris alpina","Actitis hypoleucos.1","Tringa glareola","Vanellus armatus","Vanellus coronatus","Rhinoptilus chalcopterus","Caprimulgus fossii","Lamprotornis superbus","Centropus superciliosus","Laniarius funebris","Corvus albus","Corvus albicollis","Lybius leucocephalus","Oena capensis","Streptopelia semitorquata","Columba guinea","Spilopelia senegalensis","Hirundo rustica","Hirundo angolensis","Hirundo smithii","Cecropis senegalensis","Cecropis abyssinica","Pseudhirundo griseopyga","Neophedina cincta","Psalidoprocne albiceps","Apus caffer","Tachymarptis melba","Vidua fischeri","Colius striatus","Colius striatus.1","Ploceus jacksoni","Eremopterix leucopareia","Cisticola aridulus","Mirafra rufocinnamomea","Motacilla aguimp","Euplectes axillaris","Euplectes gierowii","Euplectes capensis","Quelea quelea","Lagonosticta senegala","Lagonosticta senegala.1","Uraeginthus angolensis","Vidua macroura","Vidua fischeri.1","Cisticola chiniana","Granatina ianthinogaster","Pytilia afra","Chalcomitra senegalensis","Nectarinia kilimensis","Cinnyris pulchellus","Cinnyris mariquensis","Cinnyris venustus","Chalcomitra amethystina","Hedydipna collaris","Anthreptes orientalis","Passer griseus","Sporopipes frontalis","Charadrius tricollaris.1","Charadrius hiaticula.1","Calidris minuta","Tringa glareola.1","Gallus gallus","Milvus migrans.1","Egretta garzetta.1","Apus apus","Pternistis afer","Numida meleagris","Vidua hypocherina","Prinia subflava","Threskiornis aethiopicus","Treron calvus","Streptopelia decipiens","Psalidoprocne pristoptera","Apus affinis","Prionops plumatus","Pycnonotus barbatus","Euplectes orix","Cinnyris bifasciatus","Cecropis daurica","Apus horus","Emberiza tahapisi","Emberiza tahapisi.1","Ptyonoprogne fuligula","Sarkidiornis melanotos","Porphyrio madagascariensis","Cypsiurus parvus","Bubo africanus","Lanius collaris","Struthio camelus","Anthus cinnamomeus","Motacilla flava","Vidua paradisaea","Vidua paradisaea.1","Crithagra atrogularis","Buteo augur","Riparia paludicola","Ardea brachyrhyncha","Bubulcus ibis","Delichon urbicum"
"Terathopius ecaudatus",0,1.5302691456048,1.58836396463785,2.08241859016006,2.46553126525965,1.57380892868143,1.89232769335392,3.49477866911889,3.35585618673289,1.69408145187557,2.19582883483178,3.47993146763473,2.23083338967178,1.8982605903363,2.17751131085376,2.30071545982016,2.50445523933747,1.8767042012333,1.81596049363002,1.51578719380314,1.14248743272142,1.14248743272142,2.37563292265247,2.97386512826912,5.87266259120442,6.04717450835692,5.67163280518463,6.08991482117482,5.46070474836884,5.51671632437413,5.27122974346177,3.75314154129395,3.94146831482009,4.10979578010153,5.64234838316864,5.09839685290724,4.29975051037538,6.16176267317205,1.40347078128792,1.20332154301287,5.06672899753101,6.50728581578228,4.64575847473039,3.91335610089786,5.70780931523502,6.36990277734332,6.58205819355852,6.95559727498571,5.51338171031748,6.7253338718894,7.37675512815225,5.81766646270245,7.28064149168883,7.24727463052724,5.67476000594307,7.09186928691856,5.50876619932727,5.50876619932727,6.38720748813057,6.76645218961653,8.28714513874796,6.59078953920343,6.04365070267868,5.94376466121968,6.31767545887523,5.98220943568574,6.49606070800548,7.99534179396552,7.99534179396552,7.69251880078628,6.93303272091948,7.09186928691856,7.65435589093308,7.23989238800554,7.04308648626426,7.03438238594174,6.55399913487231,7.47470366642712,6.97982650175184,7.95940124051433,7.03277840815216,7.92925455794575,7.14798821171268,6.06792601573609,6.87459346198713,5.87266259120442,5.67163280518463,6.47133093826602,5.27122974346177,3.32959669031748,1.89876285896323,2.66377036710226,6.64901480105299,3.70128520505136,2.82116312431022,7.12933841193315,7.92118434775103,2.41484810286309,4.05741349031733,4.77134903898253,7.39217998386424,6.94166180673151,5.57676144435131,6.08307731904609,6.31264456458876,7.77057225002745,6.23753099052101,7.05758860706066,6.85509205395723,6.85509205395723,6.39598129353106,1.19381061741668,2.34865659672017,7.84653886829485,2.02880458496023,5.32449433583081,7.64056926641469,6.05638980714214,6.42604855462836,6.38232196279784,6.38232196279784,6.87444288702899,1.73630892868182,7.06829409728945,2.2291782434462,2.54069892794204,6.75520608198734
"Aquila rapax",1.5302691456048,0,0.483956588043388,1.65587879103949,2.29915452492537,0.81489660793177,2.09552021622854,4.00262211057281,2.0716719259053,1.73965895724976,1.28495049557545,3.45647965399894,2.00056491669381,1.87080761353982,2.42482320970843,2.24830381267302,2.34151030266697,1.94021291022904,1.36437056477849,1.43566668052533,1.42812176177166,1.42812176177166,3.21792523596689,3.65593898861716,6.37864850537021,6.67230473575068,6.23146853533727,6.63749522409463,6.15465134574635,6.1042146495228,5.91986568337275,4.19139796505195,4.31972300184262,4.52962392638045,5.9049948224929,5.49574068680962,3.98493948200103,6.27743723485852,1.34830931098543,1.12721546041848,5.51783277545747,6.69662855817246,4.8517273416836,4.18300349975951,5.91945602953773,6.84273976575088,7.11818657820544,7.41218775188425,5.83865910231036,7.05708263221429,7.77256046723089,6.33737381911363,7.6730324258528,7.72824332479997,6.21921407585777,7.5387108677027,5.41593675711572,5.41593675711572,6.80438528909173,7.228843339817,8.64753607936301,6.90742543899118,6.24694583265773,6.23011069462062,6.61027546862619,6.35847034412023,7.0154528405415,8.40328647853535,8.40328647853535,8.05648675907751,7.33398019356943,7.5387108677027,7.90904435643305,7.49808389514389,7.52198944633653,7.4311526297558,6.7605704797812,7.75946209431618,7.37203901061381,8.39419390473357,7.45548476222801,8.34568844059029,7.48271885344726,6.4377761863676,7.22706407434959,6.37864850537021,6.23146853533727,7.15727264448937,5.91986568337275,2.97063248166794,1.35150948338655,3.03416804346688,7.22650903663104,4.06040564740669,2.67226005992887,7.54727772577431,8.20750747460865,2.45460003544379,4.46404994472784,4.89437763095941,7.75337841359946,7.61504433276545,5.75805498671962,6.25908705292997,6.80385878014219,8.21026681962671,6.59243764803525,7.64272764998116,7.18104558992158,7.18104558992158,6.9688220904175,1.87509215173583,2.82826720306123,8.24772071575245,1.88303205486984,5.43891652882522,7.00578708624435,6.38669276470409,6.76126676242272,6.73766223711036,6.73766223711036,7.33068558170865,1.04616407172302,7.60078887759982,2.38064178461454,2.92677331618371,7.26053299182111
"Circaetus pectoralis",1.58836396463785,0.483956588043388,0,1.46298559506743,2.04012541179411,0.872558469634961,1.92900030827212,3.82884470044439,2.06678160501216,1.80662579278391,1.41775915807463,3.63568807246888,2.19995219182401,2.00496276301741,2.57342029294141,2.37936714653706,2.55402618563604,2.01857875530746,1.73324114316672,1.70006564605818,1.63388815346014,1.63388815346014,3.23984732458249,3.6911637148485,6.2501462454783,6.54765645778153,6.09013343198405,6.49554082902482,6.02938507435872,5.98939407896098,5.80332599518844,4.09524916203133,4.21684627723003,4.4376837809495,5.7685908912654,5.46165464824603,4.02686945546876,6.33700813270392,1.34461766598395,1.29750596625214,5.60076271790467,6.55496184003791,4.74396229831306,4.05729170239288,5.81119943614458,6.69928472713887,6.97185284466476,7.24315059820772,5.66994208435738,6.90754457023329,7.61836117510788,6.21439013744557,7.54018851838595,7.53353510501586,6.00703035416666,7.51083994918886,5.36730195778108,5.36730195778108,6.81398142765819,7.20134653342467,8.616638287754,6.91646001080676,6.1841574003897,6.24754045570005,6.66503959279441,6.38890033269733,7.01140476298807,8.40051610274061,8.40051610274061,8.05185789614435,7.31402803810431,7.51083994918886,7.91101529007441,7.51095377578641,7.52997231280352,7.41623320964241,6.73542325499987,7.71763808746654,7.34926082824072,8.38853731844702,7.45556963503542,8.3375513936667,7.46723049008391,6.4377327922369,7.2553089479648,6.2501462454783,6.09013343198405,7.03655398169957,5.80332599518844,3.02899314400377,1.07251922770406,3.08175621728368,7.03550926523086,4.16534991186256,2.81416788489546,7.52521605030062,8.19290071993933,2.60948071515636,4.40426180373343,4.8077863741678,7.60037112610259,7.46924381268774,5.75595581759268,6.25324500388236,6.80803422336984,8.20134242295835,6.4283646596566,7.45583135449619,7.14372826274321,7.14372826274321,6.82941973711725,2.02948157452242,2.9267548925771,8.03149569394892,1.9287622223104,5.42221163020707,7.32197175076548,6.34749514682256,6.68118250158193,6.71857952784626,6.71857952784626,7.28805203499697,1.19334068150387,7.46900256491999,2.46941494632191,2.98477657735926,7.11376890289746
"Circus ranivorus",2.08241859016006,1.65587879103949,1.46298559506743,0,0.802220416218101,1.5793003350879,1.11548193406873,2.67412140564876,2.99617915167476,2.50305428847472,2.27089121968801,4.57498334073713,3.01394465597627,2.54832732399588,2.96302175275033,2.78343480373627,3.0544222772715,2.12044731461921,2.74213727640701,1.99071853684314,1.72374801437902,1.72374801437902,2.62929136467902,2.80819482684859,4.96670400183647,5.27751140888418,4.80249098468243,5.21408828554336,4.94167071859908,4.81973191332407,4.66886976188983,2.90488414062186,2.99468874036338,3.15188032586728,4.43464059534015,4.24324455824067,3.08954613364434,5.28160291872256,1.39252698120573,1.99509699915927,4.69358034562926,5.26088583365492,3.50674027610313,2.8774962686833,4.53848695275552,5.40952003670759,5.69769164173305,5.94848886790173,4.34596218855468,5.57045815821476,6.28268970859902,4.94895232890657,6.22245749695454,6.24958277648747,4.81663852605326,6.30337339384037,4.15651111816776,4.15651111816776,5.66760303690815,6.0055457910235,7.3717187685825,5.74316567271112,4.91539856269349,5.12261927128855,5.60512019611131,5.29914583745329,5.86853141993277,7.21896088514331,7.21896088514331,6.8728363941528,6.11191875793551,6.30337339384037,6.7186402073074,6.35894421940284,6.37665733569309,6.27417469135318,5.59285974187461,6.5010590058884,6.19625290899765,7.22926212364135,6.34800280607333,7.15809186373637,6.28042949364159,5.28389241847402,6.13223172054677,4.96670400183647,4.80249098468243,5.83570627937357,4.66886976188983,2.0406502931196,0.962984169631032,2.72258770104709,5.82508613400467,3.26325333544434,2.13651490041617,6.32289335541223,6.96118633373006,3.26696874187709,3.2169274903841,3.58047809304015,6.27753716711009,6.23679236160726,4.61406902439021,5.07136381055008,5.66678440605956,7.04932981644108,5.10252622498016,6.20644909529739,5.9118987647325,5.9118987647325,5.56602290934952,2.05106449582479,2.3457782166732,6.74177089031998,1.13010331435184,4.24940600436623,7.68240286114444,5.09689463281488,5.38875056515773,5.52327814677207,5.52327814677207,6.06957819439115,1.25061133938277,6.18724690256618,2.30008458184079,2.4085469150768,5.81677184658204
"Circus macrourus",2.46553126525965,2.29915452492537,2.04012541179411,0.802220416218101,0,2.21818492594596,0.977010884613166,2.11317026563626,3.54784327132471,3.0299643562702,2.93531785424882,5.13923646348416,3.65844499953815,3.16903198113211,3.53694106348435,3.40821486784589,3.67352539868343,2.6353851794108,3.40678653621819,2.550861216371,2.27160743988242,2.27160743988242,2.64605133634955,2.87890192242672,4.5744543544532,4.86946221192131,4.3349008844376,4.77745067868257,4.611812450198,4.48350295493891,4.38068504075704,2.78054746602395,2.83852817623468,2.93960633537319,3.97756630944628,4.08322447916468,3.28795350176748,5.33204716997838,1.89636100966133,2.56401441531031,4.73605898614851,4.85246297172877,3.21628150456797,2.59107925920934,4.21669655609543,4.91237330524757,5.20005164271384,5.40074187220092,3.79907538671418,5.07274265483008,5.77412950838149,4.49592360953157,5.75869684013555,5.62256899144231,4.15094436418556,6.07119668285147,3.97761863191924,3.97761863191924,5.53833775634032,5.79487550466226,7.16254259462447,5.63963798457808,4.70612584203151,5.05389530390933,5.59840102699215,5.22434200007158,5.68753584916561,7.02948969773231,7.02948969773231,6.68910798056286,5.90156172921024,6.07119668285147,6.59729140371477,6.22742826504592,6.21333793163546,6.14422514638275,5.48039902992279,6.30844250253854,6.04907835319185,7.08421707957513,6.24138288471203,7.00065029505539,6.13763204062273,5.13359018973128,6.03470720416463,4.5744543544532,4.3349008844376,5.46234583779707,4.38068504075704,2.3643090041876,1.22221868605801,3.13099696809445,5.18891732253175,3.45007695931108,2.57874311698634,6.10456911190451,6.79489242293691,3.83393049480133,2.9599754814673,3.36374148798495,5.76969402649514,5.67565451027627,4.55372861470082,4.96984118760851,5.50998702577648,6.90660340251537,4.57091981663758,5.59282351236155,5.69434067461391,5.69434067461391,5.06620951583027,2.4084521113076,2.69349080564315,6.08290543904307,1.6197012052724,4.1461747786555,8.28356839281366,4.90528018004698,5.11041034025658,5.32295738609796,5.32295738609796,5.80447870778471,2.00750377031788,5.71863035941627,2.85786477350951,2.79088349494618,5.30310153789895
"Necrosyrtes monachus",1.57380892868143,0.81489660793177,0.872558469634961,1.5793003350879,2.21818492594596,0,2.0750299291796,3.84958342565321,2.36817805949237,1.46912535627132,1.40680919000093,3.4245369318399,1.80600197336754,1.56280729469408,2.01379017280263,1.81270783845091,1.94097963048109,1.60981973244175,1.58561811263151,1.23431960826899,1.34908529422053,1.34908529422053,2.96196309645286,3.34806002319392,6.00660173678848,6.30213235255375,5.894591097245,6.26665582591871,5.6869128809541,5.66437669819295,5.44967732196979,3.76356574308651,3.89438831815702,4.20862613621566,5.58963619800185,5.15905803721878,3.77510824079768,6.00553532748234,1.18406783963856,1.35800272360854,5.32010233900821,6.34620016359935,4.47617330030653,3.7875411694908,5.54669479691938,6.53977665521786,6.79944433844628,7.10117330019103,5.54866645547326,6.77334472025156,7.47604541118339,6.05436399337144,7.37897535069649,7.45579696065539,5.95292273911654,7.30695159878432,5.22395432284704,5.22395432284704,6.54983648523995,6.97572208869764,8.31075560356103,6.61795354083025,5.89462961615168,6.00061820385679,6.38071038844257,6.15101487417077,6.78116050937816,8.1599724588189,8.1599724588189,7.8214907003275,7.11004887791599,7.30695159878432,7.59116729082117,7.2775556324566,7.27927866973363,7.02233421582706,6.35580188580099,7.38760642659698,6.9831351454686,8.02658059842778,7.06225642746544,8.00452244179865,7.13581141725381,6.20942598365152,7.00887906861243,6.00660173678848,5.894591097245,6.7534217981283,5.44967732196979,2.73232789285662,1.41077210015462,2.49539957259806,6.96833067364464,3.81819138008031,2.57868668344067,7.31766794849389,7.88445030828716,2.12315506393062,4.17772058399505,4.52398760660814,7.45679391266882,7.37642200219309,5.45560763078417,5.96303714749043,6.56398541551275,7.83469764596312,6.31338071042357,7.36287917686608,6.93228787580421,6.93228787580421,6.67044432378537,1.78286988896003,2.64041448313914,7.98298803636635,1.81545697527118,5.21393413876276,7.07730226036441,6.06249846851996,6.41523281687148,6.52116850714875,6.52116850714875,7.0926629617749,1.12679783338677,7.31276332833993,1.89715366861509,2.4641552690389,6.97812393883883
"Falco biarmicus",1.89232769335392,2.09552021622854,1.92900030827212,1.11548193406873,0.977010884613166,2.0750299291796,0,1.9406477316052,3.73742409796098,2.75302489920698,2.97669667136211,4.8002602736118,3.39566061851676,2.91512535378225,3.21715243815326,3.22480804147336,3.34219278638777,2.24883951704292,3.02351199459071,2.02336427573538,1.73453603402794,1.73453603402794,1.92938780783269,2.62483747664138,4.62501077097437,4.88960014863472,4.39032755134369,4.84896855769323,4.54782151040877,4.44893644339747,4.36745492921837,2.89228963598352,3.00684542212794,3.03659407766459,4.18032253429969,4.01048662382476,3.27229009268229,5.22676295290554,1.4758601133804,2.08957834043295,4.31635041324593,5.0421439933036,3.34799604199763,2.71434503427139,4.37255001593403,4.93641125333265,5.21863403201448,5.48851912351006,3.94076688766869,5.20281213921849,5.89995409731212,4.45016468431759,5.85759381195255,5.77861171052521,4.2589397363928,5.931402190323,4.00346994712644,4.00346994712644,5.34340839884269,5.6457160482409,7.14764701700466,5.54436593957291,4.76711084447695,4.88411293933447,5.3882238775365,4.97037622072973,5.44836642060914,6.87344294241971,6.87344294241971,6.52863662430142,5.7637454095155,5.931402190323,6.56560498191274,6.06682872478198,5.99971266018183,6.05169472838887,5.43720821077733,6.28715626481302,5.94985745765004,6.96743427962104,6.0967846999934,6.89366750599756,6.06882800077317,4.92900805548667,5.83091356025819,4.62501077097437,4.39032755134369,5.42533624256148,4.36745492921837,2.41577009293962,1.20664505357541,2.92706211487593,5.2317642183532,3.1256762464945,2.30787710223194,5.95907315919964,6.77328490230507,3.50784116286157,2.79992855884375,3.4899553619682,5.90989117881055,5.61175133326154,4.46931123398496,4.92632329799568,5.28071629187264,6.7908298826619,4.68803240195578,5.67843079427039,5.61743749020271,5.61743749020271,5.05119088437996,1.66377968073408,2.30183524546467,6.28953388088167,1.35293804530321,4.0645850848857,8.12923543099044,4.87540076765785,5.14825956722524,5.17429712373163,5.17429712373163,5.66363697540072,1.85520622881734,5.72836050992024,2.63925563638638,2.53271440048633,5.33530284827538
"Falco cuvierii",3.49477866911889,4.00262211057281,3.82884470044439,2.67412140564876,2.11317026563626,3.84958342565321,1.9406477316052,0,5.55315348022527,4.35882183548582,4.7580532020539,6.39402683122163,5.04145152192349,4.46121411028932,4.57241696533905,4.65006350373558,4.78853452649731,3.63462797707055,4.83836728090597,3.64370210518875,3.34124632182596,3.34124632182596,2.19495209733246,2.56880255857147,3.02067456388034,3.22664642451679,2.66350201488788,3.17232628116776,3.20885641892367,3.02643040835842,3.09745535304877,2.32831542793309,2.36908920447648,2.13001202002765,2.6967617663421,2.90285955836638,3.45247531711933,4.57530926971282,3.15177250536402,3.85350890434656,3.70196318082108,3.60787939422434,2.35266639708975,1.99135673600526,3.1210456790041,3.15129088651268,3.41329349125026,3.66923923500433,2.24267825908873,3.48811107814183,4.12529093391963,2.70539081037102,4.147946416032,3.93980716888174,2.49406905439206,4.52486880543608,3.194764682339,3.194764682339,4.17722128203765,4.28118988886722,5.76958105523058,4.44835304078066,3.58799300354246,3.931711011916,4.53651965606085,3.98038718488613,4.15055432166575,5.52986935845233,5.52986935845233,5.22314953909577,4.42200935532362,4.52486880543608,5.41355464041117,4.92917559981295,4.71226463153603,4.88083626842791,4.42534061365332,5.01180133802538,4.74641504865413,5.69845305247517,4.96157997717256,5.60095380765495,4.86587717810958,3.76562856272975,4.73257688614636,3.02067456388034,2.66350201488788,3.81373341314261,3.09745535304877,3.04279345811469,2.98641072842134,3.71840231873199,3.36744065090451,3.0451578206243,3.17788540740416,4.58623474170322,5.50736074011437,4.99328737502741,1.71750828730859,2.62619209609745,4.17942406121597,3.71486100758315,3.61985923306486,3.94700775794318,4.04571990448405,5.53658787856532,2.93279557472089,3.80801109881166,4.2896820825305,4.2896820825305,3.22782623324361,3.10056749292109,3.00446106700591,4.47823370913172,2.66827222547188,3.22329749470025,9.35222103466003,3.63587750803598,3.73990466113903,3.89983264827167,3.89983264827167,4.19945899723209,3.54643663174427,3.94095720459127,3.78209523005652,3.21176924031068,3.50178304271762
"Sagittarius serpentarius",3.35585618673289,2.0716719259053,2.06678160501216,2.99617915167476,3.54784327132471,2.36817805949237,3.73742409796098,5.55315348022527,0,2.82459422604475,1.51489470224784,3.68472371167561,2.8039221675334,2.94692385995597,3.5910402082198,3.23880091382923,3.50110641869398,3.48034791329715,2.44156539757961,3.16961623391473,3.21544681440503,3.21544681440503,5.02677472297911,5.30555200593959,7.85315793190984,8.14215068259518,7.7034854024133,8.10117766707773,7.66677864266062,7.62155232184052,7.39703255838276,5.60064093808352,5.69928859584977,5.9386784092419,7.30232548653279,7.03957338981492,5.27225947701857,7.66795162372883,3.09758778587875,2.84597280366521,7.17971985131898,8.03679421621562,6.31307279370985,5.67969577811549,7.32833285030993,8.34715406874624,8.64581557029318,8.86074986893689,7.22835000193359,8.47032038685296,9.186795250122,7.91406986672863,9.14218551213556,9.10847946180674,7.61474268736809,9.12193962554278,6.70909451922962,6.70909451922962,8.37895468533961,8.81887292212034,10.0924703903043,8.40956736175265,7.64665011198925,7.75611753813517,8.12953392438892,7.92725662336271,8.63375304279269,9.95206052226176,9.95206052226176,9.58480896698283,8.89819334801431,9.12193962554278,9.32785790275997,8.97620385884476,9.12348138660066,8.94460155475958,8.17085318140954,9.18958163179647,8.88237917902364,9.91019216105753,8.9974852518579,9.85823983125831,8.96878022591385,8.01853446921035,8.7728109375532,7.85315793190984,7.7034854024133,8.68549840583059,7.39703255838276,4.23951740499491,2.83790622078416,4.38386241723367,8.69816611355587,5.69056504248688,4.17353973215906,9.11686529923541,9.61949737321549,3.39054646994587,6.11611802776882,6.33640845532272,9.17498726567153,9.15873887386125,7.25411113547941,7.72152599230141,8.41290814175551,9.72807677521562,8.00345822814578,9.09663971570263,8.69606156969543,8.69606156969543,8.52583492418353,3.69015692422371,4.48178624103648,9.52577746119259,3.57821031746394,6.88343142175305,6.83749478698427,7.8611274056988,8.19315104373716,8.30693309402748,8.30693309402748,8.92269388585549,2.69908222956751,9.14713196410019,3.74934025448576,4.47678070307817,8.76609058391958
"Ciconia abdimii",1.69408145187557,1.73965895724976,1.80662579278391,2.50305428847472,3.0299643562702,1.46912535627132,2.75302489920698,4.35882183548582,2.82459422604475,0,1.86800781694572,2.23646969252516,0.896245747843321,0.680678681686901,1.12471511562461,1.13294546963781,1.46912779191159,1.3337152970806,1.64112612649285,1.73483985883784,1.80629054050111,1.80629054050111,3.02768709650634,3.59609579344813,6.41104199475024,6.60016067047957,6.32649737152878,6.6811480938887,5.78656862152769,5.90613063316837,5.62072024704843,4.1593899263607,4.34891732872138,4.68162268053814,6.32185217280322,5.62149012361985,4.45984390108156,6.42412823695709,1.50236729693881,1.29689060631741,5.50966836000037,7.01567185637831,5.20891977507449,4.5474121942411,6.250664759618,7.08262369248947,7.30623887852592,7.63799890875596,6.18118686167043,7.39897094301706,8.06456361249465,6.58122625238213,8.00131361716657,8.04602035378943,6.51813279499769,7.73504975497529,5.90020323786551,5.90020323786551,6.9037752915343,7.39219968922905,8.74931214427245,7.06627765137794,6.43412637059583,6.40610568079769,6.73864261897175,6.47867933367481,7.07154297704374,8.56374369168987,8.56374369168987,8.2374300178495,7.5584121816951,7.73504975497529,8.05422431058964,7.70713986117211,7.64266682152222,7.34807130313519,6.74921955618159,7.79996853298204,7.30267385607304,8.32769110203479,7.3546738000816,8.34355521470646,7.53218253117952,6.63178273627288,7.3989043884824,6.41104199475024,6.32649737152878,6.97033822071779,5.62072024704843,3.62788656287381,2.41124244598083,2.19611140214411,7.50607018301192,4.26849730653903,3.38458000894631,7.74880622964839,8.3089875257265,0.98916296519757,4.76364221347782,5.28652500219505,8.1021486021375,7.83316668490114,5.98624840113912,6.51801570379768,6.8701776607306,8.11953952583169,6.92758315010659,7.88988071085913,7.4468622797275,7.4468622797275,7.17009937262137,2.0156867808831,2.7341977667039,8.59241274626173,2.61641831078327,5.71409327065519,7.23446608644727,6.53651029569876,6.8723554569461,6.99894528529484,6.99894528529484,7.52094552496006,2.1286146767806,7.83311281276307,1.75798494732156,2.54600043063656,7.49841396188142
