"","Perisoreus infaustus","Turdus iliacus","Turdus pilaris","Plectrophenax nivalis.1","Poecile cinctus","Cinclus cinclus","Luscinia svecica","Motacilla alba","Grus grus","Calidris pugnax","Numenius phaeopus.2","Phalaropus lobatus.1","Charadrius hiaticula.2","Pluvialis apricaria","Eudromias morinellus","Tringa totanus","Tringa erythropus","Tringa nebularia.1","Actitis hypoleucos.2","Xenus cinereus.1","Sterna paradisaea.1","Mergus merganser.1","Mergus serrator.1","Anser erythropus","Mareca penelope","Anas crecca.1","Anas acuta.1","Bucephala clangula.1","Melanitta perspicillata.1","Aythya fuligula","Aythya marila.1","Clangula hyemalis.1","Cygnus cygnus","Gavia stellata.1","Lagopus muta.1","Tetrao urogallus","Dryobates minor","Dryocopus martius","Corvus corax.1","Haliaeetus albicilla","Aquila chrysaetos","Buteo lagopus.1","Accipiter nisus","Pandion haliaetus.2","Falco columbarius.1","Falco rusticolus","Bubo scandiacus.1","Strix nebulosa","Asio flammeus.1","Surnia ulula.1","Aegolius funereus.1","Larus marinus.1","Larus argentatus.1","Larus argentatus.2","Uria aalge.1","Fulmarus glacialis","Somateria mollissima.1","Somateria spectabilis.1","Polysticta stelleri","Gavia arctica","Lagopus lagopus.1","Cuculus canorus","Phalacrocorax carbo.2","Picoides tridactylus","Haematopus ostralegus","Anas platyrhynchos","Corvus corone","Falco peregrinus.1","Parus major","Gallinago gallinago","Melanitta fusca","Riparia riparia.1","Falco tinnunculus","Delichon urbicum.1","Motacilla flava.1","Anser fabalis","Pica pica","Accipiter gentilis","Circus cyaneus","Larus canus"
"Perisoreus infaustus",0,2.52839388609101,2.10165710869018,3.59366774596802,4.29863944166726,3.22386749963257,3.96140000490145,3.48796258445634,7.48540353971681,4.42457323032668,5.46670226242379,5.03704769839677,4.96146649141868,4.87211341755201,4.81640049391216,4.25414597794699,4.88296867239763,4.87682787545214,4.4077355604354,4.9855283993941,6.22421021641018,4.75381400555744,4.8059602740232,5.4764508735323,5.05216948952146,4.46291085942051,5.25624402455761,4.37523916577936,4.89512982064657,4.62136765165419,4.78921626399631,4.25342783005048,7.36745049687061,5.28952926323971,3.74262493049275,4.87894549759908,3.43919998255383,3.38726565926932,5.86801671506338,7.08108445013004,6.7667055441238,5.1370570462604,2.77765791947472,5.59054367191737,3.80514120006768,5.19850579265779,5.30484602260136,4.80697271118532,4.19956809151732,3.23075862996142,2.23451903354778,6.36112823924611,6.0341692199654,6.0341692199654,5.37835547768736,4.82339047900279,4.86229687612425,4.71334890169726,4.24338959554083,5.78354650924248,2.99949346926912,3.31112085018161,5.28778109007387,2.06007991104302,5.15890999829733,5.12799310286832,4.44243785175573,4.86710380359076,3.72509296810388,4.47878774369204,5.07072584091604,6.25107516488579,4.13185318169092,6.00423981563683,3.78018428626512,6.3945575277619,2.30228477638581,4.33976777694234,4.53073616085256,5.48059705204437
"Turdus iliacus",2.52839388609101,0,1.12608748306523,1.54068936372004,3.20646316977257,1.40069744066622,2.61135648328257,1.56112830176835,8.21133146691684,2.90167333431647,5.15768079688489,2.70245406407003,2.59429951550989,3.07680458545787,2.69083028975384,2.91117780234852,3.94155749835947,3.98093595451362,2.18716702003912,3.36473033981798,4.97506663526504,4.91727336938187,4.5480754526577,5.54376782378849,4.6852664768888,3.72458571704843,5.08681219370334,4.03247730294299,4.89503176149808,4.34435990516178,4.72116224835714,4.11698265088177,8.20730870610008,5.03133261892645,2.61570284909328,6.0513554423361,1.89779331091838,4.72805426969514,6.89687250530914,8.19365653776147,7.85258117469065,5.76239430960749,2.98975439389176,6.2339482514972,2.98754287687261,5.70161084013136,6.07545572926775,5.85039855286146,4.06444279688374,3.4507029648169,1.97883351902159,6.71917964376105,6.15077964747889,6.15077964747889,4.63521172769667,4.86494953422102,5.24322066916993,4.70166320566041,4.04576287463775,5.57517191255529,2.78880125131868,2.64219752401736,6.13371714981578,1.82237523033679,5.04531280835895,5.3254206586122,5.41010092665327,4.88084596770597,2.75609397398108,3.53857069979085,5.22967429200148,4.03911548617206,3.79394661290303,3.80799247005768,1.84319875688408,6.94349577790965,4.0977900593157,5.21639189841524,4.69110729589764,4.88806109163473
"Turdus pilaris",2.10165710869018,1.12608748306523,0,2.22318573178418,4.14502882686177,2.43079140677117,3.61594100392986,2.50270581953667,7.25097513394606,2.72722869935901,4.52610977317639,3.36655077971876,3.01760377119208,2.86629621801291,2.78326955396094,2.74042511945122,3.65531157289612,3.56706599876979,2.74338244600599,3.47202767961381,4.55667699601594,4.04789758470528,3.8539338010735,4.59324576458852,3.92220739225883,3.25211242912738,4.25713989294531,3.27694491084052,4.13997715009547,3.75777456448801,4.07791356654969,3.23131649232716,7.19438531237274,4.402497486805,2.01232204074213,4.9772997750687,2.86074401109229,3.85818704657133,5.87687046874734,7.13637904353361,6.78117496874509,4.67986745238894,1.95624235929877,5.18738207253398,2.25561926324791,4.64631038035336,5.00373264878648,4.77424674377388,3.08271809772994,2.46917675975252,1.39002825447406,5.7291765546328,5.19063102586129,5.19063102586129,4.18070298469038,3.90097905730538,4.3560261792084,3.87106982047337,3.3056407184077,4.9304735250348,1.86038689509558,1.88224412236316,5.19496972193847,1.77895882445617,4.31285166428847,4.5176633222596,4.38146918691682,3.90948142890926,3.66121520666074,3.5168330675602,4.42206459291898,4.73786901840052,2.88807892774033,4.4142905515348,2.87456875058286,5.95699119717946,3.18048413690953,4.12224609182678,3.69054279811252,4.06255432252037
"Plectrophenax nivalis.1",3.59366774596802,1.54068936372004,2.22318573178418,0,2.92811174392317,2.05282515655399,2.75474203772607,1.66947673954485,9.1984914923981,3.58840899939833,6.09454028978183,2.74320017440924,2.02399697122117,3.26228243598659,2.55475095852835,3.82836775164692,4.86257057086367,4.88615796326984,2.49423188040978,3.91390903508674,5.06983735422285,5.79682850920085,5.3711586587522,6.07503115855077,5.05995604095571,4.06085890083685,5.56639028879559,4.41446666304774,5.41766382530578,4.76762403022075,5.20084883192263,4.5116485210253,9.02443599712167,5.81692938232248,2.7334261909231,6.88813648426466,1.83405463404924,5.80826470072709,7.73226791074075,9.01082892764626,8.65676009603497,6.44034095002913,3.5974897716375,6.88315855781341,3.02602250836519,6.26580620994401,6.76454445540052,6.66540005420317,4.48889950759556,3.89923477932073,2.33924786061383,7.4306866594368,6.8184261074918,6.8184261074918,5.12833554186845,5.44000701997399,5.94682357412968,5.16475535878511,4.52913696998888,6.32067298897832,3.25864326780896,3.05284686275173,7.11568580808107,2.73336683570631,5.91384182653108,5.9354253258842,6.31071741930301,5.29134687908195,2.67612315452452,4.47856741950023,5.76012675833543,2.88554995917016,4.01891218093134,2.6707210988321,1.81226961700974,7.66986891272283,5.15279520664123,5.96197638924956,5.28980808980456,5.38981462956589
"Poecile cinctus",4.29863944166726,3.20646316977257,4.14502882686177,2.92811174392317,0,2.54471077448219,1.47194326733111,2.11057500737367,11.2577040796577,5.84294998592545,8.20275473662938,4.30944775812047,4.43321385559694,5.88651940439966,5.13812788174664,5.83742757309937,6.83115201065985,6.98948651357662,4.30592591734207,5.85040781757246,7.49680841480127,8.01621469226653,7.63135601318213,8.60970682503123,7.64833256809235,6.52198462946304,8.07628015658883,6.9408111749711,7.79837789083884,7.12943935929195,7.51533682447588,6.99995174697173,11.2092369166599,8.08450992178726,5.39737977157369,8.82414171263999,1.81554228309133,7.29203320780289,9.77070180384414,11.058558846002,10.702812720326,8.67359430186463,5.71647613016645,9.16380573449261,5.73057921214962,8.63724028897928,8.97788548419167,8.60979698245286,7.00740145544771,6.0929164828914,4.34778314411048,9.80641505850805,9.26700730983873,9.26700730983873,7.53908772307442,7.92899882895513,8.21984954266799,7.64152241956009,6.96098806708452,8.62689570629096,5.62113779096798,5.35430424811316,9.07809013627181,4.01924476603044,8.11310502407257,8.26316451122383,8.29439455881493,7.85168667609502,0.67115782720341,6.05982887412044,8.12711956458818,4.06821098192538,6.60730084711648,4.14463809450361,1.86903959745739,10.0007921428055,6.4313046759552,8.03466080031051,7.69128864690781,7.98671780903307
"Cinclus cinclus",3.22386749963257,1.40069744066622,2.43079140677117,2.05282515655399,2.54471077448219,0,1.57206270371118,1.49541928189237,9.15208552582859,3.62406374454359,6.02226222597181,2.82184277467599,3.06201650677234,3.92208608243539,3.38674331114778,3.55690700203665,4.55476365267326,4.72808138584649,2.51979433437048,3.85031598031926,6.08250675134225,5.92109413691912,5.44690365724853,6.66297796281113,5.76661181890058,4.64489596462059,6.21093641762117,5.07258871565306,5.85712043058103,5.20950173435364,5.58136438116874,5.29460299388197,9.2464480333882,5.77364166795223,3.71884105813791,7.17336805866362,1.65324365094234,5.72129991835076,8.02559916436435,9.30583202895098,8.97800047603324,6.98564091618317,4.20886307460078,7.44393148963802,4.23777552773257,6.9246696899573,7.25813107790285,7.02435450956945,5.34733745322955,4.76607571131651,3.14926271189224,7.86567384911298,7.31189885061477,7.31189885061477,5.39435348014036,6.06497210832171,6.23812097021394,5.72298222714026,5.06191330229093,6.31624330163272,3.96222799993547,4.00132907974805,7.11763571512295,2.60513032352769,6.01191971966306,6.34057185667068,6.54604077677823,6.11003819392327,2.09633407755634,3.96237844654391,6.19899312123972,4.08400063907753,5.10682581778015,4.03465952054335,1.40104531180279,8.02937657560774,5.11263057905918,6.41435937244798,5.87109868162515,6.05734445115776
"Luscinia svecica",3.96140000490145,2.61135648328257,3.61594100392986,2.75474203772607,1.47194326733111,1.57206270371118,0,1.69411073029635,10.4709547718312,5.01360378103672,7.435513391907,3.71682972622436,3.92679911388986,5.20427871812337,4.49009511729365,4.94979618476697,5.94078780020441,6.13301743390426,3.6745868012945,5.13571341181413,7.25124584420649,7.36962405374447,6.9389841250127,8.02746732457157,7.15339587255356,6.04003808868457,7.61088282905842,6.45017753041391,7.26488847344124,6.60005375328378,6.97115912098326,6.60872169932097,10.5951091635741,7.26295247912046,4.9598792933394,8.39705864761486,1.84964323385606,6.88488179746441,9.30177908857046,10.5731852076422,10.2129907340122,8.19620127154062,5.26436529084922,8.73513876080662,5.38835289453414,8.20553436392824,8.5308346445534,8.19531404228019,6.58708527287481,5.90402701023565,4.1707747886388,9.24598752954297,8.70002137747496,8.70002137747496,6.89816092097768,7.41671578455178,7.64982277420396,7.10484804094782,6.47225498232964,7.81228964539556,5.20742513272897,5.12982505839613,8.48537743130107,3.69377994233755,7.45525780822263,7.74069602893361,7.80506831119894,7.41483445091906,1.13002123495763,5.31457396168034,7.58293375624121,4.1461338519747,6.26566368236542,4.22324879826544,1.35204157226454,9.40856893262745,6.09501681554469,7.59668343820213,7.10977719871644,7.40728881219655
"Motacilla alba",3.48796258445634,1.56112830176835,2.50270581953667,1.66947673954485,2.11057500737367,1.49541928189237,1.69411073029635,0,9.59710428230613,3.98626793751544,6.41738585896799,2.73288039339514,2.72357308998639,3.97148135567946,3.25818855215091,4.00392695171943,5.05601206676117,5.14757757414918,2.61138909402106,4.15256799070383,5.72311691369025,6.36769220442869,5.96866461610708,6.94039418491483,6.00774430338555,5.0051512673635,6.41018828429171,5.38150531812997,6.30966704080034,5.71529857783937,6.12377404641765,5.40306884374979,9.66164896233757,6.49852929491538,3.76357941301987,7.42562070170446,1.46355461299853,6.05425350666571,8.31338134985991,9.60768876970312,9.2387023413315,7.0846873051697,4.18967921697847,7.62996409502229,4.09965271096315,7.06111477681695,7.47402363930777,7.19620312913004,5.36412374000099,4.67764956743662,3.17570188414223,8.13339830331458,7.53621556641838,7.53621556641838,5.95659494720654,6.25142439692058,6.73201435034552,6.12718279623486,5.45291155541952,7.03566698862133,4.13519690946803,3.71290878780231,7.59535263865362,2.93269950005023,6.40863262828851,6.75507232390449,6.82471252927008,6.217550495495,1.84898372379714,4.57015191489364,6.64828998586996,3.36940172067177,4.94765210118027,3.22519254239837,0.525025652880002,8.39587219575506,5.27961435490998,6.54731615034385,6.04624606495884,6.13355431521867
"Grus grus",7.48540353971681,8.21133146691684,7.25097513394606,9.1984914923981,11.2577040796577,9.15208552582859,10.4709547718312,9.59710428230613,0,6.69925007274836,4.60012696736243,9.24222058985778,9.01036339583866,7.14567509475295,8.02651200675117,6.55121974047476,6.00261919032628,5.64468661433892,8.59056368447191,7.64278500430449,7.44276815461523,3.98470484053771,4.7146311353949,4.04012276017664,5.43844861078543,6.48899683892841,5.00924565710368,5.83550972087012,5.29650675858666,6.04245555609464,5.7325439384855,5.68068439854681,2.35049640629799,4.46673377724878,6.97880695789286,3.64586984120492,9.92532392995925,5.10369743774036,3.11563212856467,2.66573294445779,2.6515523179926,3.68039544453242,6.07382166212407,3.67461040800893,6.74302496697936,3.9895496977254,3.53484417227702,3.86645510283733,5.34228015131951,6.20159815435172,7.50483021262982,2.89603532451848,3.40093935884245,3.40093935884245,5.88373520527452,4.396363499916,4.3031050263283,5.05453399414447,5.63292554053042,4.25496170038421,6.30621116468259,6.9569204254509,2.99095918552111,7.8275922195758,4.35237484274537,4.72795954459639,3.64328239654117,4.8311133171605,10.7022587344606,7.06448076010494,4.99614181249923,11.3027826565213,6.02979312435232,10.919106047584,9.93241160175801,2.7771862427156,5.70884752687856,4.063767939117,4.37642474621572,4.9239270784212
"Calidris pugnax",4.42457323032668,2.90167333431647,2.72722869935901,3.58840899939833,5.84294998592545,3.62406374454359,5.01360378103672,3.98626793751544,6.69925007274836,0,2.92228302054504,2.64213380182981,2.86978429695241,1.47110199747335,2.04858072284158,0.644507561212714,1.4999461648856,1.47057347842989,2.05657101417123,1.47391971797274,3.57066451058927,3.41351408587556,2.67547096502396,4.1713939309639,3.21010587694312,2.44215984037543,3.57842354314576,3.09788173356704,3.70431164838273,3.22888527263191,3.59896728084169,3.37757994379814,6.89915177578606,3.1337686248131,2.73486434568401,5.5954128653821,4.31153736277832,4.6078560772203,5.93480887688239,7.23880960636641,6.99130650799763,5.02169248778543,3.54407097637747,5.28586971898494,2.93375272361086,4.82390722435671,5.33070056441125,5.49683000981974,3.45993060805012,3.81473064460255,3.57807599731148,5.27947883720418,4.60555700228968,4.60555700228968,2.62445582228816,3.60848532434864,4.12895167088778,3.60055398754276,3.02017179336981,3.59526618076999,3.15875854339456,2.92795558313118,5.00559165556934,3.27101338083541,3.0963552886796,3.95044959306191,4.70394617770705,3.88170276136687,5.45327519682076,2.0852732491815,4.0531234551376,5.1162351495568,3.33895407619741,4.85266286827106,4.16815221000536,5.51578105060287,4.7544706607083,4.84827265595916,3.83407724021453,3.22813714650653
