"","Onychoprion aleuticus","Cinclus mexicanus","Falco sparverius","Synthliboramphus antiquus","Calypte anna","Sterna paradisaea.2","Haliaeetus leucocephalus.1","Hirundo rustica.1","Bucephala islandica.1","Megaceryle alcyon.1","Haematopus bachmani","Arenaria melanocephala","Poecile atricapillus","Phoebastria nigripes","Rissa tridactyla.1","Chroicocephalus philadelphia","Aegolius funereus.2","Bucephala albeola","Perisoreus canadensis.1","Aythya valisineria","Ptychoramphus aleuticus","Poecile rufescens","Petrochelidon pyrrhonota","Bucephala clangula.2","Gavia immer.1","Mergus merganser.2","Uria aalge.2","Corvus corax.2","Nannopterum auritum.1","Dryobates pubescens","Calidris alpina.1","Hydrobates furcatus","Larus glaucescens","Aquila chrysaetos.1","Ardea herodias","Aythya marila.2","Tringa melanoleuca.1","Anas crecca.2","Dryobates villosus","Histrionicus histrionicus.1","Catharus guttatus","Larus argentatus.3","Eremophila alpestris.1","Fratercula corniculata","Brachyramphus brevirostris","Calidris minutilla.1","Aythya affinis.1","Tringa flavipes","Limnodromus scolopaceus","Clangula hyemalis.2","Anas platyrhynchos.1","Fulmarus glacialis.1","Glaucidium gnoma","Aegolius acadicus","Leiothlypis celata","Pandion haliaetus.3","Stercorarius parasiticus","Urile pelagicus","Falco peregrinus.2","Cepphus columba","Pinicola enucleator.1","Spinus pinus","Progne subis","Mergus serrator.2","Phalaropus lobatus.2","Buteo jamaicensis","Gavia stellata.2","Cerorhinca monocerata","Columba livia","Lagopus muta.2","Buteo lagopus.2","Bonasa umbellus.1","Selasphorus rufus","Antigone canadensis","Charadrius semipalmatus.1","Asio flammeus.2","Bubo scandiacus.2","Melospiza melodia","Ardenna grisea","Cyanocitta stelleri","Melanitta perspicillata.2","Catharus ustulatus","Setophaga townsendi","Tachycineta bicolor.1","Cygnus buccinator","Fratercula cirrhata","Ixoreus naevius","Tachycineta thalassina","Calidris mauri","Numenius phaeopus.3","Zonotrichia leucophrys.1","Cardellina pusilla","Gavia adamsii","Canachites canadensis.1","Meleagris gallopavo","Strix nebulosa.1","Surnia ulula.2","Corvus brachyrhynchos.1","Turdus migratorius.1","Riparia riparia.2","Strix varia.1","Branta bernicla.1","Branta canadensis.1","Chordeiles minor.1","Junco hyemalis","Catharus minimus","Bubo virginianus.1","Brachyramphus marmoratus","Zenaida macroura","Colaptes auratus.1","Accipiter striatus","Melanitta deglandi.1","Lagopus lagopus.2","Patagioenas fasciata","Pica hudsonia","Setophaga petechia.1","Picoides dorsalis.1","Branta hutchinsii","Hydrobates leucorhous","Larus brachyrhynchus","Accipiter atricapillus","Circus hudsonius.1","Stelgidopteryx serripennis","Gavia pacifica","Troglodytes pacificus","Sphyrapicus ruber","Dendragapus fuliginosus","Cygnus columbianus","Megascops kennicottii","Gallinago delicata.1"
"Onychoprion aleuticus",0,5.27299281291615,3.33075835364871,3.61027061556305,6.43756863147993,0.350324206459986,6.20188260395603,4.18897901947857,3.61101974307126,4.04264603882526,3.83043991047122,2.88690589483105,6.7359646176421,5.369136125201,1.91475995653084,1.6960655198356,4.1072627933149,3.42963590319776,5.23232684066649,4.43339093325127,4.35826474420293,7.07997321408692,4.59991647832715,3.35335912709121,5.15785379112604,3.67775007594138,3.2892380670855,5.34579202717906,4.46055088706233,5.18421930347537,3.30996796445764,2.60455638000962,3.81985900018628,6.15273203883608,6.59963874837749,4.16217569758063,3.11302982477566,3.03678798122828,4.59960345717289,3.11185857200984,5.29050046224546,3.74247874669649,4.29352857739955,3.60352090920213,3.6261738343704,4.92794157747163,3.90969897407819,3.04874488616045,3.4612369821679,3.16573740212044,3.97352404321549,3.23009368720533,5.61992480714702,4.49916905905913,6.57964875199166,4.48542225967054,2.18229139470345,4.2311911183568,3.32486901832772,3.74438582709982,4.73330143091645,5.3535604926052,3.12758237242217,3.36175250838937,3.74736382469669,5.06647865846281,4.14131948211697,3.35306705903838,2.75531866492382,3.20992449795637,4.39929354118912,3.70418302094042,7.116232920436,6.04369944525237,3.77828642806881,3.10185504903304,4.71388706580304,6.29303572804557,2.70558549196927,5.72315199007322,3.93529435286208,4.92718199155162,6.21170072886029,4.42093184179881,6.6893593244064,4.079872678426,4.0150541777738,4.68614030545199,4.30800173005602,3.38087806495416,5.69555193412155,6.98142333551587,5.21901344370416,3.80196037625793,6.46308313631116,4.9798787097517,3.48670871166552,4.278677476267,4.35068067536815,5.00949908731745,4.84637594770438,3.6297580425281,4.54932237154248,3.15234363289727,6.09587268273242,4.89930117523359,5.08384698175095,3.61463499824688,3.79771419111591,4.47773309028816,4.33610507454234,4.27301692044485,3.67009459242204,3.31226517116584,4.7937436392886,6.6111367765071,4.46305459570044,4.47523754713848,2.79579445578741,2.4164132826139,4.5210131149451,3.95222123309587,4.9259613135734,4.36688493595824,7.73161124540381,4.20672975566361,3.62007992212634,5.94942141075381,4.51123030505122,3.63451280839418
"Cinclus mexicanus",5.27299281291615,0,3.41581367047284,2.84223834766387,5.4984272062626,5.37635989264343,8.33590193168507,3.34938749665878,4.57195369859092,4.09687835167215,5.07686969839082,2.63335065624523,2.25215430084093,8.23927394447458,5.00062490530703,4.3006947441021,2.80982766702772,3.59794375945557,2.86600848856619,4.98719461200627,2.30519213805012,2.47197985284748,3.00768939431444,4.58192464916405,6.74463688294155,5.28110843078333,4.80615129270668,7.18169445480685,5.99713179233786,1.24425962014893,2.97316129945306,3.52816239117449,6.36929706551865,7.96313047632937,8.08099413811432,5.07793859736511,4.211339995382,4.18181919807641,2.33775598293324,4.05677363296308,0.807175470891355,6.4656382245481,1.65808872061219,4.60560181196796,3.01463108265976,1.67839692230322,4.86773212590196,3.38041732666695,4.09344648709259,4.78115338793026,5.71359363747487,5.39729114618507,1.78269159179359,2.15410809656955,2.03653608622762,6.65076330414482,5.20727853466533,4.86442549085535,5.44838649290546,3.11040706659527,2.25529685431982,1.90751652498907,3.04638550908162,4.85281033533956,2.57386287770939,6.2037766699444,5.09908004032841,4.25356278452271,3.35998425352699,3.31924676832734,6.18952353908875,3.72645969732693,6.27021799493127,7.80419448653288,2.89817043444728,4.74771550052323,6.45913332888034,1.81545505114792,5.3854182809722,3.32073747760606,5.30221495434559,1.19947442574662,1.97833670095905,3.31797271710884,8.64631308527584,5.07052799375272,1.53708059984635,3.60245976722407,2.36560838140007,5.3505428059885,1.26469576594518,2.43643977265357,6.96804185491713,3.14463692573601,7.29839713826737,6.2391595825845,4.26744805359105,5.3816521826473,1.73411993550679,3.6150433164454,5.57259571091531,5.48662391755775,6.52106092746246,4.20212850846899,1.63310604765587,1.08698061616174,5.94206219178038,3.38696324591675,2.43117083258598,3.0591966483461,3.12905931582675,5.70813388770094,3.54223719409571,3.31601597444582,4.55356886326484,2.0257396164973,2.20385660698294,6.0133840024432,3.2862929204153,5.34172679849031,5.69167856718704,5.60416844479802,3.4046591610191,5.47582738955446,3.08225107809409,2.17169020423196,4.14588810668213,7.9517843453552,2.75263818065363,3.66881557218882
"Falco sparverius",3.33075835364871,3.41581367047284,0,2.74692509367957,7.00528216609541,3.40791740755621,5.82850263317875,3.47935856181332,2.24415482485007,3.40483072863145,3.70230255733197,2.38377832403294,4.69308917507048,5.84519297985428,2.69105348714156,2.532423752936,1.3055285818428,1.93448002418598,2.59014472316524,3.58260163209262,2.78471216046539,5.22598306856651,3.58374397389428,2.33333587091937,5.15211547291924,3.43964913616016,3.52898858184428,4.81713049751281,3.9972196323812,3.34424309062007,3.59054201551551,2.58011905431568,3.87537201689623,5.48149922201695,6.3480231180981,3.35073081547905,3.36600791928033,2.55233204199549,2.65815684320967,1.67337115771162,3.40016980562578,3.95934568311473,2.44280636900929,2.95174781424515,3.15330013621865,4.03883848767058,3.20104248286317,3.32791002912841,3.92009082675344,2.09818386528495,3.59425664240129,2.71900101627453,3.15442898695413,1.80564603197785,4.67360550923043,3.94403327027872,2.54159452648823,3.3153153406685,2.49886759166061,2.56931191750863,2.17737154720908,3.76726124308444,2.22264690560093,3.37728453828433,3.69047286615333,3.72795291782207,3.86554450957992,2.91431514613193,1.77210451758456,1.20965079186988,3.4490613400368,1.29216493804471,7.74210614976045,5.97767471398032,3.18230680811658,1.76096568891619,3.80835439420098,3.98602430096975,3.29002227523866,3.33472341138445,3.28314755679557,2.82619525957836,4.55512930756363,3.70200366659784,6.35856495080334,3.45138476377438,2.075606570431,3.99856300899223,3.90758957632184,4.08732018060515,3.45822777405861,5.14694240805735,5.36734273458639,1.17872466449767,5.18192351944743,3.82333834840847,1.46941025742844,3.16190748899655,1.96247711273654,4.27885380118356,3.29927956436331,2.98591116791981,4.02489701474924,3.16876528268161,3.85339686939724,2.83665647466952,3.60995266573752,3.5903771618545,2.60137479511728,2.72820283052817,1.35080529703111,3.51244862017067,1.13255528991345,1.60043743801484,2.90108522124542,4.79669426792339,2.57826821969535,3.56204531772019,2.69738848247392,2.9225982305509,3.09915061681286,2.82250169122349,4.1374211629623,4.1641962764438,6.17130235385718,2.27254975395165,1.62964945019838,5.6390241576418,1.84655493055753,3.8411301907657
"Synthliboramphus antiquus",3.61027061556305,2.84223834766387,2.74692509367957,0,5.34117680249259,3.83173016094183,7.36036143269534,2.99807506832432,3.13089511265943,3.78302990467853,4.1828077996258,1.23217691524797,4.54853887193371,6.58285623200977,3.28323452928123,2.6313019516452,2.88318163235423,2.08561225115458,4.09630700307946,3.69317839348665,1.1615258705608,4.7656528659896,2.74257899015763,2.92437685426936,5.29503014711088,4.09988180450728,2.83492695865944,6.32184509315685,5.10314383200355,3.0455304560312,2.04168142092544,2.23561773989713,5.03269760847841,7.16073796023584,7.32859537078954,3.44977978808733,3.22408761021589,2.36412286757103,3.18023168381484,2.50237276552877,3.1946295487746,5.07649432059383,2.33232271164684,2.91764953878235,1.09331737015039,2.69690311119352,3.1547380002145,2.5085761432588,3.10851569799467,3.40033436483473,4.22497799828849,4.01605051085379,3.31679261907485,2.62967794564807,4.17567401099292,5.53073064975663,3.71411730373125,4.36480287883645,4.01233751432585,1.91623582258073,2.96184169427504,3.05061134952475,1.92027591662722,3.4599687213772,2.28579039517393,5.57033816900177,3.59187758036469,2.40718572344003,2.48009145458817,2.1199132666819,5.33272015811302,3.27818516410012,6.14578375722596,6.91093862023212,1.93182382970212,3.60154059643287,5.50923409145678,4.02804358771871,3.52425429368507,4.59046341259355,3.69246018805556,2.78991069482494,3.95092577757487,2.87779386854332,7.52487253520589,3.4497257170605,2.3780845709914,3.12045392535513,2.20882199869549,4.19947571834866,3.50754502250869,4.66536124360384,5.49566598833431,2.78482673516247,7.0013094958958,5.729903880845,3.71959634283202,4.73099372763618,2.77968685162485,3.37699330958209,5.21772727429205,3.87966746618548,5.13154898431225,3.15857708374994,3.83535491118106,2.80351525489326,5.36010955211309,1.16535356682924,3.02150192271399,3.64950688233371,3.40209555138262,4.14791586689774,2.8144704185216,3.09154573173147,4.9078743972388,4.17901206890748,2.94070095740287,4.7927721351433,2.07434598490485,3.79140636553397,5.10856699226431,4.75510411147398,3.24212994032166,3.99685107034835,5.21695033206473,2.75170690858444,3.38236473417943,6.77028075537843,3.05240752437502,2.94476692643165
"Calypte anna",6.43756863147993,5.4984272062626,7.00528216609541,5.34117680249259,0,6.51657175136615,11.9685385960458,4.24374912795456,7.98036322886061,7.11876763290433,8.41490992279111,5.16858075347312,5.51495340693604,10.9651648452906,7.5496684974179,6.62894641037868,7.00488403561376,6.80483101276771,7.72478941419104,8.35682335214255,5.680173274889,5.29388963863924,4.21606260944374,7.67781458964388,9.97919387586416,8.63811402984786,7.24736092402274,10.8022851610467,9.62835069834041,5.16573663952511,4.50213943053759,5.1163861520856,9.60031815345664,11.8587368584671,11.7904001538525,8.11370883819425,7.06332509831181,6.81650126075362,6.62308057833806,7.24419580119967,5.43297051846883,9.60061256340397,5.15281280938126,7.54762144635635,4.7753502686077,3.99892985991779,7.78987601679407,5.7456118096028,6.33207570508389,7.9130400828324,8.75134683975757,8.66224982663821,6.10040776764139,6.56647878095509,5.05334539132798,10.1556226342137,7.87197217557018,8.83434557208252,8.70232610867635,6.76116384706272,6.34298460862971,4.36716138415497,5.03774564245244,7.91567082903805,3.91838307269459,10.3249148796194,8.38429121363188,7.04055145732102,6.60292654797729,6.77011571545314,9.97272571404995,7.74772024185977,1.0382960398915,11.4323364471576,4.31767654829078,8.21941361269124,10.244791431845,5.87942319128158,7.9732671449955,8.22513750754914,8.34905893662959,5.45661949653895,4.6153282900565,4.08475287174411,12.2586823315938,8.0557454794119,5.94904437104007,4.04254344399265,3.70535885092467,7.99304159073994,5.7127451667233,5.11282488574051,10.0846765384945,7.32660768435617,11.6697745463474,10.3130401934523,7.98956117131795,9.24932047657119,6.44723566017284,3.82538383603804,9.81472663272107,8.76218867286964,9.97086279661538,5.41386944764729,5.6650724907692,5.51246215552031,10.1364326838676,4.47192447822307,5.74647408657277,7.36093844797264,7.66352811231994,8.88944623758969,7.53284724283541,7.15893537304893,8.86685833607813,4.9399494326948,6.23254726956955,9.71358726281051,4.80135178207516,8.13628886812962,9.73266317502545,9.34788678787614,3.97926737984749,8.76170119626511,4.93871990742916,6.20376557581022,8.07026683603888,11.4799933106528,7.4842770085099,6.01196309640968
"Sterna paradisaea.2",0.350324206459986,5.37635989264343,3.40791740755621,3.83173016094183,6.51657175136615,0,6.22662541854575,4.28383232202759,3.77926093874361,4.09773808235093,3.95761761597708,3.07147331339849,6.78572431009611,5.47424719556934,2.0615439190683,1.89878445586378,4.17275891016444,3.62279326227641,5.27040925825826,4.62983785500756,4.5495733684116,7.14131326604447,4.72346618028932,3.53593000910685,5.3230317610906,3.81686261974463,3.51682378181975,5.38231883326052,4.54112564178071,5.26815907709458,3.49033386136966,2.71860997288307,3.88582510402283,6.17543299180724,6.67638302832731,4.37076990272338,3.30210578207704,3.25143404256504,4.68375978063127,3.28679368188484,5.37131040885732,3.80960038385502,4.38707770628811,3.72279084429799,3.81705146220897,5.05229055504568,4.1262325769852,3.24350778908766,3.64359447534717,3.28918609094783,4.13205169323764,3.3467535228476,5.6857269074879,4.57831665492347,6.65483318907966,4.53948879080457,2.25478347154939,4.32183544904083,3.43198261579336,3.93667041301742,4.79469748082075,5.4370106618627,3.26392728447514,3.54722970255242,3.89818003518156,5.11149680744112,4.36149724673258,3.54320841155516,2.87740229326646,3.35098801635922,4.43540969828023,3.77559704130316,7.17266031317235,6.12963295385973,3.93207394488632,3.18326586874211,4.75478523995664,6.34634474772172,2.92597492980434,5.76634841128273,4.11464877484664,5.02489554728275,6.28651460370764,4.53577355493564,6.77230572750794,4.21626858269646,4.10525831622008,4.79763921831136,4.45816691449053,3.53846055499915,5.75354818400035,7.04736523069304,5.3788584274374,3.90027099318792,6.49086022630997,4.98631257695043,3.49350405810219,4.34235513334719,4.42498752218177,5.11754075601244,4.8658700214777,3.80431570450675,4.68669913988557,3.24288913220854,6.15773176431987,4.99662280947294,5.13095305324053,3.83147522956511,3.83159701904376,4.54838814842528,4.39564346326484,4.45693617588758,3.77223052350327,3.37556906365873,4.78394416814683,6.69629739774994,4.55770051213247,4.61275754393704,2.93085398396226,2.53721317452174,4.54271434017655,4.00497647334029,5.03423811805028,4.57806963215777,7.81415178113055,4.30283497981347,3.70797756746624,6.04695200589287,4.59635510344103,3.80116798471374
"Haliaeetus leucocephalus.1",6.20188260395603,8.33590193168507,5.82850263317875,7.36036143269534,11.9685385960458,6.22662541854575,0,9.00522382937168,4.48637982984117,5.66708737986701,4.02062122754803,7.15156051417997,9.98068578485982,2.73373786251343,4.80880423308289,5.86657141988999,6.15816266546619,5.65835896877389,6.32566837848188,4.47194041238601,7.35302117220143,10.505278098843,9.16200273491195,4.7654836313396,3.52299902477119,3.58115701181887,5.345941287362,1.43964385928897,2.60564913385029,8.47719084786019,7.79711505782414,7.61974287517484,2.76467036052433,0.931833889400521,2.42575339747577,4.70214495566414,5.542932203119,5.45631462957642,6.56306972006325,5.14489509302256,8.56212463340063,2.84463331122809,8.04573344688845,5.26590696402621,7.97561528841286,9.09626871515489,4.91497228753189,6.92927591318728,6.37464394375002,4.4170156956562,3.65973343423679,3.48148720402992,8.22062787986445,6.8240273325078,10.013721228496,2.02105522646144,4.890057125379,3.73349696599691,3.65914354209318,5.87804977768887,7.15490643865887,9.2350114730998,7.56634938499919,4.4205912208117,8.49228913219491,2.44334549879415,4.61130106850407,5.44087343643543,6.08719636225372,6.02045125483094,2.68843859190229,5.0191121201681,12.6577787893242,2.64113613177745,8.54779507320567,4.30202885191448,2.12308895624297,9.10052229641327,4.51167773523682,6.14512552351459,4.25456571530988,8.24901121339441,10.0011483652405,9.24762164121548,1.35625620193095,4.85517026433958,6.9823360045311,9.55524187292872,8.91751191136043,4.72629464257465,8.66095061406394,10.4888308041702,3.53503711615258,5.59211605314538,2.53725185580159,2.56489992887169,4.73292954924225,3.02882380390415,6.80299219382296,9.87177978205761,3.06028511718411,3.67227628174181,2.54189042521629,8.12415619899484,9.1432383036757,8.17092394364885,2.60073879489024,8.08828053010634,7.5561289205402,5.73161677843085,5.81929012750021,3.83092391899428,5.25555105735601,5.5521201464237,4.48764211932829,10.1356863155053,6.83187871086598,2.93851125452689,7.81761636777678,4.46690651105829,2.99114468726463,3.44260398413959,9.71094351889825,4.3396932673451,11.3755365933901,6.69749118984415,4.57159580221714,1.52965807014285,5.85135886538938,6.62688157444587
"Hirundo rustica.1",4.18897901947857,3.34938749665878,3.47935856181332,2.99807506832432,4.24374912795456,4.28383232202759,9.00522382937168,0,4.99151922558672,5.14308323204704,6.18048616359829,2.61545743514124,3.66440972939499,8.59187838853259,4.81134702283186,3.90842183149372,3.61489754579401,4.03752084362711,4.67523617579676,5.95707097465084,3.33610767411702,3.86703543514524,0.761321347783265,4.81264011959036,7.76559899174635,6.097633185955,5.3472420286553,7.96356799449621,6.98291415670907,2.85698997763675,3.31480920503933,2.21565157467201,6.75660815215744,8.72238872172774,9.34006504549232,5.64399571878333,5.07860718454516,4.46155444757687,4.16916215485929,4.22488799601312,2.99052708578786,6.77392257037798,1.99952066847398,5.21308286667682,2.40116343585952,2.69141305645078,5.39449019038742,3.98136777086398,5.07842407084895,4.88481064235722,6.2481391233837,5.66110473573376,3.49377609425228,3.39694410004859,3.46161430558109,7.02831827037011,4.75013629771896,6.11558736464367,5.51441819354259,4.34975949381611,3.4457535189351,2.40519391988023,1.54057172188677,5.66961765754418,2.43020070513933,7.03578448563592,6.11949059506102,4.87804247558962,3.29029189303691,3.32926060484011,6.63782709508711,4.4112961010523,4.93701065743439,8.87898238302032,1.56590334930471,4.84033683994407,7.03381506403608,3.75887981347542,5.50414345320057,5.50554665912465,5.77572445761321,2.55204891194017,2.98059164980465,0.586472740626881,9.41751734768577,5.85544979845132,3.1754785723022,0.907153105712676,2.50292340344509,6.10438801779619,3.28811444628106,3.72115553595847,7.95391510335686,3.9208399530377,8.39320131529911,7.02046316940253,4.60867778610448,6.30712619112373,3.44919122349852,1.02429826910516,6.57509614990355,5.78566828775555,6.97249478997181,1.90759894134938,3.33547241446886,2.63302619065502,6.92922161570228,2.89773922777017,2.57960832199256,4.79307441099284,4.15222674047087,6.14939273022145,4.14896301835008,3.87426421661237,5.84863043595082,3.44692871198072,3.74758382292266,6.53325890853797,1.92577472797907,5.23144081671838,6.4195553743685,5.9867973258848,0.960639205227713,6.50510397273291,4.55702988518938,3.58675572659884,4.74393820423243,8.61824542609934,4.36193231516787,4.81662522116412
"Bucephala islandica.1",3.61101974307126,4.57195369859092,2.24415482485007,3.13089511265943,7.98036322886061,3.77926093874361,4.48637982984117,4.99151922558672,0,3.01466911750377,2.50938916612788,3.21062214180844,6.24415507707456,4.11105916446461,2.29498423460523,2.83648344688087,2.64587769195917,1.28112417277994,3.555709771842,1.66333778318793,3.11990530236731,6.71544981178207,5.01293526302748,0.498305316695017,3.36791332541814,1.89266114151828,2.19365538726379,3.50476551190478,2.60088123917073,4.63619701210946,4.10589439190196,3.92861801655348,2.71843262872478,4.37038179182034,4.90289013683578,1.33166454094997,2.95385404010991,1.52968552279256,3.23159030814039,0.848842885551274,4.84126555582761,2.82843915546767,4.10667790299121,2.10883774052333,3.82099783210041,5.17479810150204,1.31084745032174,3.69308282452995,3.50493235994418,0.856951302309555,1.65947227776909,1.52709169816114,4.45607703613999,3.09708351660444,6.11740094359379,2.72470807307857,2.60030060043208,2.35946057815616,1.4513613654217,2.12973103927335,3.44026388215709,5.17292435440147,3.51483403293035,1.97116223493907,4.66124457954376,2.93427490408065,2.39081248654416,1.82986449093362,2.70794072171635,2.11541231945823,2.82802665977671,1.76493260842927,8.69321524675473,4.65223539917343,4.46782680252753,1.73719786514301,2.74058253303274,5.38800034188488,2.15722330681568,3.77719778685883,1.16879443572282,4.38448342680549,6.0756378771148,5.16418347266535,4.66953210066268,2.06683700895897,3.33346621394369,5.46893230211078,4.94184053116509,3.08409202081136,4.92975480064263,6.63669178380702,3.5910412208442,2.01284832914875,4.37489969519194,3.2357915951797,2.12266613797764,2.16840489259397,3.27173638088087,5.74776897617285,2.81489437162022,1.27608806316327,2.34122003851951,4.57015452101636,5.37939675318581,4.34539581783068,2.68876259632088,3.92619993134529,4.15975706165394,2.93908341393173,2.78301800086734,1.34123775559477,1.61956878726355,2.45981398690286,3.09573587170318,6.22265468673581,3.26160001418747,2.06792511366109,4.02675547997606,2.51070960995639,2.62275825259039,2.54060207272552,5.61547990868918,2.55190241030352,7.48778046194338,3.09091110761281,1.50203222539744,3.91615706179092,2.64713574499374,3.54440122940467
"Megaceryle alcyon.1",4.04264603882526,4.09687835167215,3.40483072863145,3.78302990467853,7.11876763290433,4.09773808235093,5.66708737986701,5.14308323204704,3.01466911750377,0,2.68569059131922,3.52859261042258,5.54316732227387,5.5558577104846,3.6076110413657,3.81342044918352,2.96541500220281,2.68353234759562,3.23850030187054,2.74817266668945,3.35882966271214,5.96703733776488,5.16807571026611,3.03506794396255,4.5330595892859,3.04825319347598,3.10835717318324,4.41539065976691,3.53201302931846,3.84273280092214,3.67571161944342,4.55712685269354,4.27129967895148,5.67413175107349,5.60732469207152,2.9893303019148,3.23037111014165,2.49612777045797,2.10420766908959,2.96685889143807,4.4493603037597,4.3912987599352,4.1206628770459,3.11300912188577,4.19472338495703,4.49495261185337,2.92677197682082,3.80717865205048,2.92988091158485,3.06226925136223,3.08619535259706,3.47306250099852,4.00954892157809,3.16244496230257,5.46429754292973,4.26763011296963,4.26531075700877,2.99228219934489,3.721426705255,2.56910753479427,3.08177495878159,4.59107742439104,3.89432512948646,2.83745780122558,4.23440647034774,4.40981204624163,3.62833104323108,2.63028178936268,3.53626646601,3.5771477159118,4.50066212330659,3.15368887509131,7.67964380246319,5.8058962973134,4.90089221539167,3.57801218463471,4.37171025817788,4.76217505042232,3.85808509089809,3.18078981509789,3.1060168156512,4.3173184826659,5.4962367277672,5.36166701310632,6.04245538516967,2.98095275305017,3.10346908703488,5.6809993510465,4.58837362156014,3.3903095788663,4.40868293657799,5.95529494408762,4.64420447597975,3.17749300365326,5.69685327528179,4.3418522254455,3.02983798667039,3.10975490091433,3.14588607969274,5.85672604535825,3.81206809918404,3.76584097691098,4.45623366405502,5.33429665328396,4.87611989054044,4.23221502674155,4.04702770081025,4.14235117610398,4.06124526114197,1.9244547553325,3.6640169851404,3.50633982527031,3.14367180673519,2.91991524270898,3.08562980668081,5.61868512596247,2.23531197652626,4.30453177851581,4.46882079718588,4.0957179587326,4.06476892622953,4.34001967989138,5.72478240516549,3.83366772652661,6.66890721174825,2.27484353562257,3.24656278620638,5.44226432630943,2.99745787417642,2.57338617086659
