"","Falco moluccensis","Hirundo rustica.2","Meleagris gallopavo.1","Pelecanus conspicillatus.1","Myiagra alecto.1","Oriolus phaeochromus","Lorius garrulus","Hydrobates matsudairae","Melitograis gilolensis","Myzomela obscura.1","Leptocoma aspasia","Eos squamata","Centropus goliath","Rhipidura leucophrys.1","Calonectris leucomelas","Sula leucogaster.1","Hemiprocne mystacea","Tanysiptera galatea","Numenius phaeopus.4","Tringa brevipes.1","Xenus cinereus.2","Cacatua alba","Tanygnathus megalorynchos","Myiagra alecto.2","Columba vitiensis","Ducula concinna","Eulipoa wallacei","Gymnocrex plumbeiventris","Gallirallus wallacii","Rallina fasciata","Geoffroyus geoffroyi","Caloenas nicobarica","Aegotheles crinifrons","Lalage aurea","Aplonis metallica","Aplonis mysolensis","Todiramphus sanctus.1","Todiramphus diops","Todiramphus funebris","Alcedo atthis","Accipiter erythrauchen","Accipiter henicogrammus","Accipiter soloensis","Aviceda subcristata.1","Icthyophaga leucogaster.1","Pandion haliaetus.4","Reinwardtoena reinwardti","Egretta sacra.2","Fregata minor","Fregata ariel.1","Ptilinopus superbus","Ptilinopus hyogastrus","Ptilinopus granulifrons","Myiagra alecto.3","Alisterus amboinensis","Hypocharmosyna placentis","Radjah radjah.1","Tachybaptus ruficollis","Haliastur indus.1","Columba livia.1","Spilopelia chinensis","Calidris ruficollis.1","Anarhynchus leschenaultii.1","Actitis hypoleucos.3","Ixobrychus flavicollis.1","Coracina atriceps","Amaurornis olivacea","Gallus gallus.1","Nycticorax caledonicus.1","Egretta sacra.3","Ardea alba.2","Ardea sumatrana.1","Merops ornatus.1","Sterna hirundo.2","Semioptera wallacii","Corvus validus","Hirundo tahitica","Aerodramus vanikorensis","Myiagra galeata","Symposiachrus trivirgatus","Eurystomus orientalis","Eurystomus azureus","Centropus bengalensis","Pitta maxima","Loriculus amabilis","Symposiachrus trivirgatus.1","Myiagra galeata.1","Carterornis pileatus","Ducula basilica","Artamus leucorynchus.1","Rhyticeros plicatus","Eudynamys scolopaceus","Ducula bicolor","Gallirallus philippensis","Lonchura molucca","Collocalia esculenta","Caprimulgus macrurus.1","Cacomantis variolosus.1","Ninox connivens","Dicrurus hottentottus","Megapodius freycinet","Coracina papuensis.1","Corvus orru.1","Dicaeum erythrothorax","Zosterops atriceps","Zosterops atriceps.1","Cinnyris clementiae","Erythropitta rufiventris","Hypsipetes affinis","Ninox squamipila","Otus magicus","Ducula perspicillata","Lycocorax pyrrhopterus","Chalcophaps indica","Ceyx lepidus","Accipiter hiogaster","Macropygia amboinensis","Pachycephala mentalis","Helopsaltes fasciolatus","Eclectus roratus","Ninox scutulata"
"Falco moluccensis",0,4.29184197735663,4.84617672597273,7.96618088115264,4.67101241720479,3.03780100284178,1.85729673045065,2.5904329506363,3.86690696923514,5.66448583238744,6.48264439113295,1.95040540421811,4.64174957235763,4.10123998711023,2.24595409138406,4.27924302862521,3.99916151758508,3.56603969208252,3.1604817403701,2.89347484832438,3.48550929865145,3.50878301733064,3.37973122728304,4.67101241720479,2.03477327840387,2.16130726549209,2.39111164307887,3.14072937547621,5.91812189785161,3.51952647720116,2.40996170152047,2.15625776846402,2.45748706983933,3.98561060590171,2.82301490110028,3.00027873425735,4.00974687885496,4.20524811317457,4.02300592180768,5.25961701210186,1.74909950711049,1.93830770741467,1.10361768958481,1.82281241094495,4.50583487566361,3.22641558048503,2.42862244332561,3.44549009164817,5.32626772434233,4.60261016138398,3.23884408578678,3.28644133093403,3.28081622525335,4.67101241720479,1.98786854612336,3.74711178280752,2.56628603301451,3.97019396257159,2.79352373455507,2.0305582277789,3.33792231249799,4.4896289041241,2.87287163478971,3.66318391283301,3.63554157903697,2.2188071439475,3.18935312521164,2.75495188846457,3.77496316488752,3.44549009164817,4.75764979648599,5.86202897675486,3.63037535249929,2.73349231255698,3.96564220353813,3.3530695516716,4.67083111138348,6.58950266552162,5.43607459645893,5.17710781224899,2.06718566850466,2.25196900743044,2.90542899857873,4.06354682755677,4.8251956233449,5.17710781224899,5.43607459645893,5.1826567642352,2.11356467916562,2.63431548667952,6.57539192887215,1.81649484646737,1.79716625688249,3.02576698101006,5.95766723879572,6.94633274649494,2.98247159859279,2.99716182941149,2.12376931143899,2.79754831511116,2.67761321223343,2.29566647990044,2.96400564800253,6.62766532524294,6.21623963304891,6.21623963304891,6.49871036117901,4.10786256939882,3.96738401903561,1.74696646459381,2.2515570852334,1.99266839889681,3.41330930297662,3.29003601816423,5.93786075314691,1.69456864253605,2.84542467739794,4.34161510483666,4.5897860123243,2.83557951154709,2.18572323527713
"Hirundo rustica.2",4.29184197735663,0,8.74928633011275,11.7297952053666,3.64553468107463,4.28070857494768,4.65301911177633,2.4391448574329,4.14900344237196,3.64612363932291,4.06587072882994,3.92778839518476,7.83214798117606,3.26796600784106,5.88039407858004,7.97983444836209,2.66423335429907,4.77311518525251,5.99597502735315,3.67747114738314,3.68270772108221,7.08712090058224,6.76261326306628,3.64553468107463,4.2163461055624,5.31379694417924,4.32221121183019,5.39434177597408,7.75908128851868,3.60948419809896,3.96694831302566,4.88163673625512,3.68444068163313,2.69899256677763,2.81263072582651,3.25759432306491,4.23799793996763,4.23767082951746,5.58590692193361,4.23223655401153,4.73292897629273,5.58687572920051,4.02212486083392,5.66109598789355,8.60308941373209,7.24796772416646,4.60619627764319,6.74299397242306,8.69387624218063,7.72511947725081,2.61247473942375,3.0099021792069,2.88882569934339,3.64553468107463,5.19524886369939,2.31770896004235,6.25185856291487,3.68528115505229,6.69510159681624,3.49348320950866,2.95631169466839,2.04332974284983,2.92510915542302,2.57151518922932,6.43815458031421,4.59201543844411,4.94198281327989,5.81863959872727,7.49147253902353,6.74299397242306,8.49961877131235,9.71062248887443,3.16915679986776,4.12260380683171,5.63502934261703,7.21517895436217,0.731622121782923,2.78707452956899,3.49398457759052,3.43385824481931,4.23757414088311,4.70038146282709,4.95867331257494,5.81613468723783,2.4688831736831,3.43385824481931,3.49398457759052,3.56412881679097,4.49547020884629,2.63202444095456,10.3177279079415,4.792751064721,4.18143452096558,4.19600681205776,3.70439133359432,3.0068111964568,2.12472975442376,2.24347805080342,6.07036653272028,4.74671808024595,5.1387158104116,3.88824505361954,6.91457560811658,3.60185902362324,3.88776235488601,3.88776235488601,4.12285208404013,4.40688581890452,3.8458639770283,4.77330533578992,4.09650498971851,4.97965536815648,6.23225409636473,3.1321363671186,4.8166161645392,5.05420390246475,3.60632353713227,3.53815152645178,3.16126120337995,6.06430765091978,4.10381410741935
"Meleagris gallopavo.1",4.84617672597273,8.74928633011275,0,5.79244034948326,7.84638197261539,5.83100239771287,5.3782304109215,7.01580661943,6.70424973607033,9.0900020060596,9.97875133605586,6.15856020829217,3.28486729229216,7.33038404160061,4.42286917077138,4.41845679750226,8.14349756820314,6.25348249752959,5.01038793667963,6.66309425351412,7.27239448028576,4.00017351454877,4.98063892637896,7.84638197261539,4.79746021183597,3.64537669956293,5.18408866178253,4.87169785104117,6.05629632288531,6.79166654873012,6.20517175967393,4.32684367913257,5.52339292644858,7.64085213183332,6.74991697529001,6.62031952744116,7.34719230503008,7.60295666699329,6.22858028966787,8.73650446638451,4.41325731485145,3.41093230918081,4.90022805936591,3.58666455440234,2.07292261000378,2.69640735279105,4.78530823896183,3.92043414909324,5.14895528105274,5.29750896037561,6.85335484647652,6.74439911347035,6.78037145580882,7.84638197261539,4.74747962234631,8.18125857523565,3.56204965100258,7.39671704880409,2.7645615682534,5.6077976616346,6.63819912551748,8.83133042915602,7.07211349587722,7.74825445827144,4.77819648720128,5.06189951704057,5.46090582924367,3.33802523146526,3.07265716031948,3.92043414909324,3.10171493223366,3.28249625191476,7.43473611919273,6.53308213338527,5.50754319791859,3.33253473041205,9.12035981735478,11.0122475342308,8.92056984255139,8.60217425846259,5.51460093536913,5.19881534950035,4.91492508922937,5.52270140223,9.15520571417498,8.60217425846259,8.92056984255139,8.55071388285585,4.54807517371589,7.02668299964901,4.4822090133556,4.38652055895201,4.74734335809412,5.85514884699077,9.73572090510125,11.4400859589798,7.00379008672542,7.10661732774874,3.06509127514209,5.35529089366176,4.42583538984453,5.72539818423633,2.95597366187946,10.4618018685573,9.68306419648545,9.68306419648545,9.98582162219629,6.9852680873082,7.00285913063044,4.46441990672541,5.44853192885739,3.95633802206041,4.07874334948326,6.58909607530121,9.29954311125919,4.04399986429024,5.84047087561149,7.64543010124261,8.10992671582882,4.55021928317697,5.35906731292088
"Pelecanus conspicillatus.1",7.96618088115264,11.7297952053666,5.79244034948326,0,10.9940657332315,8.84113426104077,7.69892648243262,9.87443814355018,9.66437327252376,12.0508286607321,12.6224500055645,8.43451162902195,6.93720268718103,10.8757890095295,6.23095610141113,4.26174431478862,11.1443215342044,8.92234753526159,6.24577546702514,8.77593327942051,9.01847366835776,5.87133012997149,6.00273417389881,10.9940657332315,8.43996974916596,7.49413291807732,8.71683204763462,7.74682793644089,8.34239567738173,9.87213305999705,8.57991778539176,7.87133832480786,9.26872087783905,10.8664228736408,9.78676611871501,9.6340336164911,9.12845912342713,9.36617417192043,7.94088915111141,10.4488443765473,8.33892759457942,7.43382822494049,8.33343038688933,6.9995045787591,4.51464203528262,5.47456813165631,8.77805556134402,5.52776976550273,4.76075584904877,5.41430092556034,10.2549898320931,10.0460004069767,10.1856654454094,10.9940657332315,7.54144589634335,10.7014668538391,5.92222243605641,10.1381353080368,5.9922410920643,8.95427885244279,10.2819125141328,11.3147861807135,9.53446788451655,10.1452004027148,6.16038922630649,7.9506474941383,8.50743297894338,7.70584704608305,4.93850960834026,5.52776976550273,4.21061154370313,3.18417521523467,9.64315349297088,8.49097795639157,8.4336051051275,4.9379610889627,11.8911574020305,14.1172346950576,11.9554438863622,11.7824103077461,7.99771875924044,7.7770924327002,8.67125387993335,8.62575835959066,11.6883580251524,11.7824103077461,11.9554438863622,11.7448503755705,8.17387301882452,9.49070800001603,3.26897171334357,7.70684444816665,8.30913362518011,8.97854242322482,12.5919693819447,14.350235511812,10.1635981456524,10.1175006303723,6.67277740913897,8.14585589341075,8.17710179499349,8.58609672083969,5.31752845327413,13.4760568320137,12.7656438774908,12.7656438774908,12.6182819617711,9.88636477292642,10.0654786239655,7.84301726341476,8.77132669077671,7.65583181860483,7.19486295011749,10.0581646166049,10.9505489518794,7.74307150825566,9.73005096283509,10.7805410483027,11.2084404939847,6.5410971234933,8.5467048901449
"Myiagra alecto.1",4.67101241720479,3.64553468107463,7.84638197261539,10.9940657332315,0,2.28892176137109,4.21320141025309,4.27820487491315,1.7412185584284,1.58782411066376,2.4436916559417,4.10146093718154,5.95499427802023,1.10994741682312,6.31683891054604,7.9449932025545,5.57849722522035,3.14835094445831,5.90744389117057,4.33013275831721,4.20133395999344,6.16984115243095,6.34295073741117,0,3.79374545117991,4.80937409612173,3.84748468411269,3.95450418479938,5.07055371630866,2.41625609811268,3.62980438691923,4.40295462868011,2.87163468989614,1.08018337920082,2.12737554823021,1.86308644055825,2.82059491414959,2.78397033632666,3.64240881757254,2.79842503069601,3.90731513471033,4.76076715620642,3.77622849355225,5.4963342887367,8.16252174675487,7.07467397453497,4.50309953485326,5.7289966210254,8.94437470654009,8.16612136881607,2.27894953380269,2.01464547119859,2.0364285956898,0,4.79897103910845,3.05355397285999,5.62442829600974,2.84069862097871,6.22650408722389,4.14564290485236,2.749843605821,3.77236795657995,3.7760745521296,3.2515776269283,5.16203589273647,3.38787007906257,3.38481191971996,4.58188761081591,6.37163837356638,5.7289966210254,7.47832825978864,8.58060073164232,2.82060721655703,5.55232950753456,3.06173340229584,6.47167928626095,3.62076278752554,5.93868537971129,1.20301323848416,0.892586081720158,3.78026057084742,3.82337942937865,3.17253859503427,3.23450938222788,2.9096597978731,0.892586081720158,1.20301323848416,0.889169468988001,3.7714335743511,3.00990100195739,8.99956134177098,3.95295433906302,4.05060568625114,2.84462693883489,2.38652730887962,6.01302573116367,3.69545140679691,2.38531216231526,5.50040091431739,3.07836175849366,4.05387152442772,2.76877225672135,6.19923765927988,3.03554962203296,2.07433406115902,2.07433406115902,2.44779192939606,1.88503347007027,1.18266126581211,3.90280000618754,3.0109445677884,4.50879937743541,4.26437523887104,2.49931061994758,3.03741709326098,4.17670733450401,3.48030101562399,0.667579720077544,1.43189595152268,5.2838093868384,3.23680344022013
"Oriolus phaeochromus",3.03780100284178,4.28070857494768,5.83100239771287,8.84113426104077,2.28892176137109,0,2.31937755302118,3.76170829965108,1.5115624985553,3.59910520809254,4.42453393214634,2.64436093112641,4.1192484133306,2.27459682524577,4.42799262307898,5.80788736263755,5.33003337525071,2.06674676503617,4.20583287435089,3.46318540620936,3.58426393276988,3.95956363625366,4.27046718813885,2.28892176137109,2.20079057927233,2.89167915910873,2.52002497279377,2.28727949270336,4.00602416425732,2.1979488684861,2.10520214341668,2.66589917032835,1.69573402015318,2.23983998034061,1.72914779245173,1.29322730015582,2.14026009923112,2.31843254184804,2.07814590530563,3.22740382920699,2.27398461241183,2.82406456976754,2.12180944802029,3.50498216095194,5.97080652770127,4.91576475818624,3.13721294634661,3.68930117845246,6.90650671043173,6.20164257741913,2.24058525978072,1.80728790202192,1.95175829067265,2.28892176137109,2.88770621969608,3.1975891619023,3.45786876010167,2.78322315186578,4.09625136773639,2.99008796318902,2.61003165502878,4.30692587787744,3.28153287360149,3.28026549723733,3.28193154331452,1.25801469772279,2.01288435651392,2.77056338663597,4.20558252128418,3.68930117845246,5.42205440145753,6.46199660558608,2.50290536383106,4.39029450031956,1.61564366806454,4.28933192766041,4.39614254281816,6.89930157520823,3.32427477815518,3.08912753348333,1.90148274926442,1.78368633649024,1.57952101105092,1.94797750910417,3.78758692240444,3.08912753348333,3.32427477815518,3.06043483740073,1.97900387761339,2.37302827954156,6.83354570822055,1.94200486076619,2.43962579306373,1.75021171540625,4.14202318063737,7.08802400315,3.33159257809712,2.29350017242977,3.37755356484972,1.09902427767229,2.42246447610652,1.03784175231718,3.99251177582006,4.98762428505267,4.18724924812664,4.18724924812664,4.42488406491016,1.8485136177713,1.4289095854989,1.84976913587288,1.37959061963876,2.61888412863012,2.20692397531868,2.27959051857176,3.73506895816939,2.21063684386502,2.71574829386931,2.08442681576964,2.84353100149774,3.10256825219265,1.38003836501665
"Lorius garrulus",1.85729673045065,4.65301911177633,5.3782304109215,7.69892648243262,4.21320141025309,2.31937755302118,0,3.52463754869605,3.45077892372294,5.33503412917423,6.0552592899926,1.00937089676615,4.37290579725406,4.06214921880173,2.96134961607931,4.15332929926405,4.92220570332741,2.72166406978389,3.48674188071874,3.32298836623879,3.56272827988007,2.62719773643659,2.34148868739578,4.21320141025309,2.62300798177173,2.77339878725447,2.97601050547163,3.1019007587459,5.2627703768248,3.53025194066732,1.13408607577394,2.82696867306048,2.6927899136194,3.76396859593234,2.63541143771814,2.61035345959087,2.7606244054381,2.94824033053187,2.53516205946166,4.24438514673157,2.38473017875471,2.52608519957856,1.85137267565078,2.45950689557163,4.88691212322384,3.65728653746515,3.2802399972387,3.27102683243994,5.3550635076074,4.62510829320191,3.45124504529803,3.21156561756866,3.30992266587031,4.21320141025309,1.47812358175591,3.23818441875779,2.40213814464047,3.76613218178539,3.1926147255301,3.00618218143826,3.79174883750314,4.72617356388742,3.29040814433635,3.78747673425351,3.16364418014229,1.40118052205533,3.05887105976506,3.21243051663291,3.58991635730306,3.27102683243994,4.8561366808359,5.80359148027462,3.05252842760606,3.4666656936532,3.32608207430985,3.17653081078335,4.83291593096856,7.18508905676996,4.96918266206506,4.812339193286,1.04854953939225,1.11118124868854,2.7923164635237,3.44006953560568,4.30006492952047,4.812339193286,4.96918266206506,4.80268434063489,2.44846044921671,2.2719061502032,5.91231243725241,1.79731198143764,2.55276372777521,3.02471519515291,5.37512947815894,7.41762571922401,3.59908549746198,2.99082886500918,2.50041407594348,1.96881610440985,3.05381222791662,1.66910162721919,2.94491756266442,6.35461660253839,5.87014210735672,5.87014210735672,6.04893373215729,3.50267998099658,3.42919057076337,1.67954666735358,2.06026358190371,2.56994125342126,2.84257752374449,3.60320897671776,4.80176419676104,2.01961060792966,3.51217530304223,3.89619420007684,4.43121616800389,1.66152187270091,1.82633111240015
"Hydrobates matsudairae",2.5904329506363,2.4391448574329,7.01580661943,9.87443814355018,4.27820487491315,3.76170829965108,3.52463754869605,0,3.78154099902107,4.58210364902429,5.25733325780145,2.9560756828291,6.59592592912497,3.67649245416237,3.80479021922899,6.14113578486627,2.52222892152289,4.36926923751261,4.00905488000984,1.90906017364916,2.44931713495765,5.75223435796887,5.43769694865137,4.27820487491315,2.8558173461497,3.77934919958112,2.94086028900003,3.95721369892826,6.86966264338943,3.01360512115874,3.28190275921845,3.22589386208921,3.1276891656628,3.31617730535464,2.52673369176077,2.95008955168851,4.14725137421538,4.28632989345925,5.06012177653972,4.62593743104093,3.44604762297032,4.06199618272438,2.65867561431243,4.02288612310774,6.6929044401824,5.43797643146232,3.25668996617674,5.00621183450151,6.9883812702418,6.07119485456832,2.46159958845027,2.88576105488304,2.80687484057807,4.27820487491315,3.98909050011525,2.96668609305767,4.70870053874394,3.39441867966785,4.95301561879218,1.80883274663747,2.52262213508095,2.34759289448674,1.64152548262546,2.02169961158467,4.89392007253973,3.67090897752863,3.82499972487033,4.45592093815779,5.75830487623038,5.00621183450151,6.58268826159184,7.83358649744157,3.0651646635734,2.10478104490994,4.8706539060081,5.49951357521832,2.84037794911845,4.38468426459015,4.72198791345498,4.45392934739198,3.29154547707718,3.80167647378167,4.02903228570172,5.13198973261697,3.72458600231882,4.45392934739198,4.72198791345498,4.53795699220813,3.25673341308133,2.30494491920063,8.76348510325421,3.54047733201179,2.7029997034716,3.14662744478802,5.10626416589166,4.67950770681031,1.81176520289925,2.22671939534775,4.42273752843715,3.95841825919373,3.82235339590138,3.17185327758661,5.19045932648437,5.21497351601019,5.10633897968967,5.10633897968967,5.31234348029736,4.29162101771097,3.86463995465556,3.49241254297352,3.14330532996329,3.50944000125067,5.10204791952775,2.5454123759982,5.45717933396023,3.63890593145901,2.6734641822964,3.95863345833766,3.62377397087662,4.83858515644287,3.13113330287645
"Melitograis gilolensis",3.86690696923514,4.14900344237196,6.70424973607033,9.66437327252376,1.7412185584284,1.5115624985553,3.45077892372294,3.78154099902107,0,2.58498669573247,3.47952345594418,3.51935617747367,4.85575778085722,1.75952237118911,5.1592341377749,6.71283371226273,5.50034022020456,2.43570957380334,4.53040358686531,3.34064959585171,3.35081344570587,5.21692678349706,5.42816358669545,1.7412185584284,2.83386310503998,3.76942385503037,3.04194024952907,2.57338964094683,4.14010841715366,1.84300412888654,3.16465114343465,3.32081718771253,2.44603478628963,1.87528436140811,1.75915767989922,1.33331640655983,2.45539454363594,2.61982676286556,2.88196813474159,2.87688895558284,3.07869932566601,3.72983482679307,2.98195321130181,4.52901453858709,6.93615850380515,5.97834304329568,3.58783580142825,4.36199234238323,7.79145816056667,7.07700185144388,2.19710118444713,1.95383029349229,2.0314726119373,1.7412185584284,3.96029787816595,3.35875839901491,4.61329399730693,2.67497183372278,5.08656098978929,3.37151879485212,2.33171990381722,3.79573790080988,3.22594579621517,2.78706872779865,3.81585479254387,2.50781802600334,2.34403953401988,3.52770791793913,5.06635003915516,4.36199234238323,6.05783067689768,7.19411191127366,2.35536534036095,4.59151880007197,1.98769724770947,5.24129484265283,4.24572972455053,6.57355348026572,2.82045893684577,2.42904623049629,3.0724414594369,3.11342324117499,2.11468622732526,2.53030829518516,3.6922102419771,2.42904623049629,2.82045893684577,2.40749749793487,2.85066516304306,2.85499861300704,7.78688047773432,2.94524150476295,3.13507368008179,1.70202248351568,3.74770414539394,6.68437061798259,3.50317825948815,2.23483272938793,4.43757653689772,2.09827072542616,3.14131947106145,2.04553513715413,4.99493297453699,4.297085204158,3.33183862161832,3.33183862161832,3.4928964621021,1.85308314697347,0.856567795684695,2.97677180646761,2.30180679031209,3.50253526980676,3.12331561375838,1.95713934350192,3.48521184230921,3.19339120533862,2.78396407947871,1.57067816896547,1.86904628213477,4.38861369326996,2.42680491193417
"Myzomela obscura.1",5.66448583238744,3.64612363932291,9.0900020060596,12.0508286607321,1.58782411066376,3.59910520809254,5.33503412917423,4.58210364902429,2.58498669573247,0,1.15331074647489,5.05433408697525,7.28449805838092,2.09204978977528,7.19239957964843,8.98634430731536,5.89989643037137,4.3198362449979,6.58361957075679,4.60461376227621,4.34886559240579,7.47213460434025,7.52149864796131,1.58782411066376,4.80627415491804,5.94614409181245,4.6726776751625,4.79600762908695,5.88790829542887,2.85019526179569,4.66544091021684,5.34760596611883,4.10493823643055,1.86848457458163,2.97466105066802,2.85480886715124,3.62037684559321,3.53091396114525,4.79199656008638,2.82732857152734,5.08206820742468,5.97027832924404,4.85900568146347,6.67610658627812,9.3452041622069,8.25979776066736,5.48229747803828,6.69707996797046,10.0042288133886,9.16973686552804,2.91645550537331,2.85066582904852,2.83829824074293,1.58782411066376,6.0244385103869,3.46247936411497,6.81748008191165,3.10019059099683,7.41584904563071,4.84751329411784,3.31580224662313,3.32582199269658,4.01800524663796,3.19134168842678,6.03793801021376,4.6789578087752,4.22419698081084,5.79624771244855,7.48403345137462,6.69707996797046,8.48774193140616,9.66145875413072,3.3686561299183,5.99554849301573,4.19873845508833,7.63510503272703,3.48404537389183,5.4105139336444,1.35164807251286,1.10742348806899,4.92323963799126,5.0933237468006,4.40940563806673,4.42352544649849,2.8608711293723,1.10742348806899,1.35164807251286,1.21829689253744,4.90194550868193,3.72229535012037,10.243466344253,5.19131647350216,5.03728682083602,3.57652448799404,2.0743645605594,5.33805501911676,4.25898788005984,3.05517256253434,6.71549192008672,4.36716861387128,5.08321231138452,3.98516298422185,7.3888586196495,1.95780151454762,0.923264825472592,0.923264825472592,1.2123646404052,2.81404396137642,2.34269496285804,5.11549760172944,4.11231396414622,5.63988141828217,5.56130811812134,3.03721750106379,3.05569796175426,5.37120829816941,4.26135444588997,1.6908434232947,1.23854194730517,6.52991370492192,4.37154212326642
