"","Melanerpes formicivorus.1","Cinclus mexicanus.1","Falco sparverius.2","Mareca americana","Lampornis amethystinus.1","Hirundo rustica.4","Calothorax pulcher","Saucerottia beryllina","Thryomanes bewickii","Cypseloides niger.1","Coragyps atratus.1","Mniotilta varia","Dendrocygna autumnalis","Pheucticus melanocephalus","Spinus notatus.1","Setophaga nigrescens","Icterus wagleri","Melanotis caerulescens","Polioptila caerulea","Lampornis clemenciae","Spatula discors.1","Campylorhynchus jocosus","Peucaea mystacalis","Baeolophus wollweberi","Myadestes occidentalis.1","Selasphorus heloisa","Psaltriparus minimus.1","Catherpes mexicanus","Tyrannus vociferans","Bombycilla cedrorum","Streptoprocne rutila.1","Spizella passerina","Petrochelidon pyrrhonota.2","Pipilo ocai","Columbina passerina","Corvus corax.4","Accipiter cooperii","Empidonax difficilis","Oreothlypis superciliosa.1","Toxostoma curvirostre","Empidonax oberholseri","Phaeoptila sordida","Trogon elegans","Micrathene whitneyi","Lamprolaima rhami","Ptiliogonys cinereus.1","Melanerpes hypopolius","Anser anser","Quiscalus mexicanus.1","Contopus pertinax.1","Ramosomyia viridifrons","Anas crecca.3","Dryobates villosus.2","Setophaga occidentalis.1","Eremophila alpestris.2","Haemorhous mexicanus","Vireo huttoni.1","Columbina inca.1","Sarcoramphus papa.1","Dryobates scalaris.1","Spinus psaltria.1","Geococcyx velox.1","Aythya affinis.2","Amazona finschi","Melospiza lincolnii.1","Dryocopus lineatus.1","Dendrortyx macroura","Geothlypis tolmiei.1","Anas platyrhynchos.3","Poecile sclateri","Ara militaris","Cyrtonyx montezumae","Strix virgata.1","Trogon mexicanus.1","Cairina moschata.2","Leiothlypis ruficapilla.1","Mimus polyglottos","Glaucidium gnoma.2","Myiarchus nuttingi","Catharus aurantiirostris","Leiothlypis celata.1","Eupsittula canicularis.2","Myioborus pictus.1","Campephilus guatemalensis","Falco peregrinus.3","Empidonax affinis","Cardellina rubra","Cardellina rubrifrons","Buteo jamaicensis.2","Columba livia.3","Salpinctes obsoletus","Archilochus colubris","Catharus frantzii.1","Selasphorus rufus.1","Basileuterus rufifrons.1","Aimophila ruficeps","Catharus occidentalis","Sayornis saya","Buteo brachyurus.1","Myioborus miniatus.1","Cyanocitta stelleri.2","Asio stygius","Piranga rubra","Tyrannus crassirostris","Setophaga townsendi.2","Cathartes aura.1","Pooecetes gramineus","Tachycineta thalassina.1","Tyrannus verticalis","Megascops trichopsis.1","Basilinna leucotis.1","Lepidocolaptes leucogaster","Aeronautes saxatalis.1","Melozone albicollis","Leptotila verreauxi.1","Cardellina pusilla.2","Junco phaeonotus.1","Setophaga coronata.1","Buteo albonotatus","Anser cygnoides","Meleagris gallopavo.3","Gallus gallus.3","Turdus migratorius.2","Sayornis nigricans.1","Molothrus aeneus.1","Bubulcus ibis.1","Myiarchus tuberculifer.1","Henicorhina leucophrys.1","Bubo virginianus.3","Passer domesticus.1","Troglodytes aedon.1","Colibri thalassinus.1","Zenaida macroura.2","Colaptes auratus.3","Eugenes fulgens","Oxyura jamaicensis","Accipiter striatus.2","Mitrephanes phaeocercus.1","Vireo gilvus","Ortalis poliocephala","Zenaida asiatica.1","Sphyrapicus varius","Patagioenas fasciata.2","Vireo cassinii","Arremon brunneinucha","Caracara plancus","Antrostomus arizonae","Circus hudsonius.2","Stelgidopteryx serripennis.2","Vireo plumbeus","Pipilo maculatus.1","Aphelocoma woodhouseii"
"Melanerpes formicivorus.1",0,2.36036667241759,2.16457815125454,3.18244189654184,5.18031836581293,3.78338021612807,6.63121451857167,5.31604492794457,4.20441497264089,5.40666177981438,4.4852681743731,3.63414156716796,3.15947905071356,1.5925730131921,3.36713647353567,3.89296368209944,1.58723244324169,1.94476072773037,4.65425969323127,4.89972279763331,2.84908476733744,2.72661193112203,3.39909813203359,4.0670250127099,2.41757368519873,7.30575511978062,5.34968930508881,3.41290959133999,0.816027379648071,2.82910721444449,5.87904438922739,3.46456319976006,3.78867023757099,2.61903798209253,3.34269566030735,5.20798843897679,2.82463191055251,3.40620888976206,3.64645312670729,1.51000620860258,3.55672545139703,5.66566303158247,1.92489450009267,2.57787036587275,4.98441770722051,2.85280085928935,0.918300076876577,5.00821424313523,2.149986495894,1.30603165893699,5.28738498189136,2.46435184951003,0.576495024413503,3.67102576594313,2.47156724260001,2.93005701081685,3.87734694938917,2.85309405983289,5.72309289755099,1.67497218930491,3.86211193715254,3.39986387635194,3.19508759329905,2.79557354799981,3.36622392600255,1.69072480198246,2.68464437678659,3.90966348189744,3.80352436265357,3.95212389186456,5.57918141248766,2.3064431796938,2.34775195536435,2.15084955782544,4.39920847186608,4.27366524349512,1.84147317109436,2.42068120479243,2.23678834500414,2.91486872984271,3.83119162873348,2.22439880399393,3.68532118339262,2.14636958444416,3.4837344614169,3.31256114168308,4.12671529241937,3.77585227452115,4.27458410840164,2.41705903534711,3.23567162209261,6.47763350868749,2.64188647628473,6.71512877020709,4.35792499476363,3.65400613450566,2.65020816849166,1.90203608239689,3.00319425696784,3.90046313809572,1.88237608001356,3.31608645021845,1.57578171736609,0.945224964989676,3.89107176533328,4.62592664917123,2.9694339147952,4.38765072869647,1.0845919294212,1.6680564434088,6.04097398055241,1.58071408057655,5.73814420688498,2.71206380358959,2.17469599024752,4.30782740639807,2.9337713349331,3.52316263765862,4.0476032587975,5.32664981142847,5.56006080973324,2.79760231532802,1.25326237191069,2.37150763047324,1.40547535941018,3.18639829521283,2.14011045655165,4.59567677062966,4.03885994184799,2.68029447876903,4.286845616485,4.96917786431634,2.66178384743774,1.23036521192587,4.76769945572003,2.45802001921788,2.15226240048935,3.84070019389126,3.45099962556479,3.75810932324548,1.67825595670465,0.771670220225935,1.86213557200276,3.17416574554679,2.7884930454517,4.29377445813638,2.84676659816719,3.82502722671492,4.3958024313389,2.95977102567797,2.51648998301657,1.73651269376331
"Cinclus mexicanus.1",2.36036667241759,0,3.25582855958582,4.97405110454192,4.47907451635034,3.11249992389611,5.37217004262331,4.27902872916006,2.42064094699819,4.64860055682021,6.25864230630616,1.78290639860475,4.95603132754643,2.13540791250891,2.06131347415321,2.12050984802693,1.56092996765109,2.20780475765809,2.85259055300259,4.36938305615354,4.51447312736584,1.67702138765689,2.29423844124588,2.58239393646477,1.73670842188914,5.87508992984424,3.54637627388855,2.04024590169322,2.259435902083,1.68853051233717,4.93634191724717,1.91509620525056,2.85994214230297,2.18187598728142,1.61518600228504,7.21367430527383,4.25391510258118,2.02543432233412,1.92783001505508,2.40655171056899,2.08496459800776,4.78133263806333,3.20395207751395,1.67553711518467,4.31553606536474,1.9222521746966,1.79562573533917,6.83153090643562,3.89749410137423,1.85170546248923,4.54371334835201,4.01728976179039,2.42208063383363,1.9101436291505,1.6052104921803,2.19683540961685,2.12552575232932,1.69828735096208,7.65214960598519,1.46449399516123,2.53032765686019,4.52393471154258,4.79847706155441,4.84841972631632,1.72328670315977,3.78962761003968,3.82205278922498,2.00633665622317,5.68951209239787,2.31641207763048,7.70752114661168,2.02511616659248,4.0597567355305,3.50787285744682,6.371597305166,2.40231523155119,1.70637100245831,1.83032399267372,1.73931249249114,1.27404441572554,2.1115844637446,3.74930064359007,2.13192179633497,4.12183195985517,5.19590351100502,1.89289567415152,2.44598405207386,2.19331463126592,6.05678270648453,3.12598681252968,1.51166316319684,5.33891903226098,1.25578676775571,5.65586622371665,2.78283529668137,2.14998169328034,1.04980073602319,1.3847103233189,4.71528571943176,2.38445329885707,3.30321508218515,5.11554806960923,1.89909295001004,2.9516074439628,2.06216102360245,6.52922959986619,1.70988926668587,3.41875290157306,2.04419320745235,1.93802185816318,5.13603380999808,2.32497107670673,4.88778544863029,2.13837142168242,1.74467843244946,2.49617037506433,1.64030789147315,1.79076662672224,5.8079180929899,7.15705770105397,7.20943921983499,4.1511253989743,1.71119039975026,1.59358474586941,1.43778829662759,4.7522712094231,1.72791446024497,2.79184698592301,5.84437950636158,1.75475394821116,2.45099247065133,4.01047511979258,2.34444037698456,3.18461980305508,4.25470994554175,4.12213831811362,3.05125430354467,2.47715273167945,1.72443797396658,5.10397517492856,2.32860723965448,1.92669370798266,3.22076260665952,1.50921651619209,2.22330690962341,6.12984273488654,2.87505492502492,5.37742225519337,3.28078791596485,1.44214115068879,2.017346878703,3.00376849035775
"Falco sparverius.2",2.16457815125454,3.25582855958582,0,3.01961741537781,5.83464405772021,3.39990918853288,7.34073075021556,5.9990190583444,5.21907119566605,4.49549638174135,4.82784228783321,4.34163422814819,3.71345200222882,2.45850900873017,4.04465269687181,4.44342901552391,2.7461441431299,3.21563704834857,5.35976044735641,5.54094117623606,3.18536209417949,4.20452341112819,4.24260463223938,4.60144176606998,2.61096850846736,7.81443903812585,5.6999002018577,4.82412012085649,1.8368233849987,2.95539043747541,5.08360677005001,3.99406818894063,3.55550885272562,3.50215568716422,3.91123876511322,5.13224012416878,1.96091177627216,4.17457029284068,4.34288134437575,3.15824829279556,4.2966710372272,6.3284548615532,1.54899712314808,2.80278368732066,5.53669473418031,3.13834333559728,2.33934761891481,4.6698846346947,2.82433047917991,2.4807670857629,6.01202866962417,2.76010843611694,2.61876006213048,4.18946476070073,2.39591801705891,3.18720474141879,4.58312524313175,3.22871420385768,5.46202123005471,2.9032658257565,4.40814620405712,4.3228936147214,3.48229435787844,3.07007813349632,3.97765277508087,2.94944852838767,2.85088379989945,4.54270173541312,3.95138719836465,4.51711430623392,5.36788633059894,2.72815883161378,2.51859902708537,1.47918065980911,4.49627916481934,4.87218270011863,2.6049233282962,2.90408804664718,3.31099231623063,3.78360072284056,4.45659613124956,2.15254036417283,4.21477159893312,3.38918093625077,2.53005811454611,4.06528028045092,4.72656489935643,4.28618091170735,3.71534906265003,1.78345603372943,4.39785663116331,7.13853245106289,3.38981854271023,7.34327331298226,5.13548262805562,4.52250416057924,3.37115166818954,2.78581148241572,2.51464862659559,4.53857393106408,3.041393192786,2.79279623249663,2.47436856405418,2.35828522641591,4.39783095667719,4.43950306571198,3.37548775458612,3.98028575404573,1.88024969467528,2.01670756573534,6.54843761526864,3.16239939218585,4.80306336218046,3.55868119989506,2.61938236861283,4.90967378427936,3.45769999002719,4.0218801177164,3.29968577867222,5.29817377024808,5.15214800798903,2.635274237724,1.81669439625681,3.27206604296048,2.38523088822452,3.89241238222628,3.38267872675479,5.74107309296769,3.64675054211235,3.21777213518258,5.33809308676529,5.72818987847701,2.54359126809591,2.80010038800301,5.52723871613058,3.0740338627276,1.15033865306156,4.33332865729462,4.10455596377471,3.85504781939836,1.90874161634586,2.1981683665032,1.61219093804477,3.72145463115331,3.8813951579873,4.11610373463611,2.39152829941131,2.79693159374242,4.12446618630901,3.44240989008555,3.30845673722553,3.00575997413991
"Mareca americana",3.18244189654184,4.97405110454192,3.01961741537781,0,6.79707579472477,5.54453885070704,8.50377846305045,7.11540554659151,7.1683305261171,6.41471883789158,3.70898811643998,6.41447413446612,1.87464584947111,4.19580104500693,5.9858295245236,6.67576787667339,4.51204512525368,4.72615922950767,7.51842432325467,6.35266322867359,1.16715940134537,5.69580356234901,6.36988840041833,6.95857821591118,5.05890786500838,9.1631610157909,8.12445658024285,6.39447282848747,3.47167737413274,5.21084136195967,7.08433030082906,6.24323053107496,5.66810429511877,5.41331669517874,6.06174694524367,3.12044931365153,2.83719135902514,6.26300390115498,6.46710160104097,4.06955557857904,6.4633148277634,7.30816280637344,3.54062947820076,4.99430699567574,6.68306528960412,5.55959628880893,3.90167714330372,2.39632356925703,2.81881296922789,4.18166590045254,6.87450710900241,1.42034150683652,3.35888949008572,6.41173279522495,4.75562885728375,5.52881753413184,6.75331537813444,5.51503642540754,3.59263491871201,4.60257384258777,6.54597483240924,4.9313699353169,1.23519136602731,2.16538486894828,6.17933500076961,2.74704382218828,4.09747871389064,6.70699622913959,1.14390361912891,6.8540338815476,3.77374237171152,4.4354659427737,2.98481136073295,3.46100157014245,2.37559324387067,7.04293362876188,4.60637683562384,5.06771855099225,5.25785373186738,5.79431038516796,6.62799021631224,3.09536398641509,6.54392107914508,2.7544006374291,1.44257154638714,6.20346838301688,7.02815368863897,6.62385469056539,2.80121631137874,3.11565411630329,6.18639162145357,8.24052864640439,5.5112918308342,8.45165158687146,7.29373373225747,6.59931363067757,5.42206492813178,4.80087275140763,2.55623850040931,6.81308984033654,3.79071457530649,1.87701270101608,4.26234724207281,3.12133463068918,6.59835284528163,3.27697306853736,5.69166251599531,6.12316559746323,3.7065212359079,4.07327594187708,7.69466631781557,4.03784805117018,6.93150788854899,5.57400490200801,4.65107706497111,7.12800972240831,5.77299387672324,6.2803962980238,2.50408263724462,2.73560949754062,4.16805832801943,3.23452328895019,3.73465358104723,5.30925205984698,4.18323178976524,2.53059459632062,5.14991032594383,7.44282661595328,2.60305924333902,5.3409035138949,7.20555308861711,6.82417296528046,4.60464176151318,2.918701370812,6.1701811494732,1.76822883351927,3.48410673101319,6.5894401544628,6.25265982346653,4.35642181171766,3.54438174167985,3.46463774455926,2.81512919739946,5.86783010426172,5.66891114613191,3.05597805467871,4.29933552895809,2.56095678613833,6.2717882614872,5.64842387008732,5.37938738804304,3.92057231694044
"Lampornis amethystinus.1",5.18031836581293,4.47907451635034,5.83464405772021,6.79707579472477,0,3.57799697099556,1.97961938190675,0.881946706269767,4.6174381185797,4.3608162977719,9.34410529112749,3.93082680874044,7.5745318858187,5.34298118807796,3.78250152476243,4.34487626653118,4.87975512405445,5.74264120404972,4.43910167145475,0.700173615890476,6.07860841248745,4.84932022466306,5.54931182158752,4.97002416837669,4.78108750753244,2.76244707138467,5.12026534287118,4.54092360509705,4.87616703118033,4.1356778852564,4.55198597663662,4.35316191203153,3.65042696962326,5.93715810380191,4.13462961824693,9.4393278209108,7.38583878639781,4.275998608484,4.00302812175136,5.66873609735227,4.53977920226257,0.669921129162721,5.20142651789141,4.72774896110561,0.919607388997003,4.75548054979486,4.65469866093914,9.13692065444912,6.76297416499119,4.49108824244043,0.728474864301023,5.64692760455929,5.24158435271846,4.06580928910203,4.23525073829999,4.78880536901871,4.75858860930775,4.46817077078749,10.1146131414427,4.50598649653862,4.30961607530551,7.7765711558204,6.64081734710929,7.04337570133694,4.53509838048463,6.56149639109479,7.55275065445752,4.31836003949703,7.52925069790793,4.78620036536323,9.6511231931622,5.6408874561835,7.3191081250879,5.43524757605596,8.78152632863946,4.23857333526236,5.35209642964356,5.07048993413666,4.82310795931985,5.05152849557976,4.34737328659466,5.41017578542477,4.58702710950999,6.92369629489613,7.398704420487,4.23178571342848,4.83824345576739,4.52763202333951,8.86948838338259,5.43431612209794,4.34932680847254,1.72989530860338,5.12180117223031,1.80709418124151,5.2909168977749,5.10350387911803,4.79161272441108,4.42807389543809,7.73133897168893,4.77585609213871,6.74908755493696,7.56515752737766,4.70133523066462,5.41995986119832,4.00207350172069,9.21604605675381,4.78147325480779,3.69412768947428,4.61039450548686,5.54269979092748,1.13794061353559,4.6763353861554,4.68326304107224,5.77057341067194,5.35713240804487,4.49152148096749,4.8263610048669,4.22190081791429,8.42666190539805,9.3210937343653,10.2018818689679,7.54901251205189,5.21148739577585,4.46930379776791,5.09339157206416,7.47554465082347,4.76016142609317,5.35781817489667,8.70806025751052,4.53893411275274,4.77841738824595,0.843523153268558,4.71211139849593,5.95252310583752,1.05335974297512,6.26947495997578,6.40934703535163,4.12809818508294,4.22696613120763,8.61789384171796,5.03040651143118,4.48332344992651,5.86336960167531,4.12280523272263,5.8841389281257,9.04921335736725,4.32033921161409,7.97735242916978,3.65339330129844,4.1824539862058,5.67958267376541,6.40114329776365
"Hirundo rustica.4",3.78338021612807,3.11249992389611,3.39990918853288,5.54453885070704,3.57799697099556,0,4.83021010451107,3.66754444738527,3.98610844266572,1.99299820319072,7.77875306501852,2.7837254928382,6.37019918234832,3.67598238665627,2.73998462173363,2.899964654381,3.4720683049183,4.36594113477325,3.55524737146604,3.61847900848451,5.27823679012861,4.17585545359764,4.06750785231808,3.36999621582718,2.40494103473346,5.01441562511477,3.85660120388533,4.17674544183947,3.16744484609555,1.75751529338441,2.30456539551704,2.73231673094019,0.754413994209358,4.29847781915785,2.50223745432447,8.17098637664716,5.16682293338803,2.88988052698329,2.84036679361071,4.61124734051067,3.06893859794664,3.98173699727148,3.22957070659471,2.50709019872052,3.14810768153261,2.46363692555479,3.19315092617503,7.64696800950737,5.4600654802384,2.92734548803122,3.8946374479906,4.73212605072636,4.16029134510573,2.59351736555913,1.8442448803512,2.79685911763608,3.35972069644474,2.34118711447479,8.61484462892265,3.0799766490519,3.02155609342948,6.47079458854112,5.67355475259224,5.80139902368306,3.01990219667595,5.33658529388013,5.40788553908708,3.09630990161109,6.55406376545251,3.23045709234002,8.39595780514645,3.56947984952864,5.43312287688682,3.34115987221107,7.42626842925447,3.12983821332585,3.52226173758066,3.11351408544109,3.35702019595347,3.52058273655963,3.04053103969981,4.01496295162957,2.8368430492612,5.8433361831853,5.53361060662048,2.76193274744593,3.39734423021187,2.90765707689899,6.94128094073473,3.30449350330846,3.58354072802519,4.60372245699077,3.35128193596739,4.7638653103627,4.13826809217658,3.84262426800471,3.08439215313597,2.64574629621982,5.67644237688042,3.26625051936708,5.2472548308951,5.82890710339604,3.1475771298679,4.15390230892907,2.63790588892293,7.46341582239068,2.81171039490357,0.95659862274374,2.80284770400011,3.38923791569227,3.94590802596334,4.06617824826582,2.20146024838628,4.12477289502634,3.2267000723357,3.25662377116605,2.95485165160347,2.52072945623051,6.47433813093135,8.13125184524869,8.28394939090019,5.48684101832021,3.27997587076179,2.790098510353,3.47315616995438,6.44679246683157,3.45982848179935,4.79386980227698,6.87073187959225,2.80506202047983,4.1656465119341,3.53996227288794,2.50681726976356,4.85405679305863,3.86212503383623,5.21123939209933,3.90556300816705,2.43945955594675,2.72861264840427,6.61924510312119,3.14435471757433,3.18536302864113,3.86573971725389,2.46455739739723,4.45869739824953,7.32519245272159,1.84500003185815,5.90047006306994,1.00080354738823,2.37099232221928,3.94720925913813,5.012798342152
"Calothorax pulcher",6.63121451857167,5.37217004262331,7.34073075021556,8.50377846305045,1.97961938190675,4.83021010451107,0,1.47274084243941,4.82569097674935,5.37074211329257,10.8669280976268,4.44484045894079,9.1158457877946,6.5275801643506,4.47992446703292,4.7925159708832,6.02595240152309,6.82800593512863,4.56878850627237,2.44125795719508,7.72836315981102,5.58260465691855,6.16042833005293,5.40302069917784,5.87244605227508,1.22028679642963,5.07702784539775,5.05793554760534,6.3451645144502,5.1641938416833,5.3438637835061,4.97803130003922,4.74887186311091,6.80926405718494,4.82368782393927,11.1254076266047,8.87456648393537,4.95925249751579,4.52140724402521,6.87718790274799,5.14761203783092,1.40938870993897,6.72877517508258,5.73461381968167,2.36617514180687,5.71790755359912,6.01694015615808,10.8178875775107,8.22069583047239,5.83580520845253,1.85896999891261,7.27839377380664,6.63127931486934,4.61423558979421,5.38727542827458,5.6961310617355,5.18092540702798,5.41367160442804,11.7851986315318,5.65355151294675,4.82932815189332,8.96873527243564,8.24821078264437,8.62285626966543,5.1324761058992,8.06386423561714,8.82138401547175,4.70826493403398,9.20476559007242,5.21807620835302,11.3495053142895,6.70765197677286,8.77294514536272,7.00631001965113,10.4499534388678,4.49050835603391,6.47733540764529,6.03988050351751,5.8119881455458,5.75528344877116,4.79607246367996,6.94754563493297,5.17421435537697,8.39242567561682,9.0837072113094,4.93646952739839,5.20380750562493,5.0524019441982,10.4874670371842,6.94436406587699,4.91776522655182,0.712776152996814,5.95562220546481,0.84446832088432,5.56414321592294,5.57810784157769,5.65260301408629,5.59550944304705,9.28686061109054,5.26749168225033,8.04810805282491,9.20532165511231,5.93184063626806,6.90578170944422,4.46910334222501,10.865799509436,5.57711628299851,4.68334534915553,6.05448885238532,6.74720643278015,1.46814169764919,5.98048376698021,5.53670393667766,6.60410302240835,6.48124634526209,4.7702708890874,5.60668841081121,4.84881274816961,10.0735879963511,10.9917269276793,11.7836823287451,8.97614833676531,6.49885479182158,5.49518611738751,6.23382413484558,8.94175529660829,5.77972429823236,5.44872842167972,10.3026138614981,5.45037977530683,4.94755429126991,1.85022379416266,5.96803191140643,7.41244714711204,2.58024230034292,7.83275855923376,7.78263101493539,4.78499407468216,4.83853623258448,9.98546330079178,6.45846922075764,5.92600926288396,7.40167257139108,4.86284796794043,6.68819629300851,10.626346140677,5.81311059118808,9.59632039517828,4.56501204569806,5.0083659628629,6.57618028950084,7.66254312848876
"Saucerottia beryllina",5.31604492794457,4.27902872916006,5.9990190583444,7.11540554659151,0.881946706269767,3.66754444738527,1.47274084243941,0,4.2139176024276,4.43495842292711,9.57770157489713,3.56857879369111,7.7589403489132,5.29704109860735,3.4502655886426,3.96856974829637,4.89066643645411,5.75258331343479,4.0001717734822,1.36116764756073,6.35084631534447,4.66403475851479,5.30248188033125,4.62790543175194,4.75307249618338,2.19251463680214,4.64052225844429,4.2716425366257,5.02410495684375,4.02091302773304,4.51213346449104,4.05788592956281,3.59480331299349,5.7966123056606,3.91369932321601,9.78511663957483,7.56882901746101,4.0231365301114,3.65928826832123,5.72550289436302,4.26733887990172,0.605332979059921,5.4447601674645,4.55849098158551,1.40098334747793,4.69041036900718,4.75778654592567,9.44627632616361,6.96085487450035,4.56733889307469,0.759234597200764,5.89071412860075,5.3508755925599,3.7255170424257,4.16907679351759,4.60327435413509,4.38937208002529,4.40211011566229,10.435686481866,4.43381386761418,3.93592909132852,7.89004118436702,6.8705725807781,7.28402465540198,4.21689270726864,6.77514133921307,7.59599699210804,3.92878003162732,7.83360414076559,4.44881258421013,10.0397507937427,5.50050594333104,7.48912044256724,5.71470160911762,9.10078560027838,3.78603164527948,5.34929879174631,4.92173385382424,4.72449357134781,4.78940761191787,3.95411343250723,5.62542542246377,4.31190809914014,7.1088909727441,7.69871456096618,3.99331633979886,4.47628676603997,4.2161880491527,9.13421246967093,5.66441014984733,4.06529045510757,1.25798036570893,4.93397159477504,1.58581975133448,4.91278979696664,4.78549061964256,4.629404294508,4.40904891564406,7.95428877521873,4.47331634120268,6.8352619566912,7.86652648634706,4.67441190419498,5.58626975595691,3.62659017623195,9.53819951973602,4.54230520333055,3.62987441059286,4.73754659211204,5.53499996066752,1.09810160452501,4.81289970151886,4.70993855122914,5.60348782889344,5.36963327478843,4.07198452063639,4.59904322447276,3.93258557825486,8.71597849169034,9.64468385631568,10.4722949955303,7.71394718441674,5.25137242105021,4.39160672092879,5.03058179116795,7.65730059873983,4.6714133712727,4.86752344575518,8.95913804743634,4.33850262800382,4.3281070219869,0.806008720488818,4.85272593176189,6.14032189798613,1.47255665356931,6.4764055835069,6.49839833062384,3.90761248727348,3.92084922076824,8.77791696965138,5.21230718180633,4.59382224237341,6.11108716650779,3.84428382500809,5.71367343108365,9.29474890423422,4.58143471958706,8.24724971915942,3.55921752613816,3.95097220310736,5.54438920966744,6.47356294775519
"Thryomanes bewickii",4.20441497264089,2.42064094699819,5.21907119566605,7.1683305261171,4.6174381185797,3.98610844266572,4.82569097674935,4.2139176024276,0,5.55320992829086,8.13345961596779,1.34151080058668,7.05868821196221,3.57364960247459,2.17275021065907,1.40597499189809,2.97855758464562,3.34662348588929,1.06695335144798,4.77512227366078,6.61602969302367,1.89988047913803,1.80588498982359,1.54899902744908,2.8326464286253,5.2051982555605,1.9978904722371,1.25089152025746,3.97813194186218,2.82819101343597,5.55253032774766,1.68538020206276,3.70704382728214,2.80150173553928,1.87609222592977,9.25541149199968,6.27607385910114,1.5029084006887,1.25780525676984,3.86571984314467,1.32169605315216,4.74408072867918,4.7214225591166,3.05418499611621,4.50446880489331,2.51596553376117,3.48334982107439,9.04849647726074,5.74333143674797,3.25918169535399,4.66021594747636,6.15357182517016,4.14734636295169,1.55305825393926,3.15626402225064,2.74652234721306,1.13223310086828,2.44584307477161,9.74020990213477,2.78308757234063,2.12606381537523,5.562224680643,6.94706479964337,6.71788233173032,1.5234604586089,5.5600675970705,5.32307516907887,1.10139176440467,7.83159703415381,1.33009007997585,9.57281431868403,3.72378701095732,5.94917945548009,5.04972611257251,8.44311148259474,1.3187368828921,3.14525235232944,2.87447899985431,2.28707470349152,1.70397843175594,1.36632376418665,5.37564072131303,1.52669359616491,5.89159708249926,7.39376237639336,1.47942733300477,1.17458826056459,1.48975253291824,8.14491592080896,5.24168016922172,1.07210628244773,4.94625176644202,2.08268495989142,5.2242180152592,1.13101755024185,1.20128859111948,2.13293857636675,2.63960494663242,6.75984873553994,1.27673292008901,4.80183042291274,7.25600688298593,3.29906184252323,4.57309668699768,1.54348390474781,8.52511432526841,2.24005141652875,4.11387646179537,3.74607390962305,3.7985755749698,4.96197964235897,3.82819595822277,5.57521987618973,2.57862520927481,3.36190809555217,1.19630530429625,1.99194649651702,1.62882163965535,7.92261736433508,9.34308020133641,9.18457245498129,6.04935415189319,3.72467616362081,2.20823472817447,3.23064735303541,6.82684784192681,2.36736891892489,1.33473569586452,7.92846049443195,2.49318076208313,0.518082079854862,4.03479560713651,3.91090879595242,4.9771234571808,4.7425864891551,6.12066672461722,4.97504302464169,1.88088304176578,1.45747724599131,6.64538818913438,4.29114994328003,3.8088937181854,5.24103763405047,1.86256234879008,2.54373856351212,8.14424317956465,4.44596351198406,7.5061594171593,3.83886878201974,2.06484026379674,2.65416994670113,4.45184857123962
"Cypseloides niger.1",5.40666177981438,4.64860055682021,4.49549638174135,6.41471883789158,4.3608162977719,1.99299820319072,5.37074211329257,4.43495842292711,5.55320992829086,0,8.99658050881666,4.3480472776841,7.51405453133426,5.29786274921872,4.29248866465348,4.42271424868907,5.21109162696654,6.08181512957716,4.99006567507164,4.41589499988781,6.26420935922261,5.92199151886033,5.73091362625324,4.89513931579673,4.12539177403455,5.24114390248555,5.01218198056544,5.90589114082778,4.84437955008804,3.39913536245564,0.949889979213162,4.34721704186719,2.16440823078342,5.95271498590515,4.06848209134239,9.16604685256045,6.23624240813571,4.61908429128616,4.45568188151632,6.29605992107911,4.76650006925338,4.628157956238,4.6691754709245,3.98331080803843,3.94897006039026,4.18243673616275,4.92438218420456,8.42811446762459,6.87399592628679,4.75022533661984,4.64373379339738,5.71320090054661,5.81876276582283,4.15222108866365,3.41682794772555,4.37348917710808,4.91709443601814,4.02632457690801,9.51221964526403,4.84914698868243,4.49457250848136,8.06798976423874,6.59325980355921,7.00806487645476,4.61395041777236,6.85433593101761,6.79964827241205,4.60771981980524,7.4878386715725,4.77614410653456,9.38848725312103,4.90300047851273,6.76615921601364,4.70319293711791,8.46085119535631,4.53924440518888,5.20199117071215,4.68193768646243,5.17876403976044,5.15661640690408,4.57334785931583,5.2568664931039,4.47220854948556,7.32587441092873,6.28813809253934,4.50988109198904,4.93209680736144,4.50464740774151,7.88153072707688,4.25957379602459,5.26783052963967,5.09584658920494,5.02223238718095,5.20469718498944,5.67690155300138,5.4655766256319,4.7472484856069,4.49773385794034,6.77528697823614,4.88776670460991,6.85573128593423,6.78927234120547,4.84720289970148,5.7738935490441,4.13459595997174,8.50038532580639,4.39997855078935,1.71201051587194,4.50872758170994,4.87828864362432,4.42223820111686,5.72532702825446,0.747406204909146,5.78823174407106,4.74400860027059,4.71735981724343,4.61356436511504,4.13150337452305,7.35621248456999,8.97773519651358,9.2158194143035,6.70834318862145,4.83276924858552,4.65970228763178,5.08567084534389,7.6598179323548,5.30806824687864,6.25042486342174,7.86662707771267,4.43266822781463,5.69551847011441,4.45970139964183,3.83909885960371,6.41361968163831,4.73002757034215,6.3771549884799,5.13862575654834,4.10752416623854,4.36312924781173,7.94156729292144,4.54539656229231,4.81995419159614,5.08881155341088,4.10088666728867,6.15703793740258,8.39895938821476,3.13831714174129,6.72108893556309,1.92791843548323,4.04478165215078,5.63282930913443,6.65689072839292
