"","Branta bernicla","Branta canadensis","Anser caerulescens","Spatula discors","Anas crecca","Anas acuta","Anas rubripes","Clangula hyemalis","Histrionicus histrionicus","Somateria spectabilis","Somateria mollissima","Mergus merganser","Mergus serrator","Bucephala clangula","Bucephala islandica","Melanitta deglandi","Melanitta perspicillata","Melanitta americana","Aythya collaris","Aythya affinis","Aythya marila","Lagopus muta","Lagopus lagopus","Canachites canadensis","Bonasa umbellus","Gavia stellata","Gavia immer","Morus bassanus","Phalacrocorax carbo.1","Nannopterum auritum","Botaurus lentiginosus","Numenius phaeopus.1","Tringa solitaria","Tringa melanoleuca","Actitis macularius","Phalaropus lobatus","Phalaropus fulicarius","Gallinago delicata","Calidris minutilla","Calidris melanotos","Sterna paradisaea","Sterna hirundo.1","Larus argentatus","Larus hyperboreus","Larus marinus","Larus glaucoides","Rissa tridactyla","Cepphus grylle","Alca torda","Alle alle","Uria aalge","Uria lomvia","Fratercula arctica","Stercorarius pomarinus","Charadrius vociferus","Charadrius semipalmatus","Pluvialis dominica","Empidonax flaviventris","Empidonax traillii","Perisoreus canadensis","Corvus brachyrhynchos","Corvus corax","Eremophila alpestris","Riparia riparia","Tachycineta bicolor","Poecile hudsonicus","Regulus satrapa","Sitta canadensis","Turdus migratorius","Euphagus carolinus","Quiscalus quiscula","Passerella iliaca","Zonotrichia leucophrys","Zonotrichia albicollis","Setophaga magnolia","Setophaga petechia","Plectrophenax nivalis","Loxia leucoptera","Loxia curvirostra","Acanthis flammea","Pinicola enucleator","Falco columbarius","Strix varia","Bubo scandiacus","Bubo virginianus","Asio flammeus","Surnia ulula","Aegolius funereus","Colaptes auratus","Picoides dorsalis","Picoides arcticus","Megaceryle alcyon","Chordeiles minor","Pandion haliaetus.1","Haliaeetus leucocephalus","Buteo lagopus","Circus hudsonius"
"Branta bernicla",0,10.725789084655,15.526592647231,41.1386761097996,41.1386761098386,41.1386761098028,41.1386761098219,41.1386761097484,41.1386761097723,41.1386761097719,41.1386761097254,41.1386761097345,41.1386761098106,41.1386761097565,41.1386761098628,41.1386761098029,41.1386761098016,41.1386761097809,41.1386761097637,41.1386761097345,41.1386761097457,159.034776786066,159.034776786167,159.034776786186,159.034776786393,206.548266969304,206.548266969392,206.548266969359,206.548266969431,206.54826696927,206.548266969392,206.548266968938,206.54826696914,206.548266969181,206.548266969089,206.54826696906,206.548266969215,206.548266968911,206.548266969451,206.548266969377,206.548266969387,206.548266969382,206.548266969336,206.548266969336,206.548266969349,206.54826696937,206.54826696937,206.548266969396,206.548266969357,206.548266969377,206.548266969401,206.548266969387,206.548266969391,206.548266969592,206.548266969447,206.548266969718,206.548266969331,206.548266969261,206.548266969113,206.548266969203,206.548266969285,206.548266969125,206.548266969392,206.548266969365,206.548266969424,206.548266969657,206.548266969303,206.548266969007,206.54826696945,206.548266969243,206.548266969699,206.548266969656,206.548266969635,206.548266969525,206.548266969614,206.548266969736,206.548266969556,206.548266969485,206.548266969224,206.548266969216,206.548266969227,206.548266969451,206.548266969562,206.548266969799,206.548266969435,206.548266969534,206.548266969606,206.548266969643,206.548266969442,206.54826696958,206.54826696947,206.548266969256,206.548266968945,206.548266969351,206.548266969014,206.548266969065,206.548266969264
"Branta canadensis",10.725789084655,0,15.4458148223948,41.1386761097913,41.1386761098302,41.1386761097944,41.1386761098135,41.13867610974,41.1386761097639,41.1386761097635,41.138676109717,41.1386761097261,41.1386761098022,41.1386761097481,41.1386761098544,41.1386761097945,41.1386761097931,41.1386761097724,41.1386761097553,41.1386761097261,41.1386761097373,159.034776786057,159.034776786159,159.034776786177,159.034776786384,206.548266969296,206.548266969383,206.54826696935,206.548266969423,206.548266969262,206.548266969383,206.548266968929,206.548266969131,206.548266969172,206.54826696908,206.548266969051,206.548266969207,206.548266968903,206.548266969443,206.548266969369,206.548266969379,206.548266969373,206.548266969328,206.548266969328,206.548266969341,206.548266969361,206.548266969362,206.548266969388,206.548266969349,206.548266969369,206.548266969392,206.548266969379,206.548266969383,206.548266969583,206.548266969439,206.54826696971,206.548266969323,206.548266969252,206.548266969104,206.548266969195,206.548266969277,206.548266969117,206.548266969384,206.548266969356,206.548266969416,206.548266969649,206.548266969295,206.548266968998,206.548266969442,206.548266969234,206.548266969691,206.548266969647,206.548266969626,206.548266969517,206.548266969606,206.548266969728,206.548266969548,206.548266969477,206.548266969215,206.548266969207,206.548266969219,206.548266969443,206.548266969553,206.54826696979,206.548266969426,206.548266969526,206.548266969598,206.548266969634,206.548266969433,206.548266969572,206.548266969462,206.548266969248,206.548266968936,206.548266969342,206.548266969006,206.548266969056,206.548266969256
"Anser caerulescens",15.526592647231,15.4458148223948,0,41.1386761098113,41.1386761098502,41.1386761098144,41.1386761098334,41.1386761097599,41.1386761097838,41.1386761097835,41.1386761097369,41.1386761097461,41.1386761098222,41.138676109768,41.1386761098743,41.1386761098144,41.1386761098131,41.1386761097924,41.1386761097753,41.1386761097461,41.1386761097573,159.034776786077,159.034776786179,159.034776786198,159.034776786404,206.548266969316,206.548266969403,206.54826696937,206.548266969443,206.548266969282,206.548266969403,206.548266968949,206.548266969151,206.548266969192,206.5482669691,206.548266969071,206.548266969227,206.548266968923,206.548266969463,206.548266969389,206.548266969399,206.548266969393,206.548266969348,206.548266969348,206.548266969361,206.548266969381,206.548266969382,206.548266969408,206.548266969369,206.548266969389,206.548266969412,206.548266969399,206.548266969402,206.548266969603,206.548266969459,206.54826696973,206.548266969343,206.548266969272,206.548266969124,206.548266969215,206.548266969297,206.548266969137,206.548266969403,206.548266969376,206.548266969436,206.548266969669,206.548266969315,206.548266969018,206.548266969462,206.548266969254,206.548266969711,206.548266969667,206.548266969646,206.548266969537,206.548266969626,206.548266969748,206.548266969568,206.548266969497,206.548266969235,206.548266969227,206.548266969239,206.548266969463,206.548266969573,206.54826696981,206.548266969446,206.548266969546,206.548266969618,206.548266969654,206.548266969453,206.548266969592,206.548266969482,206.548266969268,206.548266968956,206.548266969362,206.548266969026,206.548266969076,206.548266969276
"Spatula discors",41.1386761097996,41.1386761097913,41.1386761098113,0,7.08412203708437,8.80235141537176,15.7630811279665,18.4864699910607,18.4864699910846,18.4864699910843,18.8258473041252,18.8307250532264,18.8384478549002,18.8796584945582,19.4253249629599,19.4253249629,19.4253249628986,20.6353566756671,20.63535667565,20.6353566756208,20.635356675632,159.034776786115,159.034776786217,159.034776786236,159.034776786442,206.548266969354,206.548266969442,206.548266969409,206.548266969481,206.54826696932,206.548266969441,206.548266968987,206.548266969189,206.54826696923,206.548266969138,206.548266969109,206.548266969265,206.548266968961,206.548266969501,206.548266969427,206.548266969437,206.548266969432,206.548266969386,206.548266969386,206.548266969399,206.548266969419,206.54826696942,206.548266969446,206.548266969407,206.548266969427,206.54826696945,206.548266969437,206.548266969441,206.548266969642,206.548266969497,206.548266969768,206.548266969381,206.54826696931,206.548266969163,206.548266969253,206.548266969335,206.548266969175,206.548266969442,206.548266969414,206.548266969474,206.548266969707,206.548266969353,206.548266969056,206.5482669695,206.548266969292,206.548266969749,206.548266969705,206.548266969685,206.548266969575,206.548266969664,206.548266969786,206.548266969606,206.548266969535,206.548266969273,206.548266969265,206.548266969277,206.548266969501,206.548266969612,206.548266969848,206.548266969485,206.548266969584,206.548266969656,206.548266969692,206.548266969492,206.54826696963,206.548266969521,206.548266969306,206.548266968995,206.548266969401,206.548266969064,206.548266969115,206.548266969314
"Anas crecca",41.1386761098386,41.1386761098302,41.1386761098502,7.08412203708437,0,5.60519421940536,14.7708726023637,18.3934824809472,18.4089003822575,18.4089003822572,18.7482776952982,18.8008205500873,18.8094682787267,18.8519481374519,19.4253249629989,19.4253249629389,19.4253249629376,20.6353566757061,20.635356675689,20.6353566756598,20.635356675671,159.034776786154,159.034776786256,159.034776786275,159.034776786481,206.548266969393,206.54826696948,206.548266969448,206.54826696952,206.548266969359,206.54826696948,206.548266969026,206.548266969228,206.548266969269,206.548266969177,206.548266969148,206.548266969304,206.548266969,206.54826696954,206.548266969466,206.548266969476,206.548266969471,206.548266969425,206.548266969425,206.548266969438,206.548266969458,206.548266969459,206.548266969485,206.548266969446,206.548266969466,206.548266969489,206.548266969476,206.54826696948,206.54826696968,206.548266969536,206.548266969807,206.54826696942,206.54826696935,206.548266969202,206.548266969292,206.548266969374,206.548266969214,206.548266969481,206.548266969453,206.548266969513,206.548266969746,206.548266969392,206.548266969095,206.548266969539,206.548266969331,206.548266969788,206.548266969744,206.548266969724,206.548266969614,206.548266969703,206.548266969825,206.548266969645,206.548266969574,206.548266969312,206.548266969304,206.548266969316,206.54826696954,206.548266969651,206.548266969887,206.548266969523,206.548266969623,206.548266969695,206.548266969731,206.548266969531,206.548266969669,206.548266969559,206.548266969345,206.548266969034,206.54826696944,206.548266969103,206.548266969154,206.548266969353
"Anas acuta",41.1386761098028,41.1386761097944,41.1386761098144,8.80235141537176,5.60519421940536,0,12.904868080165,18.3934824809114,18.4089003822217,18.4089003822214,18.7482776952623,18.8008205500515,18.8094682786909,18.851948137416,19.425324962963,19.4253249629031,19.4253249629018,20.6353566756703,20.6353566756531,20.6353566756239,20.6353566756351,159.034776786119,159.034776786221,159.034776786239,159.034776786446,206.548266969357,206.548266969445,206.548266969412,206.548266969484,206.548266969323,206.548266969444,206.548266968991,206.548266969192,206.548266969233,206.548266969142,206.548266969112,206.548266969268,206.548266968964,206.548266969504,206.548266969431,206.54826696944,206.548266969435,206.548266969389,206.548266969389,206.548266969402,206.548266969423,206.548266969423,206.548266969449,206.548266969411,206.54826696943,206.548266969453,206.54826696944,206.548266969444,206.548266969644,206.5482669695,206.548266969771,206.548266969384,206.548266969314,206.548266969166,206.548266969256,206.548266969338,206.548266969178,206.548266969445,206.548266969418,206.548266969477,206.54826696971,206.548266969356,206.54826696906,206.548266969503,206.548266969295,206.548266969752,206.548266969709,206.548266969688,206.548266969578,206.548266969667,206.548266969789,206.548266969609,206.548266969538,206.548266969277,206.548266969269,206.548266969281,206.548266969504,206.548266969615,206.548266969852,206.548266969488,206.548266969587,206.548266969659,206.548266969695,206.548266969495,206.548266969633,206.548266969523,206.548266969309,206.548266968998,206.548266969404,206.548266969067,206.548266969118,206.548266969317
"Anas rubripes",41.1386761098219,41.1386761098135,41.1386761098334,15.7630811279665,14.7708726023637,12.904868080165,0,14.5431054766895,16.5543276417185,16.879724105708,17.6640526746067,17.7165955293958,17.7252432580353,18.1114879132132,18.7120555908004,18.7179218510117,18.7389489009333,20.6353566756893,20.6353566756722,20.635356675643,20.6353566756542,159.034776786138,159.03477678624,159.034776786258,159.034776786465,206.548266969376,206.548266969464,206.548266969431,206.548266969503,206.548266969342,206.548266969463,206.54826696901,206.548266969212,206.548266969252,206.548266969161,206.548266969131,206.548266969287,206.548266968983,206.548266969523,206.54826696945,206.548266969459,206.548266969454,206.548266969409,206.548266969408,206.548266969421,206.548266969441,206.548266969442,206.548266969468,206.54826696943,206.548266969449,206.548266969473,206.548266969459,206.548266969463,206.548266969664,206.548266969519,206.54826696979,206.548266969403,206.548266969333,206.548266969185,206.548266969275,206.548266969357,206.548266969197,206.548266969464,206.548266969437,206.548266969496,206.548266969729,206.548266969375,206.548266969079,206.548266969522,206.548266969314,206.548266969771,206.548266969728,206.548266969707,206.548266969597,206.548266969686,206.548266969808,206.548266969628,206.548266969557,206.548266969296,206.548266969288,206.5482669693,206.548266969523,206.548266969634,206.548266969871,206.548266969506,206.548266969606,206.548266969678,206.548266969714,206.548266969514,206.548266969652,206.548266969542,206.548266969329,206.548266969017,206.548266969423,206.548266969086,206.548266969137,206.548266969336
"Clangula hyemalis",41.1386761097484,41.13867610974,41.1386761097599,18.4864699910607,18.3934824809472,18.3934824809114,14.5431054766895,0,7.79788658350633,11.9424853284748,16.0433006735928,16.2952284035523,16.3038761321917,16.6901207873697,17.8165109377377,17.8230322418502,17.8451648641502,19.825438769175,20.0647280889455,20.0647280889163,20.0647280889275,159.034776786064,159.034776786166,159.034776786185,159.034776786391,206.548266969303,206.54826696939,206.548266969357,206.54826696943,206.548266969269,206.54826696939,206.548266968936,206.548266969138,206.548266969179,206.548266969087,206.548266969058,206.548266969214,206.54826696891,206.54826696945,206.548266969376,206.548266969386,206.54826696938,206.548266969335,206.548266969335,206.548266969348,206.548266969368,206.548266969369,206.548266969394,206.548266969356,206.548266969376,206.548266969399,206.548266969386,206.548266969389,206.54826696959,206.548266969446,206.548266969717,206.54826696933,206.548266969259,206.548266969111,206.548266969202,206.548266969284,206.548266969124,206.548266969391,206.548266969363,206.548266969423,206.548266969656,206.548266969302,206.548266969005,206.548266969449,206.548266969241,206.548266969698,206.548266969654,206.548266969633,206.548266969524,206.548266969612,206.548266969735,206.548266969555,206.548266969484,206.548266969222,206.548266969214,206.548266969226,206.54826696945,206.54826696956,206.548266969797,206.548266969433,206.548266969533,206.548266969605,206.548266969641,206.54826696944,206.548266969579,206.548266969469,206.548266969255,206.548266968943,206.548266969349,206.548266969013,206.548266969064,206.548266969263
"Histrionicus histrionicus",41.1386761097723,41.1386761097639,41.1386761097838,18.4864699910846,18.4089003822575,18.4089003822217,16.5543276417185,7.79788658350633,0,7.31769513566313,15.8117291890991,16.2309855957378,16.2458245998205,16.6320692549984,17.7584594053664,17.8028813051149,17.8250139274149,19.8144836576685,20.0647280889694,20.0647280889402,20.0647280889514,159.034776786088,159.03477678619,159.034776786208,159.034776786415,206.548266969327,206.548266969414,206.548266969381,206.548266969454,206.548266969293,206.548266969414,206.54826696896,206.548266969162,206.548266969203,206.548266969111,206.548266969082,206.548266969238,206.548266968934,206.548266969474,206.5482669694,206.54826696941,206.548266969404,206.548266969359,206.548266969358,206.548266969371,206.548266969392,206.548266969392,206.548266969418,206.54826696938,206.5482669694,206.548266969423,206.54826696941,206.548266969413,206.548266969614,206.548266969469,206.54826696974,206.548266969354,206.548266969283,206.548266969135,206.548266969225,206.548266969308,206.548266969148,206.548266969414,206.548266969387,206.548266969447,206.54826696968,206.548266969325,206.548266969029,206.548266969473,206.548266969265,206.548266969722,206.548266969678,206.548266969657,206.548266969548,206.548266969636,206.548266969759,206.548266969578,206.548266969508,206.548266969246,206.548266969238,206.54826696925,206.548266969474,206.548266969584,206.548266969821,206.548266969457,206.548266969557,206.548266969629,206.548266969665,206.548266969464,206.548266969603,206.548266969493,206.548266969279,206.548266968967,206.548266969373,206.548266969037,206.548266969087,206.548266969287
"Somateria spectabilis",41.1386761097719,41.1386761097635,41.1386761097835,18.4864699910843,18.4089003822572,18.4089003822214,16.879724105708,11.9424853284748,7.31769513566313,0,13.2364032628506,16.0850596379206,16.1176005609873,16.6052008376388,17.7315909880069,17.7760128877553,17.8250139274146,19.8144836576682,20.0647280889691,20.0647280889399,20.0647280889511,159.034776786088,159.03477678619,159.034776786208,159.034776786415,206.548266969326,206.548266969414,206.548266969381,206.548266969453,206.548266969292,206.548266969414,206.54826696896,206.548266969162,206.548266969203,206.548266969111,206.548266969081,206.548266969237,206.548266968933,206.548266969473,206.5482669694,206.54826696941,206.548266969404,206.548266969359,206.548266969358,206.548266969371,206.548266969392,206.548266969392,206.548266969418,206.54826696938,206.548266969399,206.548266969423,206.548266969409,206.548266969413,206.548266969614,206.548266969469,206.54826696974,206.548266969354,206.548266969283,206.548266969135,206.548266969225,206.548266969307,206.548266969147,206.548266969414,206.548266969387,206.548266969447,206.548266969679,206.548266969325,206.548266969029,206.548266969473,206.548266969264,206.548266969721,206.548266969678,206.548266969657,206.548266969547,206.548266969636,206.548266969758,206.548266969578,206.548266969507,206.548266969246,206.548266969238,206.54826696925,206.548266969474,206.548266969584,206.548266969821,206.548266969457,206.548266969556,206.548266969628,206.548266969664,206.548266969464,206.548266969602,206.548266969493,206.548266969279,206.548266968967,206.548266969373,206.548266969036,206.548266969087,206.548266969286
