"","Sarkidiornis melanotos","Cairina moschata","Alopochen aegyptiaca","Anas erythrorhyncha","Plectropterus gambensis","Numida meleagris","Gallus gallus","Pternistis afer","Threskiornis aethiopicus","Bostrychia hagedash","Mycteria ibis","Ciconia abdimii","Bubulcus ibis","Ardea melanocephala","Ardea purpurea","Ardea cinerea","Ardea brachyrhyncha","Ardea alba.1","Egretta garzetta.1","Scopus umbretta","Actitis hypoleucos.1","Tringa glareola","Calidris minuta","Calidris alpina","Rhinoptilus chalcopterus","Vanellus armatus","Vanellus coronatus","Charadrius tricollaris","Anarhynchus pecuarius","Charadrius dubius","Charadrius hiaticula","Fulica cristata","Porphyrio madagascariensis","Balearica regulorum","Bubo africanus","Colius striatus","Lybius leucocephalus","Caprimulgus fossii","Sagittarius serpentarius","Necrosyrtes monachus","Terathopius ecaudatus","Circaetus pectoralis","Buteo augur","Milvus migrans.1","Circus ranivorus","Circus macrourus","Aquila rapax","Tachymarptis melba","Apus caffer","Apus affinis","Apus apus","Apus horus","Cypsiurus parvus","Falco biarmicus","Falco cuvierii","Lanius collaris","Corvus albus","Corvus albicollis","Prionops plumatus","Laniarius funebris","Lamprotornis superbus","Crithagra atrogularis","Emberiza tahapisi","Anthus cinnamomeus","Motacilla aguimp","Motacilla flava","Passer griseus","Pytilia afra","Granatina ianthinogaster","Uraeginthus angolensis","Lagonosticta senegala","Vidua paradisaea","Vidua macroura","Vidua hypocherina","Vidua fischeri","Quelea quelea","Euplectes gierowii","Euplectes orix","Euplectes capensis","Euplectes axillaris","Ploceus jacksoni","Sporopipes frontalis","Hedydipna collaris","Anthreptes orientalis","Cinnyris mariquensis","Cinnyris pulchellus","Chalcomitra senegalensis","Chalcomitra amethystina","Nectarinia kilimensis","Cinnyris bifasciatus","Cinnyris venustus","Cisticola aridulus","Cisticola chiniana","Prinia subflava","Pycnonotus barbatus","Riparia paludicola","Neophedina cincta","Pseudhirundo griseopyga","Psalidoprocne albiceps","Psalidoprocne pristoptera","Ptyonoprogne fuligula","Hirundo smithii","Hirundo rustica","Hirundo angolensis","Cecropis senegalensis","Cecropis abyssinica","Cecropis daurica","Delichon urbicum","Mirafra rufocinnamomea","Eremopterix leucopareia","Centropus superciliosus","Spilopelia senegalensis","Streptopelia semitorquata","Streptopelia decipiens","Columba guinea","Treron calvus","Oena capensis","Struthio camelus","Alopochen aegyptiaca.1","Colius striatus.1","Lagonosticta senegala.1","Vidua fischeri.1","Charadrius tricollaris.1","Charadrius hiaticula.1","Tringa glareola.1","Emberiza tahapisi.1","Vidua paradisaea.1"
"Sarkidiornis melanotos",0,27.9392971878281,28.4117607848781,29.2124976537238,38.2377448649193,159.768993896996,159.768993897144,159.768993897106,208.325759636284,208.325759635941,208.325759636033,208.325759636222,208.325759636143,208.325759636185,208.32575963641,208.325759636487,208.325759636594,208.325759636633,208.325759636525,208.325759636613,208.325759636126,208.325759636098,208.325759636021,208.325759635911,208.325759635987,208.325759636406,208.325759636397,208.325759636675,208.325759636803,208.32575963656,208.325759636536,208.325759636574,208.325759636516,208.325759636299,208.325759636027,208.325759636329,208.325759635975,208.325759636138,208.325759636024,208.325759635859,208.325759636343,208.325759636681,208.325759636411,208.325759636263,208.325759636211,208.325759636261,208.325759636191,208.325759635953,208.325759636074,208.325759636186,208.325759636099,208.325759636382,208.325759635945,208.325759636544,208.325759636412,208.325759636016,208.325759636088,208.325759636043,208.325759636725,208.325759636474,208.32575963685,208.325759636146,208.325759636483,208.325759636331,208.325759636178,208.325759636196,208.325759636241,208.32575963629,208.325759636595,208.325759636276,208.325759636389,208.325759636268,208.325759636368,208.325759636535,208.325759636498,208.325759636399,208.325759636517,208.325759636475,208.325759636548,208.325759636688,208.325759636791,208.325759636647,208.325759636798,208.325759636783,208.32575963676,208.325759636628,208.325759636607,208.325759636719,208.325759636612,208.325759636251,208.3257596364,208.325759636383,208.325759636503,208.325759636445,208.325759636454,208.325759636652,208.325759636318,208.325759636404,208.32575963659,208.325759636497,208.325759636451,208.325759636385,208.325759636419,208.325759636571,208.32575963645,208.325759636526,208.325759636487,208.325759636742,208.325759636005,208.325759636084,208.325759636534,208.325759636914,208.325759636884,208.325759636957,208.325759637023,208.325759636952,208.325759636716,224.920408350893,28.4117607848781,208.325759636329,208.325759636389,208.325759636498,208.325759636675,208.325759636536,208.325759636098,208.325759636483,208.325759636268
"Cairina moschata",27.9392971878281,0,18.4181715503348,20.5828170542036,30.3158419833187,159.768993897098,159.768993897247,159.768993897208,208.325759636387,208.325759636043,208.325759636135,208.325759636324,208.325759636245,208.325759636287,208.325759636512,208.325759636589,208.325759636696,208.325759636735,208.325759636627,208.325759636715,208.325759636228,208.3257596362,208.325759636123,208.325759636013,208.325759636089,208.325759636508,208.325759636499,208.325759636777,208.325759636906,208.325759636662,208.325759636639,208.325759636676,208.325759636619,208.325759636401,208.325759636129,208.325759636431,208.325759636077,208.32575963624,208.325759636126,208.325759635961,208.325759636445,208.325759636783,208.325759636513,208.325759636365,208.325759636313,208.325759636363,208.325759636293,208.325759636055,208.325759636176,208.325759636288,208.325759636201,208.325759636484,208.325759636047,208.325759636646,208.325759636514,208.325759636118,208.32575963619,208.325759636145,208.325759636827,208.325759636576,208.325759636952,208.325759636248,208.325759636585,208.325759636433,208.32575963628,208.325759636298,208.325759636343,208.325759636392,208.325759636697,208.325759636378,208.325759636491,208.32575963637,208.32575963647,208.325759636637,208.3257596366,208.325759636501,208.325759636619,208.325759636578,208.32575963665,208.32575963679,208.325759636893,208.325759636749,208.325759636901,208.325759636885,208.325759636863,208.32575963673,208.325759636709,208.325759636821,208.325759636713,208.325759636353,208.325759636502,208.325759636485,208.325759636605,208.325759636547,208.325759636556,208.325759636754,208.32575963642,208.325759636506,208.325759636693,208.325759636599,208.325759636553,208.325759636487,208.325759636521,208.325759636673,208.325759636552,208.325759636628,208.325759636589,208.325759636845,208.325759636107,208.325759636186,208.325759636636,208.325759637017,208.325759636986,208.325759637059,208.325759637125,208.325759637054,208.325759636818,224.920408350995,18.4181715503348,208.325759636431,208.325759636491,208.3257596366,208.325759636777,208.325759636639,208.3257596362,208.325759636585,208.32575963637
"Alopochen aegyptiaca",28.4117607848781,18.4181715503348,0,19.6197795119448,30.1543276725544,159.768993897179,159.768993897328,159.768993897289,208.325759636467,208.325759636124,208.325759636216,208.325759636405,208.325759636326,208.325759636368,208.325759636593,208.32575963667,208.325759636778,208.325759636817,208.325759636708,208.325759636796,208.325759636309,208.325759636281,208.325759636204,208.325759636094,208.32575963617,208.325759636589,208.32575963658,208.325759636858,208.325759636987,208.325759636743,208.32575963672,208.325759636757,208.3257596367,208.325759636482,208.325759636211,208.325759636512,208.325759636158,208.325759636321,208.325759636207,208.325759636042,208.325759636526,208.325759636864,208.325759636594,208.325759636446,208.325759636394,208.325759636444,208.325759636374,208.325759636136,208.325759636257,208.325759636369,208.325759636282,208.325759636565,208.325759636128,208.325759636727,208.325759636595,208.325759636199,208.325759636272,208.325759636226,208.325759636908,208.325759636657,208.325759637033,208.325759636329,208.325759636667,208.325759636514,208.325759636361,208.325759636379,208.325759636424,208.325759636473,208.325759636778,208.32575963646,208.325759636572,208.325759636451,208.325759636551,208.325759636718,208.325759636682,208.325759636582,208.3257596367,208.325759636658,208.325759636731,208.325759636871,208.325759636974,208.32575963683,208.325759636982,208.325759636966,208.325759636944,208.325759636811,208.32575963679,208.325759636902,208.325759636795,208.325759636434,208.325759636583,208.325759636566,208.325759636686,208.325759636628,208.325759636638,208.325759636835,208.325759636501,208.325759636587,208.325759636774,208.32575963668,208.325759636635,208.325759636568,208.325759636602,208.325759636754,208.325759636633,208.32575963671,208.32575963667,208.325759636926,208.325759636188,208.325759636267,208.325759636717,208.325759637098,208.325759637067,208.32575963714,208.325759637206,208.325759637135,208.325759636899,224.920408351076,0,208.325759636512,208.325759636572,208.325759636682,208.325759636858,208.32575963672,208.325759636281,208.325759636667,208.325759636451
"Anas erythrorhyncha",29.2124976537238,20.5828170542036,19.6197795119448,0,30.0204369693133,159.768993897209,159.768993897358,159.768993897319,208.325759636497,208.325759636154,208.325759636246,208.325759636435,208.325759636356,208.325759636398,208.325759636623,208.3257596367,208.325759636808,208.325759636846,208.325759636738,208.325759636826,208.325759636339,208.32575963631,208.325759636234,208.325759636124,208.3257596362,208.325759636619,208.32575963661,208.325759636888,208.325759637017,208.325759636773,208.32575963675,208.325759636787,208.32575963673,208.325759636512,208.32575963624,208.325759636542,208.325759636188,208.325759636351,208.325759636237,208.325759636072,208.325759636555,208.325759636894,208.325759636624,208.325759636476,208.325759636424,208.325759636474,208.325759636404,208.325759636166,208.325759636287,208.325759636399,208.325759636312,208.325759636595,208.325759636158,208.325759636757,208.325759636625,208.325759636229,208.325759636301,208.325759636256,208.325759636938,208.325759636687,208.325759637063,208.325759636359,208.325759636696,208.325759636544,208.325759636391,208.325759636409,208.325759636454,208.325759636503,208.325759636808,208.325759636489,208.325759636602,208.325759636481,208.325759636581,208.325759636748,208.325759636711,208.325759636611,208.32575963673,208.325759636688,208.325759636761,208.325759636901,208.325759637004,208.32575963686,208.325759637012,208.325759636996,208.325759636973,208.325759636841,208.32575963682,208.325759636932,208.325759636825,208.325759636464,208.325759636613,208.325759636596,208.325759636716,208.325759636658,208.325759636667,208.325759636865,208.325759636531,208.325759636617,208.325759636803,208.32575963671,208.325759636664,208.325759636598,208.325759636632,208.325759636784,208.325759636663,208.32575963674,208.3257596367,208.325759636955,208.325759636218,208.325759636297,208.325759636747,208.325759637127,208.325759637097,208.32575963717,208.325759637236,208.325759637165,208.325759636929,224.920408351106,19.6197795119448,208.325759636542,208.325759636602,208.325759636711,208.325759636888,208.32575963675,208.32575963631,208.325759636696,208.325759636481
"Plectropterus gambensis",38.2377448649193,30.3158419833187,30.1543276725544,30.0204369693133,0,159.768993897101,159.76899389725,159.768993897211,208.32575963639,208.325759636047,208.325759636138,208.325759636327,208.325759636248,208.32575963629,208.325759636516,208.325759636593,208.3257596367,208.325759636739,208.32575963663,208.325759636718,208.325759636231,208.325759636203,208.325759636126,208.325759636017,208.325759636092,208.325759636511,208.325759636502,208.32575963678,208.325759636909,208.325759636665,208.325759636642,208.325759636679,208.325759636622,208.325759636404,208.325759636133,208.325759636434,208.32575963608,208.325759636244,208.325759636129,208.325759635964,208.325759636448,208.325759636786,208.325759636516,208.325759636369,208.325759636316,208.325759636367,208.325759636296,208.325759636059,208.325759636179,208.325759636291,208.325759636204,208.325759636487,208.32575963605,208.325759636649,208.325759636517,208.325759636121,208.325759636194,208.325759636148,208.32575963683,208.325759636579,208.325759636955,208.325759636251,208.325759636588,208.325759636436,208.325759636283,208.325759636301,208.325759636346,208.325759636395,208.3257596367,208.325759636382,208.325759636494,208.325759636373,208.325759636473,208.32575963664,208.325759636604,208.325759636504,208.325759636622,208.325759636581,208.325759636653,208.325759636793,208.325759636896,208.325759636752,208.325759636904,208.325759636888,208.325759636866,208.325759636733,208.325759636712,208.325759636824,208.325759636717,208.325759636356,208.325759636506,208.325759636488,208.325759636608,208.32575963655,208.325759636559,208.325759636757,208.325759636423,208.325759636509,208.325759636696,208.325759636602,208.325759636557,208.32575963649,208.325759636524,208.325759636676,208.325759636555,208.325759636632,208.325759636592,208.325759636848,208.32575963611,208.325759636189,208.325759636639,208.32575963702,208.325759636989,208.325759637062,208.325759637128,208.325759637057,208.325759636821,224.920408350998,30.1543276725544,208.325759636434,208.325759636494,208.325759636604,208.32575963678,208.325759636642,208.325759636203,208.325759636588,208.325759636373
"Numida meleagris",159.768993896996,159.768993897098,159.768993897179,159.768993897209,159.768993897101,0,64.5297270461395,64.5297270461011,208.325759634975,208.325759634632,208.325759634724,208.325759634913,208.325759634834,208.325759634876,208.325759635101,208.325759635178,208.325759635286,208.325759635324,208.325759635216,208.325759635304,208.325759634817,208.325759634788,208.325759634712,208.325759634602,208.325759634678,208.325759635097,208.325759635088,208.325759635366,208.325759635495,208.325759635251,208.325759635228,208.325759635265,208.325759635208,208.32575963499,208.325759634718,208.32575963502,208.325759634666,208.325759634829,208.325759634715,208.32575963455,208.325759635033,208.325759635372,208.325759635102,208.325759634954,208.325759634902,208.325759634952,208.325759634882,208.325759634644,208.325759634765,208.325759634877,208.32575963479,208.325759635073,208.325759634636,208.325759635235,208.325759635103,208.325759634707,208.325759634779,208.325759634734,208.325759635416,208.325759635165,208.325759635541,208.325759634837,208.325759635174,208.325759635022,208.325759634869,208.325759634887,208.325759634932,208.325759634981,208.325759635286,208.325759634967,208.32575963508,208.325759634959,208.325759635059,208.325759635226,208.325759635189,208.32575963509,208.325759635208,208.325759635166,208.325759635239,208.325759635379,208.325759635482,208.325759635338,208.32575963549,208.325759635474,208.325759635452,208.325759635319,208.325759635298,208.32575963541,208.325759635302,208.325759634942,208.325759635091,208.325759635074,208.325759635194,208.325759635136,208.325759635145,208.325759635343,208.325759635009,208.325759635095,208.325759635281,208.325759635188,208.325759635143,208.325759635076,208.32575963511,208.325759635262,208.325759635141,208.325759635217,208.325759635178,208.325759635434,208.325759634696,208.325759634775,208.325759635225,208.325759635605,208.325759635575,208.325759635648,208.325759635714,208.325759635643,208.325759635407,224.920408349584,159.768993897179,208.32575963502,208.32575963508,208.325759635189,208.325759635366,208.325759635228,208.325759634788,208.325759635174,208.325759634959
"Gallus gallus",159.768993897144,159.768993897247,159.768993897328,159.768993897358,159.76899389725,64.5297270461395,0,42.0266847561991,208.325759635124,208.325759634781,208.325759634872,208.325759635062,208.325759634983,208.325759635024,208.32575963525,208.325759635327,208.325759635434,208.325759635473,208.325759635365,208.325759635453,208.325759634966,208.325759634937,208.325759634861,208.325759634751,208.325759634827,208.325759635246,208.325759635237,208.325759635515,208.325759635644,208.3257596354,208.325759635376,208.325759635414,208.325759635356,208.325759635139,208.325759634867,208.325759635169,208.325759634815,208.325759634978,208.325759634864,208.325759634699,208.325759635182,208.32575963552,208.325759635251,208.325759635103,208.325759635051,208.325759635101,208.32575963503,208.325759634793,208.325759634914,208.325759635025,208.325759634939,208.325759635222,208.325759634785,208.325759635384,208.325759635252,208.325759634856,208.325759634928,208.325759634883,208.325759635565,208.325759635314,208.32575963569,208.325759634986,208.325759635323,208.325759635171,208.325759635018,208.325759635036,208.325759635081,208.32575963513,208.325759635435,208.325759635116,208.325759635229,208.325759635108,208.325759635208,208.325759635375,208.325759635338,208.325759635238,208.325759635357,208.325759635315,208.325759635388,208.325759635528,208.325759635631,208.325759635487,208.325759635639,208.325759635623,208.3257596356,208.325759635468,208.325759635447,208.325759635559,208.325759635451,208.325759635091,208.32575963524,208.325759635223,208.325759635343,208.325759635285,208.325759635294,208.325759635492,208.325759635157,208.325759635244,208.32575963543,208.325759635337,208.325759635291,208.325759635225,208.325759635259,208.325759635411,208.32575963529,208.325759635366,208.325759635327,208.325759635582,208.325759634845,208.325759634924,208.325759635373,208.325759635754,208.325759635724,208.325759635797,208.325759635863,208.325759635791,208.325759635556,224.920408349733,159.768993897328,208.325759635169,208.325759635229,208.325759635338,208.325759635515,208.325759635376,208.325759634937,208.325759635323,208.325759635108
"Pternistis afer",159.768993897106,159.768993897208,159.768993897289,159.768993897319,159.768993897211,64.5297270461011,42.0266847561991,0,208.325759635086,208.325759634743,208.325759634834,208.325759635023,208.325759634945,208.325759634986,208.325759635212,208.325759635289,208.325759635396,208.325759635435,208.325759635326,208.325759635414,208.325759634927,208.325759634899,208.325759634822,208.325759634713,208.325759634789,208.325759635207,208.325759635198,208.325759635477,208.325759635605,208.325759635361,208.325759635338,208.325759635375,208.325759635318,208.325759635101,208.325759634829,208.325759635131,208.325759634776,208.32575963494,208.325759634825,208.32575963466,208.325759635144,208.325759635482,208.325759635212,208.325759635065,208.325759635013,208.325759635063,208.325759634992,208.325759634755,208.325759634875,208.325759634987,208.3257596349,208.325759635183,208.325759634746,208.325759635345,208.325759635213,208.325759634818,208.32575963489,208.325759634844,208.325759635527,208.325759635276,208.325759635652,208.325759634947,208.325759635285,208.325759635133,208.325759634979,208.325759634997,208.325759635042,208.325759635092,208.325759635397,208.325759635078,208.325759635191,208.325759635069,208.325759635169,208.325759635336,208.3257596353,208.3257596352,208.325759635319,208.325759635277,208.32575963535,208.325759635489,208.325759635592,208.325759635448,208.3257596356,208.325759635584,208.325759635562,208.325759635429,208.325759635408,208.32575963552,208.325759635413,208.325759635052,208.325759635202,208.325759635185,208.325759635304,208.325759635246,208.325759635256,208.325759635453,208.325759635119,208.325759635205,208.325759635392,208.325759635298,208.325759635253,208.325759635186,208.32575963522,208.325759635372,208.325759635252,208.325759635328,208.325759635289,208.325759635544,208.325759634807,208.325759634885,208.325759635335,208.325759635716,208.325759635686,208.325759635758,208.325759635824,208.325759635753,208.325759635517,224.920408349694,159.768993897289,208.325759635131,208.325759635191,208.3257596353,208.325759635477,208.325759635338,208.325759634899,208.325759635285,208.325759635069
"Threskiornis aethiopicus",208.325759636284,208.325759636387,208.325759636467,208.325759636497,208.32575963639,208.325759634975,208.325759635124,208.325759635086,0,89.2880800075042,111.515046915312,111.798645160566,116.165625374041,117.297756402077,122.462470118543,141.963789022564,143.20442285042,143.204422850459,143.20442285035,143.861440550226,156.687710290507,156.687710290479,156.687710290402,156.687710290293,156.687710290369,156.687710290787,156.687710290778,156.687710291057,156.687710291185,156.687710290941,156.687710290918,156.687710290955,156.687710290898,156.687710290681,171.088653886982,171.088653887284,171.08865388693,171.088653887093,171.088653886979,171.088653886814,171.088653887297,171.088653887636,171.088653887366,171.088653887218,171.088653887166,171.088653887216,171.088653887146,171.088653886908,171.088653887029,171.088653887141,171.088653887054,171.088653887337,171.0886538869,171.088653887499,171.088653887367,171.088653886971,171.088653887043,171.088653886998,171.08865388768,171.088653887429,171.088653887805,171.088653887101,171.088653887438,171.088653887286,171.088653887133,171.088653887151,171.088653887196,171.088653887245,171.08865388755,171.088653887231,171.088653887344,171.088653887223,171.088653887323,171.08865388749,171.088653887453,171.088653887354,171.088653887472,171.088653887431,171.088653887503,171.088653887643,171.088653887746,171.088653887602,171.088653887754,171.088653887738,171.088653887716,171.088653887583,171.088653887562,171.088653887674,171.088653887567,171.088653887206,171.088653887355,171.088653887338,171.088653887458,171.0886538874,171.088653887409,171.088653887607,171.088653887273,171.088653887359,171.088653887545,171.088653887452,171.088653887406,171.08865388734,171.088653887374,171.088653887526,171.088653887405,171.088653887481,171.088653887442,171.088653887698,171.08865388696,171.088653887039,171.088653887489,176.29869908351,176.29869908348,176.298699083552,176.298699083619,176.298699083547,176.298699083312,224.920408350585,208.325759636467,171.088653887284,171.088653887344,171.088653887453,156.687710291057,156.687710290918,156.687710290479,171.088653887438,171.088653887223
"Bostrychia hagedash",208.325759635941,208.325759636043,208.325759636124,208.325759636154,208.325759636047,208.325759634632,208.325759634781,208.325759634743,89.2880800075042,0,68.022964240371,84.3497630963336,89.196285013592,93.6258254562605,99.2288579530597,127.01270129425,143.105050535781,143.10505053582,143.105050535711,143.762068235587,156.687710290164,156.687710290136,156.687710290059,156.687710289949,156.687710290025,156.687710290444,156.687710290435,156.687710290713,156.687710290842,156.687710290598,156.687710290575,156.687710290612,156.687710290555,156.687710290337,171.088653886639,171.088653886941,171.088653886586,171.08865388675,171.088653886636,171.08865388647,171.088653886954,171.088653887292,171.088653887023,171.088653886875,171.088653886823,171.088653886873,171.088653886803,171.088653886565,171.088653886686,171.088653886797,171.088653886711,171.088653886994,171.088653886557,171.088653887155,171.088653887024,171.088653886628,171.0886538867,171.088653886655,171.088653887337,171.088653887086,171.088653887462,171.088653886758,171.088653887095,171.088653886943,171.08865388679,171.088653886808,171.088653886852,171.088653886902,171.088653887207,171.088653886888,171.088653887001,171.08865388688,171.08865388698,171.088653887147,171.08865388711,171.08865388701,171.088653887129,171.088653887087,171.08865388716,171.0886538873,171.088653887403,171.088653887259,171.08865388741,171.088653887395,171.088653887372,171.08865388724,171.088653887219,171.088653887331,171.088653887223,171.088653886863,171.088653887012,171.088653886995,171.088653887115,171.088653887057,171.088653887066,171.088653887264,171.08865388693,171.088653887016,171.088653887202,171.088653887108,171.088653887063,171.088653886996,171.088653887031,171.088653887183,171.088653887062,171.088653887138,171.088653887099,171.088653887354,171.088653886617,171.088653886696,171.088653887145,176.298699083167,176.298699083137,176.298699083209,176.298699083276,176.298699083204,176.298699082968,224.920408350241,208.325759636124,171.088653886941,171.088653887001,171.08865388711,156.687710290713,156.687710290575,156.687710290136,171.088653887095,171.08865388688
