"","Cygnus cygnus","Anser erythropus","Anser fabalis","Anas acuta.1","Anas crecca.1","Anas platyrhynchos","Mareca penelope","Aythya fuligula","Aythya marila.1","Mergus serrator.1","Mergus merganser.1","Bucephala clangula.1","Melanitta fusca","Melanitta perspicillata.1","Clangula hyemalis.1","Polysticta stelleri","Somateria spectabilis.1","Somateria mollissima.1","Lagopus muta.1","Lagopus lagopus.1","Tetrao urogallus","Gavia stellata.1","Gavia arctica","Phalacrocorax carbo.2","Fulmarus glacialis","Numenius phaeopus.2","Xenus cinereus.1","Phalaropus lobatus.1","Tringa erythropus","Tringa nebularia.1","Tringa totanus","Actitis hypoleucos.2","Gallinago gallinago","Calidris pugnax","Larus canus","Larus marinus.1","Larus argentatus.1","Sterna paradisaea.1","Uria aalge.1","Charadrius hiaticula.2","Eudromias morinellus","Haematopus ostralegus","Pluvialis apricaria","Grus grus","Falco tinnunculus","Falco rusticolus","Falco peregrinus.1","Falco columbarius.1","Pica pica","Corvus corone","Corvus corax.1","Perisoreus infaustus","Poecile cinctus","Parus major","Riparia riparia.1","Delichon urbicum.1","Turdus pilaris","Turdus iliacus","Luscinia svecica","Cinclus cinclus","Plectrophenax nivalis.1","Motacilla alba","Motacilla flava.1","Surnia ulula.1","Aegolius funereus.1","Strix nebulosa","Bubo scandiacus.1","Asio flammeus.1","Dryobates minor","Picoides tridactylus","Dryocopus martius","Pandion haliaetus.2","Accipiter gentilis","Circus cyaneus","Accipiter nisus","Haliaeetus albicilla","Buteo lagopus.1","Aquila chrysaetos","Cuculus canorus","Larus argentatus.2"
"Cygnus cygnus",0,23.7887222497501,23.7887222497582,41.9348217974046,41.9348217974604,41.934821797523,41.9348217974512,41.9348217974916,41.9348217974735,41.9348217974668,41.9348217974478,41.9348217974428,41.9348217974282,41.9348217974701,41.9348217974233,41.9348217974401,41.9348217974624,41.9348217974636,159.411182695545,159.411182695599,159.411182695623,205.724024136043,205.724024135045,205.724024135672,205.72402413552,205.724024135286,205.724024134686,205.724024135004,205.724024135242,205.724024134978,205.724024134997,205.724024135021,205.72402413506,205.724024135356,205.724024134649,205.724024134659,205.724024134662,205.724024134641,205.7240241347,205.724024135471,205.72402413553,205.724024134993,205.724024135359,205.724024135765,205.724024135456,205.724024135598,205.724024135528,205.724024135504,205.724024135982,205.724024135951,205.724024135605,205.724024135724,205.724024135793,205.724024135772,205.72402413608,205.72402413553,205.724024135434,205.724024135757,205.724024136009,205.724024135914,205.72402413573,205.724024135819,205.724024135999,205.724024135566,205.72402413555,205.724024135464,205.72402413557,205.724024135711,205.724024135349,205.724024135343,205.724024135803,205.724024135408,205.724024135671,205.724024135466,205.724024135557,205.724024135265,205.724024135365,205.724024135342,205.724024134764,205.724024134662
"Anser erythropus",23.7887222497501,0,2.89702044651572,41.934821797384,41.9348217974397,41.9348217975024,41.9348217974306,41.934821797471,41.9348217974529,41.9348217974462,41.9348217974272,41.9348217974222,41.9348217974075,41.9348217974494,41.9348217974027,41.9348217974195,41.9348217974417,41.934821797443,159.411182695525,159.411182695578,159.411182695602,205.724024136022,205.724024135025,205.724024135652,205.724024135499,205.724024135266,205.724024134665,205.724024134983,205.724024135221,205.724024134957,205.724024134977,205.724024135001,205.724024135039,205.724024135336,205.724024134629,205.724024134639,205.724024134641,205.72402413462,205.724024134679,205.72402413545,205.724024135509,205.724024134973,205.724024135338,205.724024135745,205.724024135435,205.724024135578,205.724024135507,205.724024135484,205.724024135962,205.72402413593,205.724024135585,205.724024135703,205.724024135772,205.724024135751,205.724024136059,205.724024135509,205.724024135413,205.724024135736,205.724024135988,205.724024135893,205.72402413571,205.724024135798,205.724024135978,205.724024135546,205.724024135529,205.724024135444,205.72402413555,205.72402413569,205.724024135329,205.724024135322,205.724024135782,205.724024135388,205.724024135651,205.724024135446,205.724024135537,205.724024135244,205.724024135344,205.724024135321,205.724024134743,205.724024134641
"Anser fabalis",23.7887222497582,2.89702044651572,0,41.9348217973921,41.9348217974478,41.9348217975105,41.9348217974387,41.9348217974791,41.9348217974609,41.9348217974542,41.9348217974353,41.9348217974303,41.9348217974156,41.9348217974576,41.9348217974108,41.9348217974276,41.9348217974498,41.9348217974511,159.411182695533,159.411182695587,159.41118269561,205.72402413603,205.724024135033,205.72402413566,205.724024135508,205.724024135274,205.724024134674,205.724024134991,205.72402413523,205.724024134966,205.724024134985,205.724024135009,205.724024135047,205.724024135344,205.724024134637,205.724024134647,205.724024134649,205.724024134628,205.724024134688,205.724024135458,205.724024135517,205.724024134981,205.724024135346,205.724024135753,205.724024135444,205.724024135586,205.724024135516,205.724024135492,205.72402413597,205.724024135938,205.724024135593,205.724024135712,205.72402413578,205.724024135759,205.724024136067,205.724024135518,205.724024135421,205.724024135745,205.724024135996,205.724024135902,205.724024135718,205.724024135806,205.724024135986,205.724024135554,205.724024135537,205.724024135452,205.724024135558,205.724024135698,205.724024135337,205.72402413533,205.72402413579,205.724024135396,205.724024135659,205.724024135453,205.724024135545,205.724024135252,205.724024135352,205.72402413533,205.724024134751,205.724024134649
"Anas acuta.1",41.9348217974046,41.934821797384,41.9348217973921,0,5.80972787733704,13.2925451653797,14.6653359217977,18.7709899153568,19.2078971247651,19.2120145812224,19.2120145812033,19.2487516972872,19.809764335565,19.8097643356069,20.9207782796012,20.920778279618,20.9214377216398,20.921437721641,159.411182695448,159.411182695502,159.411182695525,205.724024135945,205.724024134948,205.724024135575,205.724024135423,205.724024135189,205.724024134589,205.724024134907,205.724024135145,205.724024134881,205.7240241349,205.724024134924,205.724024134962,205.724024135259,205.724024134552,205.724024134562,205.724024134564,205.724024134543,205.724024134603,205.724024135374,205.724024135433,205.724024134896,205.724024135262,205.724024135668,205.724024135359,205.724024135501,205.724024135431,205.724024135407,205.724024135885,205.724024135853,205.724024135508,205.724024135627,205.724024135695,205.724024135674,205.724024135982,205.724024135433,205.724024135337,205.72402413566,205.724024135911,205.724024135817,205.724024135633,205.724024135721,205.724024135902,205.724024135469,205.724024135453,205.724024135367,205.724024135473,205.724024135614,205.724024135252,205.724024135245,205.724024135706,205.724024135311,205.724024135574,205.724024135369,205.72402413546,205.724024135168,205.724024135268,205.724024135245,205.724024134667,205.724024134564
"Anas crecca.1",41.9348217974604,41.9348217974397,41.9348217974478,5.80972787733704,0,11.9464968436817,14.0932447152009,18.6768016392953,19.1137088487036,19.1695383393473,19.1695383393282,19.2062754554121,19.8097643356208,19.8097643356627,20.920778279657,20.9207782796738,20.9214377216955,20.9214377216969,159.411182695504,159.411182695558,159.411182695581,205.724024136001,205.724024135004,205.724024135631,205.724024135479,205.724024135245,205.724024134645,205.724024134962,205.724024135201,205.724024134937,205.724024134956,205.72402413498,205.724024135018,205.724024135315,205.724024134608,205.724024134618,205.72402413462,205.724024134599,205.724024134659,205.724024135429,205.724024135488,205.724024134952,205.724024135317,205.724024135724,205.724024135415,205.724024135557,205.724024135486,205.724024135463,205.724024135941,205.724024135909,205.724024135564,205.724024135683,205.724024135751,205.72402413573,205.724024136038,205.724024135489,205.724024135392,205.724024135716,205.724024135967,205.724024135873,205.724024135689,205.724024135777,205.724024135957,205.724024135525,205.724024135508,205.724024135423,205.724024135529,205.724024135669,205.724024135308,205.724024135301,205.724024135761,205.724024135367,205.72402413563,205.724024135425,205.724024135516,205.724024135224,205.724024135323,205.724024135301,205.724024134723,205.72402413462
"Anas platyrhynchos",41.934821797523,41.9348217975024,41.9348217975105,13.2925451653797,11.9464968436817,0,10.6799048570919,17.2371290188333,17.9713013544784,18.2417748753309,18.5663368024703,18.6036783429028,19.2071672231115,19.2309138492614,20.9207782797197,20.9207782797365,20.9214377217582,20.9214377217595,159.411182695566,159.41118269562,159.411182695644,205.724024136064,205.724024135066,205.724024135694,205.724024135541,205.724024135308,205.724024134707,205.724024135025,205.724024135263,205.724024134999,205.724024135019,205.724024135043,205.724024135081,205.724024135378,205.724024134671,205.724024134681,205.724024134683,205.724024134662,205.724024134721,205.724024135492,205.724024135551,205.724024135015,205.72402413538,205.724024135786,205.724024135477,205.724024135619,205.724024135549,205.724024135525,205.724024136003,205.724024135972,205.724024135626,205.724024135746,205.724024135814,205.724024135793,205.724024136101,205.724024135551,205.724024135455,205.724024135778,205.72402413603,205.724024135935,205.724024135751,205.72402413584,205.72402413602,205.724024135588,205.724024135571,205.724024135486,205.724024135592,205.724024135732,205.72402413537,205.724024135364,205.724024135824,205.724024135429,205.724024135693,205.724024135487,205.724024135578,205.724024135286,205.724024135386,205.724024135363,205.724024134785,205.724024134683
"Mareca penelope",41.9348217974512,41.9348217974306,41.9348217974387,14.6653359217977,14.0932447152009,10.6799048570919,0,13.5466365430323,17.1639915981931,18.0854878066794,18.4100497338188,18.5584746977241,19.1619635779328,19.1857102040827,20.9207782796478,20.9207782796646,20.9214377216864,20.9214377216876,159.411182695495,159.411182695548,159.411182695572,205.724024135992,205.724024134994,205.724024135622,205.724024135469,205.724024135236,205.724024134636,205.724024134953,205.724024135192,205.724024134927,205.724024134946,205.724024134971,205.724024135009,205.724024135306,205.724024134599,205.724024134609,205.724024134611,205.72402413459,205.724024134649,205.72402413542,205.724024135479,205.724024134942,205.724024135308,205.724024135715,205.724024135405,205.724024135548,205.724024135477,205.724024135454,205.724024135932,205.7240241359,205.724024135555,205.724024135674,205.724024135742,205.724024135721,205.724024136029,205.72402413548,205.724024135383,205.724024135706,205.724024135958,205.724024135863,205.72402413568,205.724024135768,205.724024135948,205.724024135516,205.724024135499,205.724024135414,205.72402413552,205.72402413566,205.724024135298,205.724024135292,205.724024135752,205.724024135358,205.724024135621,205.724024135416,205.724024135506,205.724024135214,205.724024135314,205.724024135292,205.724024134713,205.724024134611
"Aythya fuligula",41.9348217974916,41.934821797471,41.9348217974791,18.7709899153568,18.6768016392953,17.2371290188333,13.5466365430323,0,9.28235249236761,16.2869095316831,16.8822286555873,17.1452568679855,18.1828646989155,18.2080318791446,19.9430999547097,19.9817379547985,20.2518534816923,20.2518534816936,159.411182695535,159.411182695589,159.411182695612,205.724024136032,205.724024135035,205.724024135662,205.72402413551,205.724024135276,205.724024134676,205.724024134994,205.724024135232,205.724024134968,205.724024134987,205.724024135011,205.724024135049,205.724024135346,205.724024134639,205.724024134649,205.724024134652,205.724024134631,205.72402413469,205.724024135461,205.72402413552,205.724024134983,205.724024135349,205.724024135755,205.724024135446,205.724024135588,205.724024135518,205.724024135494,205.724024135972,205.724024135941,205.724024135595,205.724024135714,205.724024135782,205.724024135761,205.724024136069,205.72402413552,205.724024135424,205.724024135747,205.724024135999,205.724024135904,205.72402413572,205.724024135808,205.724024135989,205.724024135556,205.72402413554,205.724024135454,205.72402413556,205.724024135701,205.724024135339,205.724024135333,205.724024135793,205.724024135398,205.724024135661,205.724024135456,205.724024135547,205.724024135255,205.724024135355,205.724024135332,205.724024134754,205.724024134652
"Aythya marila.1",41.9348217974735,41.9348217974529,41.9348217974609,19.2078971247651,19.1137088487036,17.9713013544784,17.1639915981931,9.28235249236761,0,12.8250643043119,15.6821918161323,16.842483378832,18.1090946969101,18.1776762031753,19.9127442787403,19.9513822788292,20.2518534816742,20.2518534816754,159.411182695517,159.411182695571,159.411182695594,205.724024136014,205.724024135017,205.724024135644,205.724024135492,205.724024135258,205.724024134658,205.724024134976,205.724024135214,205.72402413495,205.724024134969,205.724024134993,205.724024135031,205.724024135328,205.724024134621,205.724024134631,205.724024134634,205.724024134612,205.724024134672,205.724024135443,205.724024135501,205.724024134965,205.72402413533,205.724024135737,205.724024135428,205.72402413557,205.7240241355,205.724024135476,205.724024135954,205.724024135922,205.724024135577,205.724024135696,205.724024135764,205.724024135743,205.724024136051,205.724024135502,205.724024135406,205.724024135729,205.72402413598,205.724024135886,205.724024135702,205.72402413579,205.72402413597,205.724024135538,205.724024135522,205.724024135436,205.724024135542,205.724024135682,205.724024135321,205.724024135314,205.724024135774,205.72402413538,205.724024135643,205.724024135438,205.724024135529,205.724024135237,205.724024135337,205.724024135314,205.724024134736,205.724024134634
"Mergus serrator.1",41.9348217974668,41.9348217974462,41.9348217974542,19.2120145812224,19.1695383393473,18.2417748753309,18.0854878066794,16.2869095316831,12.8250643043119,0,9.49808592836809,14.583131302069,17.0997835334862,17.2380568018561,19.4977366739644,19.536450349701,19.836921552546,19.8891998410406,159.41118269551,159.411182695564,159.411182695587,205.724024136008,205.72402413501,205.724024135637,205.724024135485,205.724024135251,205.724024134651,205.724024134969,205.724024135207,205.724024134943,205.724024134962,205.724024134986,205.724024135025,205.724024135321,205.724024134614,205.724024134624,205.724024134627,205.724024134606,205.724024134665,205.724024135436,205.724024135495,205.724024134958,205.724024135324,205.72402413573,205.724024135421,205.724024135563,205.724024135493,205.724024135469,205.724024135947,205.724024135916,205.72402413557,205.724024135689,205.724024135757,205.724024135736,205.724024136045,205.724024135495,205.724024135399,205.724024135722,205.724024135974,205.724024135879,205.724024135695,205.724024135783,205.724024135964,205.724024135531,205.724024135515,205.724024135429,205.724024135536,205.724024135676,205.724024135314,205.724024135308,205.724024135768,205.724024135373,205.724024135636,205.724024135431,205.724024135522,205.72402413523,205.72402413533,205.724024135307,205.724024134729,205.724024134627
