"","Cygnus columbianus","Cygnus buccinator","Branta bernicla.1","Branta hutchinsii","Branta canadensis.1","Anas crecca.2","Anas platyrhynchos.1","Aythya valisineria","Aythya marila.2","Aythya affinis.1","Bucephala clangula.2","Bucephala islandica.1","Bucephala albeola","Mergus serrator.2","Mergus merganser.2","Melanitta deglandi.1","Melanitta perspicillata.2","Clangula hyemalis.2","Histrionicus histrionicus.1","Canachites canadensis.1","Dendragapus fuliginosus","Lagopus muta.2","Lagopus lagopus.2","Bonasa umbellus.1","Meleagris gallopavo","Gavia stellata.2","Gavia adamsii","Gavia immer.1","Gavia pacifica","Nannopterum auritum.1","Urile pelagicus","Ardenna grisea","Fulmarus glacialis.1","Phoebastria nigripes","Hydrobates furcatus","Hydrobates leucorhous","Ardea herodias","Numenius phaeopus.3","Phalaropus lobatus.2","Tringa melanoleuca.1","Tringa flavipes","Gallinago delicata.1","Limnodromus scolopaceus","Arenaria melanocephala","Calidris minutilla.1","Calidris mauri","Calidris alpina.1","Sterna paradisaea.2","Onychoprion aleuticus","Chroicocephalus philadelphia","Larus brachyrhynchus","Larus glaucescens","Larus argentatus.3","Rissa tridactyla.1","Uria aalge.2","Synthliboramphus antiquus","Cepphus columba","Brachyramphus marmoratus","Brachyramphus brevirostris","Fratercula cirrhata","Fratercula corniculata","Cerorhinca monocerata","Ptychoramphus aleuticus","Stercorarius parasiticus","Charadrius semipalmatus.1","Haematopus bachmani","Antigone canadensis","Selasphorus rufus","Calypte anna","Strix varia.1","Strix nebulosa.1","Bubo virginianus.1","Bubo scandiacus.2","Megascops kennicottii","Asio flammeus.2","Aegolius funereus.2","Aegolius acadicus","Surnia ulula.2","Glaucidium gnoma","Sphyrapicus ruber","Dryobates pubescens","Dryobates villosus","Picoides dorsalis.1","Colaptes auratus.1","Megaceryle alcyon.1","Chordeiles minor.1","Pandion haliaetus.3","Haliaeetus leucocephalus.1","Buteo lagopus.2","Buteo jamaicensis","Accipiter atricapillus","Circus hudsonius.1","Accipiter striatus","Aquila chrysaetos.1","Falco peregrinus.2","Falco sparverius","Cyanocitta stelleri","Pica hudsonia","Corvus brachyrhynchos.1","Corvus corax.2","Perisoreus canadensis.1","Riparia riparia.2","Tachycineta bicolor.1","Tachycineta thalassina","Stelgidopteryx serripennis","Progne subis","Hirundo rustica.1","Petrochelidon pyrrhonota","Eremophila alpestris.1","Poecile atricapillus","Poecile rufescens","Troglodytes pacificus","Cinclus mexicanus","Turdus migratorius.1","Ixoreus naevius","Catharus ustulatus","Catharus minimus","Catharus guttatus","Pinicola enucleator.1","Spinus pinus","Melospiza melodia","Junco hyemalis","Zonotrichia leucophrys.1","Setophaga petechia.1","Setophaga townsendi","Cardellina pusilla","Leiothlypis celata","Patagioenas fasciata","Columba livia","Zenaida macroura"
"Cygnus columbianus",0,4.28438785707761,23.367900367643,23.3679003676919,23.367900367695,41.3784716746658,41.3784716747049,41.3784716746898,41.3784716745793,41.3784716746383,41.3784716746783,41.3784716746507,41.3784716746346,41.3784716746281,41.3784716746463,41.3784716746667,41.3784716746585,41.3784716746742,41.3784716746951,160.462025815086,160.462025815075,160.462025815128,160.462025815125,160.46202581518,160.462025815109,207.691669121033,207.691669120746,207.6916691206,207.691669120871,207.691669121037,207.691669121047,207.691669121041,207.691669120511,207.691669120786,207.691669121097,207.691669120818,207.691669120895,207.691669120146,207.691669120363,207.691669120251,207.691669120317,207.691669120216,207.691669120416,207.691669120223,207.691669120433,207.691669120419,207.691669120438,207.691669120899,207.691669120782,207.691669120871,207.691669120829,207.691669120818,207.691669120879,207.691669120841,207.691669120808,207.691669120792,207.691669120867,207.69166912083,207.691669120826,207.691669120795,207.691669120836,207.691669120849,207.691669120752,207.691669120771,207.691669120894,207.69166912098,207.691669120353,207.691669120905,207.691669120919,207.691669121423,207.691669121071,207.691669121004,207.691669121072,207.691669121217,207.69166912103,207.691669120879,207.69166912091,207.691669120928,207.691669120993,207.691669120974,207.691669120967,207.691669121066,207.691669121045,207.691669120736,207.691669121099,207.691669119793,207.691669120425,207.691669120727,207.69166912071,207.691669120608,207.691669120783,207.691669120411,207.691669120962,207.691669120952,207.691669120346,207.691669120389,207.691669120483,207.691669120584,207.691669120481,207.691669120318,207.691669120245,207.691669120294,207.691669120622,207.691669120709,207.691669120664,207.691669120724,207.691669120919,207.691669120544,207.691669120814,207.691669120142,207.691669120377,207.691669120419,207.691669120255,207.69166912041,207.69166912047,207.691669120539,207.691669120385,207.691669120575,207.691669120996,207.691669120985,207.691669120811,207.691669120973,207.69166912073,207.691669120697,207.691669120632,207.691669120493,207.691669120461,207.691669120693,207.691669120408,207.691669120549
"Cygnus buccinator",4.28438785707761,0,23.3679003676166,23.3679003676655,23.3679003676686,41.3784716746395,41.3784716746785,41.3784716746634,41.3784716745529,41.3784716746119,41.3784716746519,41.3784716746243,41.3784716746082,41.3784716746017,41.3784716746199,41.3784716746403,41.3784716746321,41.3784716746478,41.3784716746688,160.462025815059,160.462025815048,160.462025815101,160.462025815099,160.462025815154,160.462025815083,207.691669121007,207.69166912072,207.691669120573,207.691669120844,207.69166912101,207.691669121021,207.691669121015,207.691669120484,207.691669120759,207.691669121071,207.691669120792,207.691669120868,207.69166912012,207.691669120336,207.691669120224,207.691669120291,207.69166912019,207.69166912039,207.691669120196,207.691669120407,207.691669120393,207.691669120412,207.691669120873,207.691669120756,207.691669120844,207.691669120802,207.691669120791,207.691669120853,207.691669120815,207.691669120782,207.691669120765,207.691669120841,207.691669120803,207.6916691208,207.691669120769,207.691669120809,207.691669120822,207.691669120725,207.691669120745,207.691669120868,207.691669120954,207.691669120326,207.691669120879,207.691669120893,207.691669121396,207.691669121045,207.691669120978,207.691669121046,207.691669121191,207.691669121003,207.691669120853,207.691669120883,207.691669120902,207.691669120967,207.691669120948,207.691669120941,207.69166912104,207.691669121019,207.691669120709,207.691669121072,207.691669119767,207.691669120399,207.691669120701,207.691669120684,207.691669120581,207.691669120756,207.691669120384,207.691669120935,207.691669120926,207.69166912032,207.691669120363,207.691669120456,207.691669120557,207.691669120454,207.691669120291,207.691669120219,207.691669120267,207.691669120596,207.691669120682,207.691669120638,207.691669120698,207.691669120892,207.691669120518,207.691669120788,207.691669120116,207.69166912035,207.691669120393,207.691669120228,207.691669120383,207.691669120443,207.691669120512,207.691669120359,207.691669120548,207.69166912097,207.691669120959,207.691669120784,207.691669120947,207.691669120703,207.69166912067,207.691669120605,207.691669120467,207.691669120435,207.691669120666,207.691669120381,207.691669120523
"Branta bernicla.1",23.367900367643,23.3679003676166,0,9.85619926168412,10.4932441385192,41.3784716746597,41.3784716746987,41.3784716746836,41.3784716745732,41.3784716746322,41.3784716746721,41.3784716746445,41.3784716746285,41.3784716746219,41.3784716746401,41.3784716746606,41.3784716746523,41.3784716746681,41.378471674689,160.46202581508,160.462025815069,160.462025815121,160.462025815119,160.462025815174,160.462025815103,207.691669121027,207.69166912074,207.691669120594,207.691669120865,207.691669121031,207.691669121041,207.691669121035,207.691669120504,207.69166912078,207.691669121091,207.691669120812,207.691669120889,207.69166912014,207.691669120357,207.691669120245,207.691669120311,207.69166912021,207.69166912041,207.691669120217,207.691669120427,207.691669120413,207.691669120432,207.691669120893,207.691669120776,207.691669120865,207.691669120823,207.691669120812,207.691669120873,207.691669120835,207.691669120802,207.691669120785,207.691669120861,207.691669120824,207.69166912082,207.691669120789,207.69166912083,207.691669120842,207.691669120745,207.691669120765,207.691669120888,207.691669120974,207.691669120347,207.691669120899,207.691669120913,207.691669121417,207.691669121065,207.691669120998,207.691669121066,207.691669121211,207.691669121024,207.691669120873,207.691669120904,207.691669120922,207.691669120987,207.691669120968,207.691669120961,207.69166912106,207.691669121039,207.69166912073,207.691669121092,207.691669119787,207.691669120419,207.691669120721,207.691669120704,207.691669120601,207.691669120777,207.691669120404,207.691669120956,207.691669120946,207.69166912034,207.691669120383,207.691669120477,207.691669120578,207.691669120475,207.691669120312,207.691669120239,207.691669120287,207.691669120616,207.691669120703,207.691669120658,207.691669120718,207.691669120913,207.691669120538,207.691669120808,207.691669120136,207.691669120371,207.691669120413,207.691669120248,207.691669120404,207.691669120463,207.691669120532,207.691669120379,207.691669120569,207.69166912099,207.691669120979,207.691669120805,207.691669120967,207.691669120724,207.691669120691,207.691669120626,207.691669120487,207.691669120455,207.691669120687,207.691669120401,207.691669120543
"Branta hutchinsii",23.3679003676919,23.3679003676655,9.85619926168412,0,4.31259627673518,41.3784716747086,41.3784716747477,41.3784716747325,41.3784716746221,41.3784716746811,41.378471674721,41.3784716746934,41.3784716746774,41.3784716746709,41.3784716746891,41.3784716747095,41.3784716747013,41.378471674717,41.3784716747379,160.462025815129,160.462025815117,160.46202581517,160.462025815168,160.462025815223,160.462025815152,207.691669121076,207.691669120789,207.691669120643,207.691669120914,207.69166912108,207.69166912109,207.691669121084,207.691669120553,207.691669120829,207.69166912114,207.691669120861,207.691669120937,207.691669120189,207.691669120405,207.691669120293,207.69166912036,207.691669120259,207.691669120459,207.691669120266,207.691669120476,207.691669120462,207.691669120481,207.691669120942,207.691669120825,207.691669120913,207.691669120871,207.69166912086,207.691669120922,207.691669120884,207.691669120851,207.691669120834,207.69166912091,207.691669120873,207.691669120869,207.691669120837,207.691669120879,207.691669120891,207.691669120794,207.691669120814,207.691669120937,207.691669121023,207.691669120396,207.691669120948,207.691669120962,207.691669121465,207.691669121114,207.691669121047,207.691669121115,207.69166912126,207.691669121073,207.691669120922,207.691669120953,207.691669120971,207.691669121036,207.691669121017,207.69166912101,207.691669121109,207.691669121088,207.691669120779,207.691669121141,207.691669119836,207.691669120468,207.69166912077,207.691669120753,207.69166912065,207.691669120826,207.691669120453,207.691669121005,207.691669120995,207.691669120389,207.691669120432,207.691669120525,207.691669120626,207.691669120524,207.69166912036,207.691669120288,207.691669120336,207.691669120665,207.691669120752,207.691669120707,207.691669120767,207.691669120961,207.691669120587,207.691669120857,207.691669120185,207.69166912042,207.691669120462,207.691669120297,207.691669120452,207.691669120512,207.691669120581,207.691669120428,207.691669120618,207.691669121039,207.691669121028,207.691669120853,207.691669121016,207.691669120773,207.691669120739,207.691669120675,207.691669120536,207.691669120504,207.691669120736,207.691669120451,207.691669120592
"Branta canadensis.1",23.367900367695,23.3679003676686,10.4932441385192,4.31259627673518,0,41.3784716747117,41.3784716747507,41.3784716747356,41.3784716746252,41.3784716746842,41.3784716747241,41.3784716746965,41.3784716746805,41.378471674674,41.3784716746922,41.3784716747126,41.3784716747043,41.3784716747201,41.378471674741,160.462025815132,160.462025815121,160.462025815174,160.462025815171,160.462025815226,160.462025815155,207.691669121079,207.691669120792,207.691669120646,207.691669120917,207.691669121083,207.691669121093,207.691669121087,207.691669120556,207.691669120832,207.691669121143,207.691669120864,207.691669120941,207.691669120192,207.691669120409,207.691669120297,207.691669120363,207.691669120262,207.691669120462,207.691669120269,207.691669120479,207.691669120465,207.691669120484,207.691669120945,207.691669120828,207.691669120916,207.691669120875,207.691669120864,207.691669120925,207.691669120887,207.691669120854,207.691669120838,207.691669120913,207.691669120876,207.691669120872,207.691669120841,207.691669120882,207.691669120894,207.691669120797,207.691669120817,207.69166912094,207.691669121026,207.691669120399,207.691669120951,207.691669120965,207.691669121468,207.691669121117,207.69166912105,207.691669121118,207.691669121263,207.691669121076,207.691669120925,207.691669120956,207.691669120974,207.691669121039,207.69166912102,207.691669121013,207.691669121112,207.691669121091,207.691669120782,207.691669121144,207.691669119839,207.691669120471,207.691669120773,207.691669120756,207.691669120653,207.691669120829,207.691669120457,207.691669121007,207.691669120998,207.691669120392,207.691669120435,207.691669120529,207.691669120629,207.691669120527,207.691669120364,207.691669120291,207.69166912034,207.691669120668,207.691669120755,207.69166912071,207.69166912077,207.691669120965,207.69166912059,207.69166912086,207.691669120188,207.691669120423,207.691669120465,207.6916691203,207.691669120456,207.691669120515,207.691669120584,207.691669120431,207.691669120621,207.691669121042,207.691669121031,207.691669120856,207.691669121019,207.691669120776,207.691669120742,207.691669120677,207.691669120539,207.691669120507,207.691669120739,207.691669120454,207.691669120595
"Anas crecca.2",41.3784716746658,41.3784716746395,41.3784716746597,41.3784716747086,41.3784716747117,0,6.81859139523669,12.5691619757715,18.4769937740546,18.4769937741137,18.704904182914,18.7049041828864,19.0808269226048,19.12420815119,19.6854693950356,19.6854693950559,19.6854693950477,20.8598749832319,20.8598749832528,160.462025815182,160.462025815171,160.462025815224,160.462025815222,160.462025815277,160.462025815206,207.69166912113,207.691669120843,207.691669120697,207.691669120967,207.691669121134,207.691669121144,207.691669121138,207.691669120607,207.691669120882,207.691669121194,207.691669120914,207.691669120991,207.691669120242,207.691669120459,207.691669120347,207.691669120414,207.691669120313,207.691669120513,207.69166912032,207.69166912053,207.691669120516,207.691669120535,207.691669120996,207.691669120879,207.691669120967,207.691669120925,207.691669120914,207.691669120976,207.691669120938,207.691669120905,207.691669120888,207.691669120964,207.691669120926,207.691669120923,207.691669120891,207.691669120932,207.691669120945,207.691669120848,207.691669120868,207.691669120991,207.691669121077,207.691669120449,207.691669121002,207.691669121016,207.691669121519,207.691669121168,207.691669121101,207.691669121169,207.691669121314,207.691669121126,207.691669120976,207.691669121007,207.691669121025,207.69166912109,207.691669121071,207.691669121064,207.691669121163,207.691669121142,207.691669120832,207.691669121195,207.69166911989,207.691669120522,207.691669120824,207.691669120807,207.691669120704,207.691669120879,207.691669120507,207.691669121058,207.691669121049,207.691669120443,207.691669120486,207.691669120579,207.69166912068,207.691669120577,207.691669120414,207.691669120342,207.69166912039,207.691669120719,207.691669120806,207.691669120761,207.691669120821,207.691669121015,207.691669120641,207.691669120911,207.691669120239,207.691669120473,207.691669120516,207.691669120351,207.691669120507,207.691669120566,207.691669120635,207.691669120482,207.691669120672,207.691669121093,207.691669121082,207.691669120907,207.69166912107,207.691669120827,207.691669120793,207.691669120728,207.69166912059,207.691669120558,207.691669120789,207.691669120504,207.691669120646
"Anas platyrhynchos.1",41.3784716747049,41.3784716746785,41.3784716746987,41.3784716747477,41.3784716747507,6.81859139523669,0,10.8947466284709,18.0180077132034,18.2402678389344,18.4681782477348,18.5445692959127,18.9204920356311,19.0687088364403,19.6854693950746,19.685469395095,19.6854693950867,20.859874983271,20.8598749832919,160.462025815221,160.46202581521,160.462025815263,160.46202581526,160.462025815316,160.462025815245,207.691669121169,207.691669120882,207.691669120736,207.691669121006,207.691669121173,207.691669121183,207.691669121177,207.691669120646,207.691669120921,207.691669121233,207.691669120953,207.69166912103,207.691669120281,207.691669120498,207.691669120386,207.691669120453,207.691669120352,207.691669120552,207.691669120359,207.691669120569,207.691669120555,207.691669120574,207.691669121035,207.691669120918,207.691669121006,207.691669120964,207.691669120953,207.691669121015,207.691669120977,207.691669120944,207.691669120927,207.691669121003,207.691669120965,207.691669120962,207.69166912093,207.691669120971,207.691669120984,207.691669120887,207.691669120907,207.69166912103,207.691669121116,207.691669120488,207.691669121041,207.691669121055,207.691669121558,207.691669121207,207.69166912114,207.691669121208,207.691669121353,207.691669121165,207.691669121015,207.691669121046,207.691669121064,207.691669121129,207.69166912111,207.691669121102,207.691669121201,207.691669121181,207.691669120871,207.691669121234,207.691669119929,207.691669120561,207.691669120863,207.691669120846,207.691669120743,207.691669120918,207.691669120546,207.691669121097,207.691669121088,207.691669120482,207.691669120525,207.691669120618,207.691669120719,207.691669120616,207.691669120453,207.691669120381,207.691669120429,207.691669120758,207.691669120844,207.6916691208,207.69166912086,207.691669121054,207.691669120679,207.69166912095,207.691669120277,207.691669120512,207.691669120555,207.69166912039,207.691669120546,207.691669120605,207.691669120674,207.691669120521,207.69166912071,207.691669121131,207.691669121121,207.691669120946,207.691669121109,207.691669120866,207.691669120832,207.691669120767,207.691669120629,207.691669120597,207.691669120828,207.691669120543,207.691669120685
"Aythya valisineria",41.3784716746898,41.3784716746634,41.3784716746836,41.3784716747325,41.3784716747356,12.5691619757715,10.8947466284709,0,11.20431316944,12.6158883856046,16.9279538374363,17.0043448856143,17.6380460157607,17.7862628165699,18.7951874151298,18.8169741107654,19.0325663470272,20.2069719352114,20.2069719352323,160.462025815206,160.462025815195,160.462025815248,160.462025815245,160.462025815301,160.46202581523,207.691669121154,207.691669120867,207.69166912072,207.691669120991,207.691669121158,207.691669121168,207.691669121162,207.691669120631,207.691669120906,207.691669121218,207.691669120938,207.691669121015,207.691669120266,207.691669120483,207.691669120371,207.691669120438,207.691669120337,207.691669120537,207.691669120343,207.691669120554,207.691669120539,207.691669120559,207.69166912102,207.691669120903,207.691669120991,207.691669120949,207.691669120938,207.691669121,207.691669120962,207.691669120929,207.691669120912,207.691669120988,207.69166912095,207.691669120946,207.691669120915,207.691669120956,207.691669120969,207.691669120872,207.691669120892,207.691669121015,207.6916691211,207.691669120473,207.691669121026,207.69166912104,207.691669121543,207.691669121192,207.691669121125,207.691669121193,207.691669121338,207.69166912115,207.691669121,207.69166912103,207.691669121049,207.691669121114,207.691669121095,207.691669121087,207.691669121187,207.691669121166,207.691669120856,207.691669121219,207.691669119914,207.691669120546,207.691669120848,207.691669120831,207.691669120728,207.691669120903,207.691669120531,207.691669121082,207.691669121073,207.691669120467,207.69166912051,207.691669120603,207.691669120704,207.691669120601,207.691669120438,207.691669120366,207.691669120414,207.691669120743,207.691669120829,207.691669120785,207.691669120845,207.691669121039,207.691669120664,207.691669120935,207.691669120262,207.691669120497,207.69166912054,207.691669120375,207.69166912053,207.69166912059,207.691669120659,207.691669120506,207.691669120695,207.691669121116,207.691669121106,207.691669120931,207.691669121094,207.69166912085,207.691669120817,207.691669120752,207.691669120614,207.691669120582,207.691669120813,207.691669120528,207.691669120669
"Aythya marila.2",41.3784716745793,41.3784716745529,41.3784716745732,41.3784716746221,41.3784716746252,18.4769937740546,18.0180077132034,11.20431316944,0,6.88879393414517,14.7174659637028,15.6597304313704,16.2934315615167,16.6811502056844,17.6900748042442,18.1497632592942,18.4276454840193,20.206971935101,20.2069719351219,160.462025815096,160.462025815085,160.462025815138,160.462025815135,160.46202581519,160.462025815119,207.691669121043,207.691669120757,207.69166912061,207.691669120881,207.691669121047,207.691669121057,207.691669121051,207.691669120521,207.691669120796,207.691669121108,207.691669120828,207.691669120905,207.691669120156,207.691669120373,207.691669120261,207.691669120327,207.691669120226,207.691669120426,207.691669120233,207.691669120443,207.691669120429,207.691669120448,207.691669120909,207.691669120792,207.691669120881,207.691669120839,207.691669120828,207.691669120889,207.691669120851,207.691669120819,207.691669120802,207.691669120877,207.69166912084,207.691669120836,207.691669120805,207.691669120846,207.691669120858,207.691669120761,207.691669120781,207.691669120904,207.69166912099,207.691669120363,207.691669120915,207.69166912093,207.691669121433,207.691669121081,207.691669121014,207.691669121082,207.691669121227,207.69166912104,207.691669120889,207.69166912092,207.691669120938,207.691669121003,207.691669120984,207.691669120977,207.691669121076,207.691669121055,207.691669120746,207.691669121109,207.691669119803,207.691669120435,207.691669120737,207.69166912072,207.691669120618,207.691669120793,207.691669120421,207.691669120972,207.691669120962,207.691669120357,207.691669120399,207.691669120493,207.691669120593,207.691669120491,207.691669120328,207.691669120255,207.691669120304,207.691669120632,207.691669120719,207.691669120674,207.691669120734,207.691669120929,207.691669120554,207.691669120825,207.691669120152,207.691669120387,207.691669120429,207.691669120265,207.69166912042,207.69166912048,207.691669120549,207.691669120395,207.691669120585,207.691669121006,207.691669120995,207.691669120821,207.691669120983,207.69166912074,207.691669120706,207.691669120642,207.691669120503,207.691669120471,207.691669120703,207.691669120418,207.691669120559
"Aythya affinis.1",41.3784716746383,41.3784716746119,41.3784716746322,41.3784716746811,41.3784716746842,18.4769937741137,18.2402678389344,12.6158883856046,6.88879393414517,0,12.3392267030294,14.7466366208053,15.8858670567285,16.2735857008961,17.4069408746336,17.8666293296836,18.3546679829895,20.20697193516,20.2069719351809,160.462025815155,160.462025815144,160.462025815197,160.462025815194,160.462025815249,160.462025815178,207.691669121102,207.691669120816,207.691669120669,207.69166912094,207.691669121106,207.691669121116,207.69166912111,207.69166912058,207.691669120855,207.691669121167,207.691669120887,207.691669120964,207.691669120215,207.691669120432,207.69166912032,207.691669120386,207.691669120285,207.691669120485,207.691669120292,207.691669120502,207.691669120488,207.691669120507,207.691669120968,207.691669120851,207.69166912094,207.691669120898,207.691669120887,207.691669120948,207.69166912091,207.691669120877,207.69166912086,207.691669120936,207.691669120899,207.691669120895,207.691669120864,207.691669120905,207.691669120918,207.69166912082,207.69166912084,207.691669120963,207.691669121049,207.691669120422,207.691669120974,207.691669120989,207.691669121492,207.69166912114,207.691669121073,207.691669121141,207.691669121286,207.691669121099,207.691669120948,207.691669120979,207.691669120997,207.691669121062,207.691669121043,207.691669121036,207.691669121135,207.691669121114,207.691669120805,207.691669121168,207.691669119862,207.691669120494,207.691669120796,207.691669120779,207.691669120676,207.691669120852,207.69166912048,207.691669121031,207.691669121021,207.691669120416,207.691669120458,207.691669120552,207.691669120652,207.69166912055,207.691669120387,207.691669120314,207.691669120363,207.691669120691,207.691669120778,207.691669120733,207.691669120793,207.691669120988,207.691669120613,207.691669120884,207.691669120211,207.691669120446,207.691669120488,207.691669120323,207.691669120479,207.691669120539,207.691669120608,207.691669120454,207.691669120644,207.691669121065,207.691669121054,207.69166912088,207.691669121042,207.691669120799,207.691669120765,207.691669120701,207.691669120562,207.69166912053,207.691669120762,207.691669120477,207.691669120618
