"","Eulipoa wallacei","Megapodius freycinet","Gallus gallus.1","Meleagris gallopavo.1","Radjah radjah.1","Calonectris leucomelas","Hydrobates matsudairae","Ardea alba.2","Ardea sumatrana.1","Nycticorax caledonicus.1","Egretta sacra.2","Ixobrychus flavicollis.1","Fregata minor","Fregata ariel.1","Sula leucogaster.1","Pelecanus conspicillatus.1","Tachybaptus ruficollis","Gallirallus philippensis","Rallina fasciata","Gallirallus wallacii","Gymnocrex plumbeiventris","Amaurornis olivacea","Numenius phaeopus.4","Tringa brevipes.1","Actitis hypoleucos.3","Xenus cinereus.2","Calidris ruficollis.1","Sterna hirundo.2","Anarhynchus leschenaultii.1","Aegotheles crinifrons","Aerodramus vanikorensis","Collocalia esculenta","Hemiprocne mystacea","Caprimulgus macrurus.1","Otus magicus","Ninox scutulata","Ninox squamipila","Ninox connivens","Rhyticeros plicatus","Merops ornatus.1","Alcedo atthis","Ceyx lepidus","Tanysiptera galatea","Todiramphus sanctus.1","Todiramphus diops","Todiramphus funebris","Eurystomus azureus","Eurystomus orientalis","Pandion haliaetus.4","Aviceda subcristata.1","Haliastur indus.1","Icthyophaga leucogaster.1","Accipiter erythrauchen","Accipiter hiogaster","Accipiter henicogrammus","Accipiter soloensis","Cacatua alba","Lorius garrulus","Eos squamata","Hypocharmosyna placentis","Loriculus amabilis","Alisterus amboinensis","Geoffroyus geoffroyi","Tanygnathus megalorynchos","Eclectus roratus","Erythropitta rufiventris","Pitta maxima","Myzomela obscura.1","Melitograis gilolensis","Corvus validus","Corvus orru.1","Lycocorax pyrrhopterus","Semioptera wallacii","Carterornis pileatus","Symposiachrus trivirgatus","Myiagra alecto.1","Myiagra galeata","Rhipidura leucophrys.1","Dicrurus hottentottus","Oriolus phaeochromus","Pachycephala mentalis","Lalage aurea","Coracina papuensis.1","Coracina atriceps","Artamus leucorynchus.1","Aplonis metallica","Aplonis mysolensis","Cinnyris clementiae","Leptocoma aspasia","Dicaeum erythrothorax","Lonchura molucca","Hirundo tahitica","Hirundo rustica.2","Helopsaltes fasciolatus","Zosterops atriceps","Hypsipetes affinis","Falco moluccensis","Eudynamys scolopaceus","Cacomantis variolosus.1","Centropus goliath","Centropus bengalensis","Ptilinopus hyogastrus","Ptilinopus superbus","Ptilinopus granulifrons","Ducula basilica","Ducula bicolor","Ducula perspicillata","Ducula concinna","Chalcophaps indica","Caloenas nicobarica","Macropygia amboinensis","Reinwardtoena reinwardti","Spilopelia chinensis","Columba vitiensis","Columba livia.1","Myiagra alecto.2","Myiagra alecto.3","Egretta sacra.3","Symposiachrus trivirgatus.1","Myiagra galeata.1","Zosterops atriceps.1"
"Eulipoa wallacei",0,45.1651914585856,121.964507654744,121.964507654581,159.858600754728,206.149534604505,206.149534604425,206.149534604225,206.149534604232,206.149534603883,206.149534604424,206.149534603763,206.149534604167,206.149534604744,206.149534604227,206.14953460408,206.149534604352,206.149534604441,206.149534604485,206.149534604692,206.149534604579,206.149534603949,206.149534604516,206.149534604531,206.14953460456,206.149534604546,206.149534604399,206.149534604271,206.149534604216,206.149534604265,206.149534604372,206.149534604522,206.149534604474,206.149534604143,206.149534604199,206.14953460463,206.14953460473,206.149534604627,206.149534604577,206.149534604794,206.149534604703,206.149534604619,206.149534604879,206.1495346046,206.14953460452,206.149534605012,206.14953460473,206.149534604513,206.149534604635,206.149534604807,206.149534604505,206.149534604562,206.149534604098,206.149534604214,206.149534604293,206.149534604344,206.149534604091,206.149534603787,206.14953460405,206.149534604191,206.149534603893,206.14953460372,206.14953460396,206.149534603837,206.149534603699,206.149534604318,206.149534604486,206.149534604435,206.149534604348,206.149534604666,206.149534604141,206.149534604409,206.149534604431,206.149534604403,206.149534604269,206.149534604055,206.149534604386,206.149534604469,206.149534604403,206.149534604185,206.149534604601,206.149534604565,206.149534604381,206.149534604439,206.149534604317,206.149534604537,206.149534604496,206.149534604392,206.149534604535,206.149534604574,206.149534604385,206.149534604312,206.149534604182,206.149534604444,206.149534604294,206.149534604312,206.149534603851,206.149534604243,206.149534604837,206.149534604205,206.149534604473,206.149534603997,206.149534603939,206.149534604135,206.149534604131,206.149534604007,206.149534604106,206.14953460407,206.149534604235,206.149534604264,206.149534604135,206.149534604164,206.149534604217,206.149534604324,206.149534604341,206.149534604055,206.149534604055,206.149534604424,206.149534604269,206.149534604386,206.149534604294
"Megapodius freycinet",45.1651914585856,0,121.96450765469,121.964507654527,159.858600754674,206.14953460445,206.149534604371,206.14953460417,206.149534604178,206.149534603829,206.149534604369,206.149534603709,206.149534604112,206.149534604689,206.149534604172,206.149534604025,206.149534604298,206.149534604387,206.149534604431,206.149534604638,206.149534604524,206.149534603895,206.149534604461,206.149534604476,206.149534604506,206.149534604491,206.149534604345,206.149534604216,206.149534604162,206.149534604211,206.149534604317,206.149534604468,206.14953460442,206.149534604089,206.149534604145,206.149534604576,206.149534604676,206.149534604573,206.149534604522,206.149534604739,206.149534604649,206.149534604564,206.149534604824,206.149534604546,206.149534604465,206.149534604958,206.149534604676,206.149534604458,206.149534604581,206.149534604752,206.149534604451,206.149534604508,206.149534604043,206.14953460416,206.149534604238,206.14953460429,206.149534604037,206.149534603732,206.149534603996,206.149534604137,206.149534603839,206.149534603665,206.149534603906,206.149534603783,206.149534603645,206.149534604264,206.149534604432,206.149534604381,206.149534604294,206.149534604611,206.149534604087,206.149534604355,206.149534604376,206.149534604349,206.149534604215,206.149534604,206.149534604332,206.149534604415,206.149534604349,206.14953460413,206.149534604547,206.149534604511,206.149534604326,206.149534604385,206.149534604263,206.149534604483,206.149534604442,206.149534604337,206.14953460448,206.149534604519,206.14953460433,206.149534604258,206.149534604128,206.14953460439,206.14953460424,206.149534604258,206.149534603797,206.149534604188,206.149534604782,206.149534604151,206.149534604419,206.149534603942,206.149534603884,206.149534604081,206.149534604077,206.149534603953,206.149534604052,206.149534604015,206.149534604181,206.149534604209,206.149534604081,206.149534604109,206.149534604162,206.14953460427,206.149534604287,206.149534604,206.149534604,206.149534604369,206.149534604215,206.149534604332,206.14953460424
"Gallus gallus.1",121.964507654744,121.96450765469,0,41.6089923123561,159.858600754703,206.149534604479,206.1495346044,206.149534604199,206.149534604207,206.149534603858,206.149534604398,206.149534603738,206.149534604142,206.149534604718,206.149534604201,206.149534604055,206.149534604327,206.149534604416,206.14953460446,206.149534604667,206.149534604553,206.149534603924,206.14953460449,206.149534604505,206.149534604535,206.14953460452,206.149534604374,206.149534604245,206.149534604191,206.14953460424,206.149534604347,206.149534604497,206.149534604449,206.149534604118,206.149534604174,206.149534604605,206.149534604705,206.149534604602,206.149534604551,206.149534604768,206.149534604678,206.149534604593,206.149534604853,206.149534604575,206.149534604495,206.149534604987,206.149534604704,206.149534604487,206.14953460461,206.149534604782,206.14953460448,206.149534604537,206.149534604072,206.149534604189,206.149534604267,206.149534604319,206.149534604066,206.149534603762,206.149534604025,206.149534604166,206.149534603868,206.149534603694,206.149534603935,206.149534603812,206.149534603674,206.149534604293,206.149534604461,206.14953460441,206.149534604323,206.149534604641,206.149534604116,206.149534604384,206.149534604405,206.149534604378,206.149534604244,206.149534604029,206.149534604361,206.149534604444,206.149534604378,206.149534604159,206.149534604576,206.14953460454,206.149534604356,206.149534604414,206.149534604292,206.149534604512,206.149534604471,206.149534604366,206.14953460451,206.149534604548,206.149534604359,206.149534604287,206.149534604157,206.149534604419,206.149534604269,206.149534604287,206.149534603826,206.149534604217,206.149534604811,206.14953460418,206.149534604448,206.149534603972,206.149534603913,206.14953460411,206.149534604106,206.149534603982,206.149534604081,206.149534604045,206.14953460421,206.149534604238,206.14953460411,206.149534604139,206.149534604191,206.149534604299,206.149534604316,206.149534604029,206.149534604029,206.149534604398,206.149534604244,206.149534604361,206.149534604269
"Meleagris gallopavo.1",121.964507654581,121.964507654527,41.6089923123561,0,159.85860075454,206.149534604316,206.149534604237,206.149534604036,206.149534604043,206.149534603695,206.149534604235,206.149534603575,206.149534603978,206.149534604555,206.149534604038,206.149534603891,206.149534604164,206.149534604253,206.149534604297,206.149534604503,206.14953460439,206.149534603761,206.149534604327,206.149534604342,206.149534604372,206.149534604357,206.149534604211,206.149534604082,206.149534604027,206.149534604077,206.149534604183,206.149534604334,206.149534604286,206.149534603955,206.149534604011,206.149534604442,206.149534604542,206.149534604439,206.149534604388,206.149534604605,206.149534604515,206.14953460443,206.14953460469,206.149534604412,206.149534604331,206.149534604824,206.149534604541,206.149534604324,206.149534604447,206.149534604618,206.149534604317,206.149534604374,206.149534603909,206.149534604026,206.149534604104,206.149534604156,206.149534603903,206.149534603598,206.149534603861,206.149534604003,206.149534603705,206.149534603531,206.149534603772,206.149534603649,206.149534603511,206.149534604129,206.149534604298,206.149534604247,206.149534604159,206.149534604477,206.149534603953,206.149534604221,206.149534604242,206.149534604214,206.14953460408,206.149534603866,206.149534604197,206.149534604281,206.149534604215,206.149534603996,206.149534604412,206.149534604376,206.149534604192,206.149534604251,206.149534604128,206.149534604349,206.149534604308,206.149534604203,206.149534604346,206.149534604385,206.149534604196,206.149534604124,206.149534603993,206.149534604256,206.149534604105,206.149534604123,206.149534603662,206.149534604054,206.149534604648,206.149534604017,206.149534604284,206.149534603808,206.14953460375,206.149534603947,206.149534603942,206.149534603819,206.149534603918,206.149534603881,206.149534604047,206.149534604075,206.149534603947,206.149534603975,206.149534604028,206.149534604136,206.149534604153,206.149534603866,206.149534603866,206.149534604235,206.14953460408,206.149534604197,206.149534604105
"Radjah radjah.1",159.858600754728,159.858600754674,159.858600754703,159.85860075454,0,206.149534604591,206.149534604512,206.149534604311,206.149534604318,206.14953460397,206.14953460451,206.14953460385,206.149534604253,206.14953460483,206.149534604313,206.149534604166,206.149534604439,206.149534604528,206.149534604571,206.149534604778,206.149534604665,206.149534604036,206.149534604602,206.149534604617,206.149534604647,206.149534604632,206.149534604486,206.149534604357,206.149534604302,206.149534604352,206.149534604458,206.149534604609,206.149534604561,206.14953460423,206.149534604286,206.149534604717,206.149534604817,206.149534604714,206.149534604663,206.14953460488,206.149534604789,206.149534604705,206.149534604965,206.149534604687,206.149534604606,206.149534605099,206.149534604816,206.149534604599,206.149534604722,206.149534604893,206.149534604592,206.149534604649,206.149534604184,206.1495346043,206.149534604379,206.149534604431,206.149534604178,206.149534603873,206.149534604136,206.149534604278,206.14953460398,206.149534603806,206.149534604047,206.149534603924,206.149534603786,206.149534604404,206.149534604572,206.149534604522,206.149534604435,206.149534604752,206.149534604228,206.149534604496,206.149534604517,206.149534604489,206.149534604355,206.149534604141,206.149534604472,206.149534604556,206.14953460449,206.149534604271,206.149534604688,206.149534604652,206.149534604467,206.149534604526,206.149534604403,206.149534604624,206.149534604583,206.149534604478,206.149534604621,206.14953460466,206.149534604471,206.149534604399,206.149534604268,206.14953460453,206.149534604381,206.149534604398,206.149534603937,206.149534604329,206.149534604923,206.149534604292,206.149534604559,206.149534604083,206.149534604025,206.149534604222,206.149534604217,206.149534604094,206.149534604193,206.149534604156,206.149534604321,206.14953460435,206.149534604222,206.14953460425,206.149534604303,206.149534604411,206.149534604428,206.149534604141,206.149534604141,206.14953460451,206.149534604355,206.149534604472,206.149534604381
"Calonectris leucomelas",206.149534604505,206.14953460445,206.149534604479,206.149534604316,206.149534604591,0,98.9830035621885,127.030133012182,132.303735896402,133.844804997534,139.569406653277,140.815157870911,141.418226437245,142.03845520923,142.258172260535,143.127204056367,156.428349019343,156.428349019432,156.428349019476,156.428349019683,156.42834901957,156.42834901894,156.428349019507,156.428349019522,156.428349019552,156.428349019537,156.42834901939,156.428349019262,156.428349019207,170.503143166524,170.503143166631,170.503143166781,170.503143166733,170.503143166402,170.503143166458,170.50314316689,170.503143166989,170.503143166886,170.503143166836,170.503143167053,170.503143166962,170.503143166878,170.503143167138,170.50314316686,170.503143166779,170.503143167271,170.503143166989,170.503143166772,170.503143166894,170.503143167066,170.503143166764,170.503143166822,170.503143166357,170.503143166473,170.503143166552,170.503143166604,170.50314316635,170.503143166046,170.503143166309,170.503143166451,170.503143166152,170.503143165979,170.503143166219,170.503143166097,170.503143165958,170.503143166577,170.503143166745,170.503143166695,170.503143166607,170.503143166925,170.5031431664,170.503143166669,170.50314316669,170.503143166662,170.503143166528,170.503143166314,170.503143166645,170.503143166729,170.503143166663,170.503143166444,170.50314316686,170.503143166824,170.50314316664,170.503143166698,170.503143166576,170.503143166797,170.503143166755,170.503143166651,170.503143166794,170.503143166833,170.503143166644,170.503143166572,170.503143166441,170.503143166703,170.503143166553,170.503143166571,170.50314316611,170.503143166502,170.503143167096,170.503143166464,170.503143166732,175.194636623852,175.194636623794,175.19463662399,175.194636623986,175.194636623862,175.194636623961,175.194636623925,175.19463662409,175.194636624119,175.19463662399,175.194636624019,175.194636624072,175.194636624179,175.194636624196,170.503143166314,170.503143166314,139.569406653277,170.503143166528,170.503143166645,170.503143166553
"Hydrobates matsudairae",206.149534604425,206.149534604371,206.1495346044,206.149534604237,206.149534604512,98.9830035621885,0,118.452110287497,126.810907330128,129.023353709772,135.61743136106,140.798340169758,141.401408736091,142.021637508077,142.241354559381,143.110386355214,156.428349019264,156.428349019353,156.428349019397,156.428349019604,156.42834901949,156.428349018861,156.428349019427,156.428349019442,156.428349019472,156.428349019457,156.428349019311,156.428349019182,156.428349019128,170.503143166445,170.503143166551,170.503143166702,170.503143166654,170.503143166323,170.503143166379,170.50314316681,170.50314316691,170.503143166807,170.503143166756,170.503143166973,170.503143166883,170.503143166798,170.503143167058,170.50314316678,170.503143166699,170.503143167192,170.50314316691,170.503143166692,170.503143166814,170.503143166986,170.503143166685,170.503143166742,170.503143166277,170.503143166394,170.503143166472,170.503143166524,170.503143166271,170.503143165966,170.503143166229,170.503143166371,170.503143166073,170.5031431659,170.50314316614,170.503143166017,170.503143165879,170.503143166498,170.503143166666,170.503143166615,170.503143166528,170.503143166845,170.503143166321,170.503143166589,170.50314316661,170.503143166583,170.503143166449,170.503143166234,170.503143166566,170.503143166649,170.503143166583,170.503143166364,170.503143166781,170.503143166745,170.50314316656,170.503143166619,170.503143166497,170.503143166717,170.503143166676,170.503143166571,170.503143166714,170.503143166753,170.503143166564,170.503143166492,170.503143166362,170.503143166624,170.503143166474,170.503143166492,170.50314316603,170.503143166422,170.503143167016,170.503143166385,170.503143166653,175.194636623772,175.194636623714,175.194636623911,175.194636623906,175.194636623783,175.194636623882,175.194636623845,175.19463662401,175.194636624039,175.194636623911,175.194636623939,175.194636623992,175.1946366241,175.194636624117,170.503143166234,170.503143166234,135.61743136106,170.503143166449,170.503143166566,170.503143166474
"Ardea alba.2",206.149534604225,206.14953460417,206.149534604199,206.149534604036,206.149534604311,127.030133012182,118.452110287497,0,94.5193516766516,114.606537573346,124.170045800119,131.675279356245,141.105459535908,141.864938711,142.084655762305,143.054290658218,156.428349019063,156.428349019152,156.428349019196,156.428349019403,156.42834901929,156.42834901866,156.428349019227,156.428349019242,156.428349019272,156.428349019257,156.42834901911,156.428349018982,156.428349018927,170.503143166244,170.503143166351,170.503143166502,170.503143166453,170.503143166122,170.503143166179,170.50314316661,170.503143166709,170.503143166606,170.503143166556,170.503143166773,170.503143166682,170.503143166598,170.503143166858,170.50314316658,170.503143166499,170.503143166991,170.503143166709,170.503143166492,170.503143166614,170.503143166786,170.503143166484,170.503143166542,170.503143166077,170.503143166193,170.503143166272,170.503143166323,170.50314316607,170.503143165766,170.503143166029,170.503143166171,170.503143165872,170.503143165699,170.503143165939,170.503143165817,170.503143165679,170.503143166297,170.503143166465,170.503143166415,170.503143166327,170.503143166645,170.50314316612,170.503143166389,170.50314316641,170.503143166382,170.503143166248,170.503143166034,170.503143166365,170.503143166448,170.503143166383,170.503143166164,170.50314316658,170.503143166544,170.50314316636,170.503143166419,170.503143166296,170.503143166517,170.503143166475,170.503143166371,170.503143166514,170.503143166553,170.503143166364,170.503143166292,170.503143166161,170.503143166423,170.503143166273,170.503143166291,170.50314316583,170.503143166222,170.503143166816,170.503143166184,170.503143166452,175.194636623572,175.194636623514,175.19463662371,175.194636623706,175.194636623583,175.194636623681,175.194636623645,175.19463662381,175.194636623839,175.19463662371,175.194636623739,175.194636623792,175.194636623899,175.194636623917,170.503143166034,170.503143166034,124.170045800119,170.503143166248,170.503143166365,170.503143166273
"Ardea sumatrana.1",206.149534604232,206.149534604178,206.149534604207,206.149534604043,206.149534604318,132.303735896402,126.810907330128,94.5193516766516,0,84.8542780397048,108.880794113254,118.955787457261,131.194358767924,141.361678470961,141.665916632713,142.906632871037,156.42834901907,156.42834901916,156.428349019203,156.42834901941,156.428349019297,156.428349018668,156.428349019234,156.428349019249,156.428349019279,156.428349019264,156.428349019118,156.428349018989,156.428349018934,170.503143166252,170.503143166358,170.503143166509,170.503143166461,170.50314316613,170.503143166186,170.503143166617,170.503143166716,170.503143166614,170.503143166563,170.50314316678,170.503143166689,170.503143166605,170.503143166865,170.503143166587,170.503143166506,170.503143166999,170.503143166716,170.503143166499,170.503143166621,170.503143166793,170.503143166491,170.503143166549,170.503143166084,170.5031431662,170.503143166279,170.50314316633,170.503143166077,170.503143165773,170.503143166036,170.503143166178,170.503143165879,170.503143165706,170.503143165947,170.503143165824,170.503143165686,170.503143166304,170.503143166473,170.503143166422,170.503143166334,170.503143166652,170.503143166127,170.503143166396,170.503143166417,170.503143166389,170.503143166256,170.503143166041,170.503143166372,170.503143166456,170.50314316639,170.503143166171,170.503143166587,170.503143166551,170.503143166367,170.503143166426,170.503143166303,170.503143166524,170.503143166482,170.503143166378,170.503143166521,170.50314316656,170.503143166371,170.503143166299,170.503143166168,170.503143166431,170.50314316628,170.503143166298,170.503143165837,170.503143166229,170.503143166823,170.503143166191,170.503143166459,175.194636623579,175.194636623521,175.194636623718,175.194636623713,175.19463662359,175.194636623688,175.194636623652,175.194636623817,175.194636623846,175.194636623717,175.194636623746,175.194636623799,175.194636623906,175.194636623924,170.503143166041,170.503143166041,108.880794113254,170.503143166256,170.503143166372,170.50314316628
"Nycticorax caledonicus.1",206.149534603883,206.149534603829,206.149534603858,206.149534603695,206.14953460397,133.844804997534,129.023353709772,114.606537573346,84.8542780397048,0,103.73753677621,117.095099350481,129.707915820681,140.240517537602,141.613875435523,142.854591673847,156.428349018722,156.428349018811,156.428349018855,156.428349019062,156.428349018949,156.428349018319,156.428349018886,156.4283490189,156.42834901893,156.428349018915,156.428349018769,156.42834901864,156.428349018586,170.503143165903,170.50314316601,170.50314316616,170.503143166112,170.503143165781,170.503143165837,170.503143166268,170.503143166368,170.503143166265,170.503143166214,170.503143166432,170.503143166341,170.503143166257,170.503143166517,170.503143166238,170.503143166158,170.50314316665,170.503143166368,170.50314316615,170.503143166273,170.503143166445,170.503143166143,170.5031431662,170.503143165735,170.503143165852,170.503143165931,170.503143165982,170.503143165729,170.503143165425,170.503143165688,170.503143165829,170.503143165531,170.503143165358,170.503143165598,170.503143165475,170.503143165337,170.503143165956,170.503143166124,170.503143166073,170.503143165986,170.503143166304,170.503143165779,170.503143166047,170.503143166069,170.503143166041,170.503143165907,170.503143165692,170.503143166024,170.503143166107,170.503143166041,170.503143165822,170.503143166239,170.503143166203,170.503143166018,170.503143166077,170.503143165955,170.503143166175,170.503143166134,170.503143166029,170.503143166173,170.503143166211,170.503143166022,170.50314316595,170.50314316582,170.503143166082,170.503143165932,170.50314316595,170.503143165489,170.503143165881,170.503143166474,170.503143165843,170.503143166111,175.194636623231,175.194636623172,175.194636623369,175.194636623365,175.194636623241,175.19463662334,175.194636623304,175.194636623469,175.194636623498,175.194636623369,175.194636623398,175.19463662345,175.194636623558,175.194636623575,170.503143165692,170.503143165692,103.73753677621,170.503143165907,170.503143166024,170.503143165932
