"","Oxyura jamaicensis","Cairina moschata.2","Aythya affinis.2","Anas platyrhynchos.3","Anas crecca.3","Mareca americana","Spatula discors.1","Anser anser","Anser cygnoides","Dendrocygna autumnalis","Ortalis poliocephala","Cyrtonyx montezumae","Dendrortyx macroura","Meleagris gallopavo.3","Gallus gallus.3","Accipiter cooperii","Circus hudsonius.2","Accipiter striatus.2","Buteo jamaicensis.2","Buteo albonotatus","Buteo brachyurus.1","Micrathene whitneyi","Glaucidium gnoma.2","Strix virgata.1","Bubo virginianus.3","Megascops trichopsis.1","Asio stygius","Trogon elegans","Trogon mexicanus.1","Campephilus guatemalensis","Dryocopus lineatus.1","Colaptes auratus.3","Sphyrapicus varius","Melanerpes formicivorus.1","Melanerpes hypopolius","Dryobates scalaris.1","Dryobates villosus.2","Antrostomus arizonae","Coragyps atratus.1","Cathartes aura.1","Sarcoramphus papa.1","Calothorax pulcher","Colibri thalassinus.1","Phaeoptila sordida","Basilinna leucotis.1","Ramosomyia viridifrons","Saucerottia beryllina","Lampornis clemenciae","Lampornis amethystinus.1","Lamprolaima rhami","Eugenes fulgens","Archilochus colubris","Selasphorus rufus.1","Selasphorus heloisa","Cypseloides niger.1","Streptoprocne rutila.1","Aeronautes saxatalis.1","Sayornis saya","Sayornis nigricans.1","Mitrephanes phaeocercus.1","Empidonax affinis","Empidonax oberholseri","Empidonax difficilis","Contopus pertinax.1","Tyrannus vociferans","Tyrannus verticalis","Tyrannus crassirostris","Myiarchus tuberculifer.1","Myiarchus nuttingi","Lepidocolaptes leucogaster","Vireo gilvus","Vireo plumbeus","Vireo cassinii","Vireo huttoni.1","Cyanocitta stelleri.2","Aphelocoma woodhouseii","Corvus corax.4","Eremophila alpestris.2","Tachycineta thalassina.1","Stelgidopteryx serripennis.2","Hirundo rustica.4","Petrochelidon pyrrhonota.2","Psaltriparus minimus.1","Poecile sclateri","Baeolophus wollweberi","Cinclus mexicanus.1","Catharus occidentalis","Catharus frantzii.1","Catharus aurantiirostris","Turdus migratorius.2","Myadestes occidentalis.1","Toxostoma curvirostre","Mimus polyglottos","Melanotis caerulescens","Troglodytes aedon.1","Henicorhina leucophrys.1","Thryomanes bewickii","Campylorhynchus jocosus","Salpinctes obsoletus","Catherpes mexicanus","Polioptila caerulea","Ptiliogonys cinereus.1","Bombycilla cedrorum","Spinus psaltria.1","Spinus notatus.1","Haemorhous mexicanus","Quiscalus mexicanus.1","Molothrus aeneus.1","Icterus wagleri","Melozone albicollis","Aimophila ruficeps","Pipilo ocai","Pipilo maculatus.1","Pooecetes gramineus","Melospiza lincolnii.1","Junco phaeonotus.1","Arremon brunneinucha","Spizella passerina","Peucaea mystacalis","Geothlypis tolmiei.1","Mniotilta varia","Leiothlypis celata.1","Leiothlypis ruficapilla.1","Oreothlypis superciliosa.1","Setophaga nigrescens","Setophaga occidentalis.1","Setophaga townsendi.2","Setophaga coronata.1","Myioborus pictus.1","Myioborus miniatus.1","Cardellina pusilla.2","Cardellina rubrifrons","Cardellina rubra","Basileuterus rufifrons.1","Piranga rubra","Pheucticus melanocephalus","Passer domesticus.1","Eupsittula canicularis.2","Ara militaris","Amazona finschi","Falco sparverius.2","Falco peregrinus.3","Caracara plancus","Geococcyx velox.1","Bubulcus ibis.1","Leptotila verreauxi.1","Zenaida macroura.2","Zenaida asiatica.1","Patagioenas fasciata.2","Columba livia.3","Columbina passerina","Columbina inca.1"
"Oxyura jamaicensis",0,23.8172910590145,32.5784454417228,33.1381065068096,34.6423145187113,34.6423145187816,41.7026727013881,43.6691447985437,43.6691447985175,66.2322856454498,160.469526118069,160.469526118317,160.469526118685,160.469526118582,160.46952611859,208.720510919814,208.720510919666,208.72051091998,208.720510920098,208.720510919982,208.720510919745,208.72051091973,208.720510919827,208.720510919647,208.720510919484,208.720510919611,208.720510919559,208.720510919537,208.720510919519,208.720510919568,208.720510919816,208.720510919313,208.720510919353,208.720510919184,208.720510919248,208.720510919021,208.720510919108,208.720510919305,208.720510919394,208.720510919446,208.72051091941,208.720510919239,208.720510919251,208.72051091923,208.720510919185,208.720510919231,208.720510919057,208.720510919237,208.720510919204,208.720510919256,208.720510919299,208.720510919224,208.720510919263,208.720510919244,208.720510919133,208.720510919412,208.720510919732,208.720510919656,208.720510919746,208.720510919681,208.720510919544,208.720510919572,208.720510919596,208.720510919594,208.72051091955,208.720510919639,208.720510919501,208.720510919498,208.720510919524,208.720510920097,208.720510919912,208.72051091997,208.720510919656,208.720510919904,208.72051091968,208.720510919745,208.720510919689,208.720510920135,208.720510919952,208.720510919859,208.720510919912,208.720510919905,208.720510919636,208.720510919644,208.720510919529,208.720510919584,208.720510919636,208.720510919661,208.720510919721,208.720510919626,208.72051091941,208.720510919512,208.720510919627,208.720510919587,208.7205109201,208.720510920109,208.720510919959,208.720510919667,208.720510919919,208.720510919843,208.720510919707,208.720510919491,208.720510919553,208.720510919887,208.720510918999,208.720510919549,208.720510919123,208.720510919347,208.720510919388,208.720510919308,208.720510919108,208.72051091912,208.720510919093,208.720510919103,208.720510919054,208.720510919149,208.72051091911,208.720510919154,208.720510919096,208.720510919367,208.720510919445,208.720510919429,208.720510919418,208.720510919686,208.720510919602,208.720510919645,208.720510919536,208.72051091967,208.720510919636,208.720510919567,208.720510919581,208.720510919687,208.720510919659,208.720510919598,208.72051091972,208.720510919686,208.720510919917,208.72051091947,208.720510919259,208.720510919103,208.720510919936,208.720510919655,208.72051091951,208.720510920751,208.720510919565,208.720510919764,208.720510919942,208.720510919518,208.720510919567,208.720510919433,208.720510919501,208.720510919521
"Cairina moschata.2",23.8172910590145,0,20.2195297179878,21.8568546595613,24.0176979460573,25.8252111458668,32.8911677548682,43.6691447983868,43.6691447983606,66.2322856452929,160.469526117912,160.46952611816,160.469526118528,160.469526118426,160.469526118433,208.720510919657,208.720510919509,208.720510919823,208.720510919941,208.720510919825,208.720510919588,208.720510919573,208.72051091967,208.72051091949,208.720510919327,208.720510919454,208.720510919402,208.72051091938,208.720510919362,208.720510919411,208.720510919659,208.720510919156,208.720510919196,208.720510919027,208.720510919091,208.720510918864,208.720510918951,208.720510919148,208.720510919237,208.720510919289,208.720510919253,208.720510919082,208.720510919095,208.720510919073,208.720510919028,208.720510919073,208.7205109189,208.72051091908,208.720510919048,208.720510919099,208.720510919141,208.720510919067,208.720510919106,208.720510919087,208.720510918976,208.720510919255,208.720510919575,208.7205109195,208.720510919589,208.720510919524,208.720510919387,208.720510919414,208.720510919439,208.720510919437,208.720510919393,208.720510919482,208.720510919344,208.720510919341,208.720510919367,208.72051091994,208.720510919755,208.720510919813,208.7205109195,208.720510919748,208.720510919523,208.720510919588,208.720510919532,208.720510919978,208.720510919795,208.720510919702,208.720510919755,208.720510919748,208.720510919479,208.720510919487,208.720510919372,208.720510919427,208.720510919479,208.720510919504,208.720510919564,208.720510919469,208.720510919253,208.720510919355,208.72051091947,208.72051091943,208.720510919943,208.720510919953,208.720510919802,208.72051091951,208.720510919762,208.720510919686,208.72051091955,208.720510919334,208.720510919396,208.72051091973,208.720510918842,208.720510919392,208.720510918966,208.720510919191,208.720510919231,208.720510919152,208.720510918951,208.720510918963,208.720510918937,208.720510918946,208.720510918898,208.720510918992,208.720510918953,208.720510918997,208.720510918939,208.72051091921,208.720510919288,208.720510919272,208.720510919261,208.720510919529,208.720510919445,208.720510919489,208.720510919379,208.720510919513,208.720510919479,208.72051091941,208.720510919424,208.72051091953,208.720510919502,208.720510919442,208.720510919563,208.72051091953,208.72051091976,208.720510919313,208.720510919102,208.720510918946,208.720510919779,208.720510919498,208.720510919353,208.720510920594,208.720510919409,208.720510919607,208.720510919785,208.720510919361,208.72051091941,208.720510919276,208.720510919344,208.720510919365
"Aythya affinis.2",32.5784454417228,20.2195297179878,0,16.1699731923974,19.0364337830099,21.5442100682905,30.5483041487725,41.326281192291,43.0540382085318,66.2322856452864,160.469526117906,160.469526118154,160.469526118521,160.469526118419,160.469526118427,208.720510919651,208.720510919503,208.720510919817,208.720510919935,208.720510919819,208.720510919582,208.720510919567,208.720510919664,208.720510919484,208.720510919321,208.720510919447,208.720510919396,208.720510919374,208.720510919356,208.720510919404,208.720510919652,208.720510919149,208.720510919189,208.720510919021,208.720510919085,208.720510918857,208.720510918945,208.720510919142,208.720510919231,208.720510919282,208.720510919247,208.720510919076,208.720510919088,208.720510919066,208.720510919021,208.720510919067,208.720510918894,208.720510919073,208.720510919041,208.720510919093,208.720510919135,208.72051091906,208.7205109191,208.720510919081,208.72051091897,208.720510919249,208.720510919568,208.720510919493,208.720510919582,208.720510919517,208.720510919381,208.720510919408,208.720510919432,208.720510919431,208.720510919387,208.720510919476,208.720510919337,208.720510919334,208.720510919361,208.720510919934,208.720510919749,208.720510919807,208.720510919493,208.720510919741,208.720510919516,208.720510919582,208.720510919526,208.720510919972,208.720510919788,208.720510919696,208.720510919748,208.720510919742,208.720510919472,208.72051091948,208.720510919366,208.720510919421,208.720510919472,208.720510919497,208.720510919558,208.720510919463,208.720510919247,208.720510919349,208.720510919464,208.720510919423,208.720510919937,208.720510919946,208.720510919795,208.720510919503,208.720510919756,208.720510919679,208.720510919543,208.720510919327,208.720510919389,208.720510919723,208.720510918836,208.720510919385,208.720510918959,208.720510919184,208.720510919224,208.720510919145,208.720510918945,208.720510918956,208.72051091893,208.72051091894,208.720510918891,208.720510918985,208.720510918947,208.72051091899,208.720510918933,208.720510919203,208.720510919282,208.720510919265,208.720510919255,208.720510919523,208.720510919438,208.720510919482,208.720510919373,208.720510919507,208.720510919472,208.720510919404,208.720510919418,208.720510919523,208.720510919495,208.720510919435,208.720510919557,208.720510919523,208.720510919754,208.720510919307,208.720510919095,208.720510918939,208.720510919772,208.720510919492,208.720510919347,208.720510920588,208.720510919402,208.7205109196,208.720510919779,208.720510919354,208.720510919404,208.720510919269,208.720510919337,208.720510919358
"Anas platyrhynchos.3",33.1381065068096,21.8568546595613,16.1699731923974,0,13.5924132195072,16.8396904276903,26.6279516611314,39.617618101057,41.3480156489698,66.2322856453308,160.46952611795,160.469526118198,160.469526118566,160.469526118464,160.469526118471,208.720510919695,208.720510919547,208.720510919861,208.720510919979,208.720510919863,208.720510919626,208.720510919611,208.720510919708,208.720510919528,208.720510919365,208.720510919492,208.72051091944,208.720510919418,208.7205109194,208.720510919449,208.720510919697,208.720510919194,208.720510919234,208.720510919066,208.720510919129,208.720510918902,208.720510918989,208.720510919186,208.720510919275,208.720510919327,208.720510919291,208.72051091912,208.720510919133,208.72051091911,208.720510919066,208.720510919111,208.720510918938,208.720510919118,208.720510919086,208.720510919137,208.72051091918,208.720510919105,208.720510919144,208.720510919125,208.720510919014,208.720510919293,208.720510919613,208.720510919538,208.720510919627,208.720510919562,208.720510919425,208.720510919453,208.720510919477,208.720510919475,208.720510919431,208.72051091952,208.720510919382,208.720510919379,208.720510919405,208.720510919978,208.720510919793,208.720510919851,208.720510919537,208.720510919786,208.720510919561,208.720510919626,208.72051091957,208.720510920016,208.720510919833,208.72051091974,208.720510919793,208.720510919787,208.720510919517,208.720510919525,208.720510919411,208.720510919465,208.720510919517,208.720510919542,208.720510919602,208.720510919507,208.720510919291,208.720510919393,208.720510919509,208.720510919467,208.720510919981,208.72051091999,208.72051091984,208.720510919548,208.7205109198,208.720510919724,208.720510919588,208.720510919372,208.720510919434,208.720510919768,208.72051091888,208.72051091943,208.720510919004,208.720510919228,208.720510919269,208.720510919189,208.720510918989,208.720510919001,208.720510918974,208.720510918984,208.720510918935,208.72051091903,208.720510918991,208.720510919035,208.720510918977,208.720510919248,208.720510919326,208.72051091931,208.720510919299,208.720510919567,208.720510919483,208.720510919526,208.720510919417,208.720510919551,208.720510919517,208.720510919448,208.720510919462,208.720510919568,208.72051091954,208.720510919479,208.720510919601,208.720510919568,208.720510919798,208.720510919351,208.72051091914,208.720510918984,208.720510919817,208.720510919536,208.720510919391,208.720510920632,208.720510919447,208.720510919645,208.720510919823,208.720510919399,208.720510919448,208.720510919314,208.720510919381,208.720510919402
"Anas crecca.3",34.6423145187113,24.0176979460573,19.0364337830099,13.5924132195072,0,15.5088650848714,25.9207435692743,39.1011115403995,41.3480156489192,66.2322856452803,160.4695261179,160.469526118148,160.469526118515,160.469526118413,160.46952611842,208.720510919644,208.720510919497,208.720510919811,208.720510919928,208.720510919813,208.720510919576,208.720510919561,208.720510919657,208.720510919477,208.720510919315,208.720510919441,208.720510919389,208.720510919367,208.72051091935,208.720510919398,208.720510919646,208.720510919143,208.720510919183,208.720510919015,208.720510919078,208.720510918851,208.720510918939,208.720510919135,208.720510919225,208.720510919276,208.72051091924,208.72051091907,208.720510919082,208.72051091906,208.720510919015,208.720510919061,208.720510918888,208.720510919067,208.720510919035,208.720510919087,208.720510919129,208.720510919054,208.720510919094,208.720510919074,208.720510918963,208.720510919243,208.720510919562,208.720510919487,208.720510919576,208.720510919511,208.720510919375,208.720510919402,208.720510919426,208.720510919425,208.720510919381,208.720510919469,208.720510919331,208.720510919328,208.720510919355,208.720510919928,208.720510919742,208.7205109198,208.720510919487,208.720510919735,208.72051091951,208.720510919576,208.72051091952,208.720510919966,208.720510919782,208.720510919689,208.720510919742,208.720510919736,208.720510919466,208.720510919474,208.72051091936,208.720510919414,208.720510919466,208.720510919491,208.720510919551,208.720510919456,208.72051091924,208.720510919343,208.720510919458,208.720510919417,208.72051091993,208.72051091994,208.720510919789,208.720510919497,208.72051091975,208.720510919673,208.720510919537,208.720510919321,208.720510919383,208.720510919717,208.72051091883,208.720510919379,208.720510918953,208.720510919178,208.720510919218,208.720510919139,208.720510918939,208.72051091895,208.720510918924,208.720510918934,208.720510918885,208.720510918979,208.720510918941,208.720510918984,208.720510918926,208.720510919197,208.720510919276,208.720510919259,208.720510919249,208.720510919517,208.720510919432,208.720510919476,208.720510919367,208.7205109195,208.720510919466,208.720510919398,208.720510919411,208.720510919517,208.720510919489,208.720510919429,208.720510919551,208.720510919517,208.720510919747,208.7205109193,208.720510919089,208.720510918933,208.720510919766,208.720510919486,208.720510919341,208.720510920582,208.720510919396,208.720510919594,208.720510919773,208.720510919348,208.720510919398,208.720510919263,208.720510919331,208.720510919352
"Mareca americana",34.6423145187816,25.8252111458668,21.5442100682905,16.8396904276903,15.5088650848714,0,24.5185566897637,38.3540451941738,40.8191514908799,66.2322856453505,160.46952611797,160.469526118218,160.469526118585,160.469526118483,160.469526118491,208.720510919715,208.720510919567,208.720510919881,208.720510919998,208.720510919883,208.720510919646,208.720510919631,208.720510919728,208.720510919548,208.720510919385,208.720510919511,208.72051091946,208.720510919438,208.72051091942,208.720510919468,208.720510919717,208.720510919213,208.720510919253,208.720510919085,208.720510919149,208.720510918921,208.720510919009,208.720510919206,208.720510919295,208.720510919346,208.720510919311,208.72051091914,208.720510919152,208.72051091913,208.720510919086,208.720510919131,208.720510918958,208.720510919137,208.720510919105,208.720510919157,208.720510919199,208.720510919125,208.720510919164,208.720510919145,208.720510919034,208.720510919313,208.720510919633,208.720510919557,208.720510919647,208.720510919581,208.720510919445,208.720510919472,208.720510919497,208.720510919495,208.720510919451,208.72051091954,208.720510919402,208.720510919398,208.720510919425,208.720510919998,208.720510919813,208.720510919871,208.720510919557,208.720510919805,208.72051091958,208.720510919646,208.72051091959,208.720510920036,208.720510919853,208.72051091976,208.720510919813,208.720510919806,208.720510919536,208.720510919544,208.72051091943,208.720510919485,208.720510919536,208.720510919561,208.720510919622,208.720510919527,208.720510919311,208.720510919413,208.720510919528,208.720510919487,208.72051092,208.72051092001,208.72051091986,208.720510919567,208.72051091982,208.720510919743,208.720510919608,208.720510919392,208.720510919454,208.720510919788,208.7205109189,208.72051091945,208.720510919023,208.720510919248,208.720510919289,208.720510919209,208.720510919009,208.720510919021,208.720510918994,208.720510919004,208.720510918955,208.720510919049,208.720510919011,208.720510919054,208.720510918997,208.720510919267,208.720510919346,208.72051091933,208.720510919319,208.720510919587,208.720510919503,208.720510919546,208.720510919437,208.720510919571,208.720510919536,208.720510919468,208.720510919482,208.720510919587,208.720510919559,208.720510919499,208.720510919621,208.720510919587,208.720510919818,208.720510919371,208.72051091916,208.720510919003,208.720510919836,208.720510919556,208.720510919411,208.720510920652,208.720510919466,208.720510919665,208.720510919843,208.720510919418,208.720510919468,208.720510919333,208.720510919401,208.720510919422
"Spatula discors.1",41.7026727013881,32.8911677548682,30.5483041487725,26.6279516611314,25.9207435692743,24.5185566897637,0,38.2557534737989,40.8191514908401,66.2322856453107,160.46952611793,160.469526118178,160.469526118546,160.469526118444,160.469526118451,208.720510919675,208.720510919527,208.720510919841,208.720510919959,208.720510919843,208.720510919606,208.720510919591,208.720510919688,208.720510919508,208.720510919345,208.720510919471,208.72051091942,208.720510919398,208.72051091938,208.720510919429,208.720510919677,208.720510919173,208.720510919214,208.720510919045,208.720510919109,208.720510918882,208.720510918969,208.720510919166,208.720510919255,208.720510919306,208.720510919271,208.7205109191,208.720510919113,208.720510919091,208.720510919046,208.720510919091,208.720510918918,208.720510919098,208.720510919065,208.720510919117,208.72051091916,208.720510919085,208.720510919124,208.720510919105,208.720510918994,208.720510919273,208.720510919593,208.720510919517,208.720510919607,208.720510919541,208.720510919405,208.720510919432,208.720510919457,208.720510919455,208.720510919411,208.7205109195,208.720510919362,208.720510919359,208.720510919385,208.720510919958,208.720510919773,208.720510919831,208.720510919517,208.720510919765,208.72051091954,208.720510919606,208.72051091955,208.720510919996,208.720510919813,208.72051091972,208.720510919773,208.720510919766,208.720510919497,208.720510919504,208.72051091939,208.720510919445,208.720510919497,208.720510919522,208.720510919582,208.720510919487,208.720510919271,208.720510919373,208.720510919488,208.720510919448,208.720510919961,208.72051091997,208.72051091982,208.720510919527,208.72051091978,208.720510919704,208.720510919568,208.720510919352,208.720510919414,208.720510919748,208.72051091886,208.72051091941,208.720510918984,208.720510919208,208.720510919249,208.720510919169,208.720510918969,208.720510918981,208.720510918954,208.720510918964,208.720510918915,208.72051091901,208.720510918971,208.720510919014,208.720510918957,208.720510919228,208.720510919306,208.72051091929,208.720510919279,208.720510919547,208.720510919463,208.720510919506,208.720510919397,208.720510919531,208.720510919496,208.720510919428,208.720510919442,208.720510919547,208.720510919519,208.72051091946,208.720510919581,208.720510919547,208.720510919778,208.720510919331,208.72051091912,208.720510918964,208.720510919797,208.720510919516,208.720510919371,208.720510920612,208.720510919426,208.720510919625,208.720510919803,208.720510919378,208.720510919428,208.720510919294,208.720510919361,208.720510919382
"Anser anser",43.6691447985437,43.6691447983868,41.326281192291,39.617618101057,39.1011115403995,38.3540451941738,38.2557534737989,0,5.79981551153274,66.2322856453697,160.469526117989,160.469526118237,160.469526118605,160.469526118503,160.46952611851,208.720510919734,208.720510919586,208.7205109199,208.720510920018,208.720510919902,208.720510919665,208.72051091965,208.720510919747,208.720510919567,208.720510919404,208.720510919531,208.720510919479,208.720510919457,208.720510919439,208.720510919488,208.720510919736,208.720510919232,208.720510919273,208.720510919105,208.720510919168,208.720510918941,208.720510919028,208.720510919225,208.720510919314,208.720510919366,208.72051091933,208.720510919159,208.720510919172,208.720510919149,208.720510919105,208.72051091915,208.720510918977,208.720510919157,208.720510919124,208.720510919176,208.720510919219,208.720510919144,208.720510919183,208.720510919164,208.720510919053,208.720510919332,208.720510919652,208.720510919576,208.720510919666,208.7205109196,208.720510919464,208.720510919491,208.720510919516,208.720510919514,208.72051091947,208.720510919559,208.720510919421,208.720510919418,208.720510919444,208.720510920017,208.720510919832,208.72051091989,208.720510919576,208.720510919824,208.720510919599,208.720510919665,208.720510919609,208.720510920055,208.720510919872,208.720510919779,208.720510919832,208.720510919825,208.720510919556,208.720510919564,208.720510919449,208.720510919504,208.720510919556,208.720510919581,208.720510919641,208.720510919546,208.72051091933,208.720510919432,208.720510919547,208.720510919506,208.72051092002,208.720510920029,208.720510919879,208.720510919586,208.720510919839,208.720510919763,208.720510919627,208.720510919411,208.720510919473,208.720510919807,208.720510918919,208.720510919469,208.720510919043,208.720510919267,208.720510919308,208.720510919228,208.720510919028,208.72051091904,208.720510919013,208.720510919023,208.720510918974,208.720510919069,208.72051091903,208.720510919073,208.720510919016,208.720510919287,208.720510919365,208.720510919349,208.720510919338,208.720510919606,208.720510919522,208.720510919565,208.720510919456,208.72051091959,208.720510919555,208.720510919487,208.720510919501,208.720510919606,208.720510919578,208.720510919519,208.72051091964,208.720510919607,208.720510919837,208.72051091939,208.720510919179,208.720510919022,208.720510919856,208.720510919575,208.72051091943,208.720510920671,208.720510919486,208.720510919684,208.720510919862,208.720510919437,208.720510919487,208.720510919353,208.72051091942,208.720510919441
"Anser cygnoides",43.6691447985175,43.6691447983606,43.0540382085318,41.3480156489698,41.3480156489192,40.8191514908799,40.8191514908401,5.79981551153274,0,66.2322856453435,160.469526117963,160.469526118211,160.469526118578,160.469526118476,160.469526118484,208.720510919708,208.72051091956,208.720510919874,208.720510919992,208.720510919876,208.720510919639,208.720510919624,208.720510919721,208.720510919541,208.720510919378,208.720510919504,208.720510919453,208.720510919431,208.720510919413,208.720510919461,208.72051091971,208.720510919206,208.720510919246,208.720510919078,208.720510919142,208.720510918914,208.720510919002,208.720510919198,208.720510919288,208.720510919339,208.720510919304,208.720510919133,208.720510919145,208.720510919124,208.720510919079,208.720510919124,208.720510918951,208.72051091913,208.720510919098,208.72051091915,208.720510919192,208.720510919118,208.720510919157,208.720510919138,208.720510919027,208.720510919306,208.720510919625,208.72051091955,208.72051091964,208.720510919574,208.720510919438,208.720510919465,208.72051091949,208.720510919488,208.720510919444,208.720510919533,208.720510919395,208.720510919391,208.720510919418,208.720510919991,208.720510919806,208.720510919864,208.72051091955,208.720510919798,208.720510919573,208.720510919639,208.720510919583,208.720510920029,208.720510919846,208.720510919753,208.720510919805,208.720510919799,208.720510919529,208.720510919537,208.720510919423,208.720510919478,208.72051091953,208.720510919555,208.720510919615,208.72051091952,208.720510919304,208.720510919406,208.720510919521,208.72051091948,208.720510919994,208.720510920003,208.720510919853,208.72051091956,208.720510919813,208.720510919736,208.720510919601,208.720510919385,208.720510919447,208.72051091978,208.720510918893,208.720510919443,208.720510919016,208.720510919241,208.720510919281,208.720510919202,208.720510919002,208.720510919013,208.720510918987,208.720510918997,208.720510918948,208.720510919043,208.720510919004,208.720510919047,208.72051091899,208.72051091926,208.720510919339,208.720510919322,208.720510919312,208.72051091958,208.720510919496,208.720510919539,208.72051091943,208.720510919564,208.720510919529,208.720510919461,208.720510919475,208.72051091958,208.720510919552,208.720510919492,208.720510919614,208.72051091958,208.72051091981,208.720510919364,208.720510919153,208.720510918996,208.720510919829,208.720510919549,208.720510919404,208.720510920645,208.720510919459,208.720510919658,208.720510919836,208.720510919411,208.720510919461,208.720510919326,208.720510919394,208.720510919415
"Dendrocygna autumnalis",66.2322856454498,66.2322856452929,66.2322856452864,66.2322856453308,66.2322856452803,66.2322856453505,66.2322856453107,66.2322856453697,66.2322856453435,0,160.469526118071,160.469526118319,160.469526118687,160.469526118585,160.469526118592,208.720510919816,208.720510919668,208.720510919982,208.7205109201,208.720510919984,208.720510919747,208.720510919732,208.720510919829,208.720510919649,208.720510919486,208.720510919613,208.720510919561,208.720510919539,208.720510919521,208.72051091957,208.720510919818,208.720510919315,208.720510919355,208.720510919187,208.720510919251,208.720510919023,208.72051091911,208.720510919307,208.720510919396,208.720510919447,208.720510919412,208.720510919241,208.720510919254,208.720510919232,208.720510919187,208.720510919233,208.720510919059,208.720510919239,208.720510919207,208.720510919258,208.720510919301,208.720510919226,208.720510919265,208.720510919246,208.720510919135,208.720510919414,208.720510919734,208.720510919658,208.720510919748,208.720510919683,208.720510919546,208.720510919574,208.720510919598,208.720510919596,208.720510919552,208.720510919641,208.720510919503,208.7205109195,208.720510919526,208.720510920099,208.720510919914,208.720510919972,208.720510919659,208.720510919907,208.720510919682,208.720510919747,208.720510919691,208.720510920137,208.720510919954,208.720510919861,208.720510919914,208.720510919907,208.720510919638,208.720510919645,208.720510919531,208.720510919586,208.720510919638,208.720510919663,208.720510919723,208.720510919628,208.720510919412,208.720510919514,208.720510919629,208.720510919589,208.720510920102,208.720510920112,208.720510919961,208.720510919669,208.720510919921,208.720510919845,208.720510919709,208.720510919493,208.720510919555,208.720510919889,208.720510919001,208.720510919551,208.720510919125,208.72051091935,208.72051091939,208.720510919311,208.72051091911,208.720510919122,208.720510919095,208.720510919105,208.720510919056,208.720510919151,208.720510919113,208.720510919156,208.720510919098,208.720510919369,208.720510919448,208.720510919431,208.72051091942,208.720510919688,208.720510919604,208.720510919647,208.720510919538,208.720510919672,208.720510919637,208.720510919569,208.720510919583,208.720510919689,208.720510919661,208.720510919601,208.720510919722,208.720510919689,208.720510919919,208.720510919472,208.720510919261,208.720510919105,208.720510919938,208.720510919657,208.720510919512,208.720510920753,208.720510919568,208.720510919766,208.720510919944,208.72051091952,208.720510919569,208.720510919435,208.720510919502,208.720510919524
