"","Species1","Species2","DistPer","SameName","DistPhy","Dist74","Dist23","DistCol"
"1","Accipiter erythrauchen","Accipiter henicogrammus",1.07411989203217,TRUE,100.979219988343,1,1,1.95412181058823
"2","Accipiter erythrauchen","Accipiter hiogaster",0.783114165276354,TRUE,93.2453345561276,1,1,2.38038740718449
"3","Accipiter erythrauchen","Accipiter soloensis",1.08527492354428,TRUE,101.828236833875,1,1,1.24707068661737
"4","Accipiter erythrauchen","Actitis hypoleucos.3",4.01588445855996,FALSE,170.503143166413,4,4,2.14207543973956
"5","Accipiter erythrauchen","Aegotheles crinifrons",1.78506969742742,FALSE,166.090246359629,4,4,3.05951499771463
"6","Accipiter erythrauchen","Aerodramus vanikorensis",7.10582785011773,FALSE,166.090246359736,4,4,3.01641398104371
"7","Accipiter erythrauchen","Alcedo atthis",5.21110658568559,FALSE,163.580880319861,4,4,6.04063081529301
"8","Accipiter erythrauchen","Alisterus amboinensis",2.36828569882973,FALSE,166.971006000725,4,4,5.51000371306752
"9","Accipiter erythrauchen","Amaurornis olivacea",2.39310750195221,FALSE,170.503143165801,4,4,2.8595558833014
"10","Accipiter erythrauchen","Anarhynchus leschenaultii.1",3.43998977912936,FALSE,170.503143166068,4,4,1.5170161564409
"11","Accipiter erythrauchen","Aplonis metallica",2.63778304693575,FALSE,166.971006001543,4,4,3.84854719677189
"12","Accipiter erythrauchen","Aplonis mysolensis",2.57722698975911,FALSE,166.971006001501,4,4,3.2431456123467
"13","Accipiter erythrauchen","Ardea alba.2",4.66457578153045,FALSE,170.503143166077,4,4,3.43489335651414
"14","Accipiter erythrauchen","Ardea sumatrana.1",5.7655723310596,FALSE,170.503143166084,4,4,3.37027917985955
"15","Accipiter erythrauchen","Artamus leucorynchus.1",3.12402826048467,FALSE,166.971006001322,4,4,2.86935453005786
"16","Accipiter erythrauchen","Aviceda subcristata.1",2.20183890810861,TRUE,127.83119515792,2,2,1.9298672870058
"17","Accipiter erythrauchen","Cacatua alba",3.61837386699373,FALSE,166.971006001096,4,4,4.04068484110905
"18","Accipiter erythrauchen","Cacomantis variolosus.1",3.0588047176308,FALSE,169.841548111844,4,4,3.15855253701631
"19","Accipiter erythrauchen","Calidris ruficollis.1",4.92631835521007,FALSE,170.503143166251,4,4,0.977689218866702
"20","Accipiter erythrauchen","Caloenas nicobarica",1.87269725585441,FALSE,175.194636623712,4,4,3.97809128728725
"21","Accipiter erythrauchen","Calonectris leucomelas",3.47742762115363,FALSE,170.503143166357,4,4,3.32348278449114
"22","Accipiter erythrauchen","Caprimulgus macrurus.1",3.47727963471708,FALSE,163.580880319301,4,4,2.27596863945448
"23","Accipiter erythrauchen","Carterornis pileatus",4.48185515310985,FALSE,166.971006001408,4,4,3.18876825124028
"24","Accipiter erythrauchen","Centropus bengalensis",1.57945261780268,FALSE,169.841548111481,4,4,3.91369513518027
"25","Accipiter erythrauchen","Centropus goliath",3.64786161244985,FALSE,169.841548111213,4,4,3.37661807457053
"26","Accipiter erythrauchen","Ceyx lepidus",5.76990590597313,FALSE,163.522971168733,4,4,4.6555058425065
"27","Accipiter erythrauchen","Chalcophaps indica",2.82059572187114,FALSE,175.194636623683,4,4,4.04423095698473
"28","Accipiter erythrauchen","Cinnyris clementiae",6.05026903972863,FALSE,166.971006001397,4,4,1.95610822284838
"29","Accipiter erythrauchen","Collocalia esculenta",7.46057218346391,FALSE,166.090246359886,4,4,3.57824577150184
"30","Accipiter erythrauchen","Columba livia.1",2.49674672677745,FALSE,175.19463662379,4,4,2.86397428650082
"31","Accipiter erythrauchen","Columba vitiensis",1.72601590337665,FALSE,175.194636623772,4,4,3.65842161150815
"32","Accipiter erythrauchen","Coracina atriceps",1.85261051550159,FALSE,166.971006001445,4,4,2.89820851385012
"33","Accipiter erythrauchen","Coracina papuensis.1",2.00681189746879,FALSE,166.971006001386,4,4,2.82439231793172
"34","Accipiter erythrauchen","Corvus orru.1",3.11382417593536,FALSE,166.971006001146,4,4,4.26359968351018
"35","Accipiter erythrauchen","Corvus validus",3.57340479029944,FALSE,166.971006001671,4,4,3.45851411827453
"36","Accipiter erythrauchen","Dicaeum erythrothorax",6.27739319176925,FALSE,166.971006001579,4,4,1.3363875106812
"37","Accipiter erythrauchen","Dicrurus hottentottus",2.20849462901836,FALSE,166.971006001409,4,4,3.67993173880823
"38","Accipiter erythrauchen","Ducula basilica",1.64384448290603,FALSE,175.194636623579,4,4,2.95042436851507
"39","Accipiter erythrauchen","Ducula bicolor",1.81484065080342,FALSE,175.194636623455,4,4,2.93717207890322
"40","Accipiter erythrauchen","Ducula concinna",1.91715565836513,FALSE,175.194636623518,4,4,3.46794247083552
"41","Accipiter erythrauchen","Ducula perspicillata",1.80911646221358,FALSE,175.194636623554,4,4,3.17007075130759
"42","Accipiter erythrauchen","Eclectus roratus",3.11333408943249,FALSE,166.971006000705,4,4,4.95219950955536
"43","Accipiter erythrauchen","Eclectus roratus.1",3.11333408943249,FALSE,166.971006000705,4,4,4.95219950955536
