"","Anindilyakwa","Anindilyakwa_filtered","Innu","Rangi","Rangi_filtered","Saami","Saami_filtered","Tlingit","Tobelo","Tobelo_filtered","Tzeltal","Tzeltal_filtered","Zapotec"
"DistPer_mean","4.25","4.22","4.28","4.16","4.21","4.27","4.27","4.27","4.25","4.26","4.17","4.17","4.16"
"DistPer_sd","1.98","1.94","1.92","2.17","2.17","1.93","1.92","1.95","1.98","1.98","2.15","2.16","2.17"
"DistPer_min","0","0.27","0.2","0","0.26","0","0.52","0.23","0","0.25","0","0.18","0.28"
"DistPer_max","13","13","11.92","12.81","12.81","11.3","11.3","12.97","14.36","14.36","13.06","13.06","12.52"
"DistPhy_mean","161.28","160.83","164.82","153.95","152.47","167.14","167.58","167.39","161.82","162.6","146.76","146.82","151.68"
"DistPhy_sd","31.05","30.85","51.06","44.74","44.03","47.55","47.18","43.47","30.07","29.08","45.55","45.72","46.47"
"DistPhy_min","0","11.78","1.76","0","13.69","0","2.9","4.28","0","26.06","0","10.02","5.8"
"DistPhy_max","222.05","222.05","206.55","224.92","224.92","205.72","205.72","207.69","206.15","206.15","221.64","221.64","208.72"
"Dist74_mean","3.82","3.81","3.74","3.68","3.68","3.75","3.76","3.8","3.83","3.84","3.65","3.65","3.65"
"Dist74_sd","0.5","0.5","0.61","0.62","0.61","0.62","0.61","0.53","0.5","0.47","0.57","0.57","0.58"
"Dist74_min","0","1","1","0","1","0","1","0","0","0","0","1","0"
"Dist74_max","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Dist23_mean","3.82","3.82","3.74","3.71","3.7","3.76","3.77","3.8","3.83","3.84","3.66","3.65","3.65"
"Dist23_sd","0.48","0.49","0.6","0.57","0.56","0.62","0.61","0.53","0.49","0.46","0.56","0.56","0.57"
"Dist23_min","0","1","1","0","1","0","1","1","0","1","0","1","1"
"Dist23_max","4","4","4","4","4","4","4","4","4","4","4","4","4"
"DistCol_mean","2.9","2.91","2.82","2.93","2.94","2.89","2.89","2.73","3.1","3.08","2.98","2.96","2.9"
"DistCol_sd","1.9","1.91","2.02","1.85","1.85","1.91","1.91","2.14","1.55","1.56","1.77","1.77","1.89"
"DistCol_min","0","0.07","0.05","0","0.03","0","0.08","0.08","0","0.1","0","0.06","0.03"
"DistCol_max","10.97","10.97","11.82","10.87","10.87","10.8","10.8","15.05","8.57","8.57","9.9","9.9","11.47"
"IsoPer_mean","0.88","0.85","0.97","0.78","0.76","1.09","1.09","0.87","1.07","1.11","0.84","0.83","0.78"
"IsoPer_sd","0.58","0.36","0.46","0.61","0.34","0.44","0.44","0.38","0.51","0.52","0.40","0.40","0.36"
"IsoPer_min","0.27","0.27","0.20","0.23","0.23","0.52","0.52","0.23","0.25","0.25","0.18","0.18","0.28"
"IsoPer_max","7.08","2.14","2.35","6.49","1.78","3.01","3.01","2.16","3.19","3.19","2.47","2.47","2.10"
"IsoPhy_mean","48.26","47.29","38.12","47.50","47.23","41.59","42.61","37.80","58.62","60.20","38.28","38.42","35.90"
"IsoPhy_sd","31.10","28.63","33.60","28.78","24.66","36.22","36.12","28.01","27.60","27.53","29.38","29.50","24.56"
"IsoPhy_min","11.78","11.78"," 1.76","13.69","13.69"," 1.99"," 1.99"," 4.28","22.94","22.94","10.02","10.02"," 5.80"
"IsoPhy_max","222.05","151.07","158.38","224.92","170.42","168.77","168.77","148.03","159.86","159.86","221.64","221.64","170.17"
"Iso23_mean","1.63","1.62","1.65","1.79","1.75","1.73","1.74","1.64","1.91","1.93","1.64","1.63","1.72"
"Iso23_sd","0.77","0.76","0.82","0.83","0.77","0.81","0.81","0.72","0.81","0.82","0.65","0.65","0.65"
"Iso23_min","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Iso23_max","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Iso74_mean","1.58","1.58","1.61","1.69","1.65","1.68","1.69","1.60","1.82","1.84","1.69","1.70","1.70"
"Iso74_sd","0.74","0.72","0.78","0.82","0.78","0.82","0.83","0.77","0.82","0.83","0.65","0.65","0.70"
"Iso74_min","1","1","1","1","1","1","1","0","0","0","1","1","0"
"Iso74_max","4","4","4","4","4","4","4","4","4","4","4","4","4"
"IsoCol_mean","0.46","0.46","0.62","0.62","0.63","0.79","0.79","0.52","0.60","0.62","0.52","0.51","0.58"
"IsoCol_sd","0.49","0.49","0.83","0.70","0.72","1.05","1.07","0.97","0.41","0.43","0.42","0.40","0.47"
"IsoCol_min","0.07","0.07","0.05","0.03","0.03","0.08","0.08","0.08","0.10","0.10","0.06","0.06","0.03"
"IsoCol_max","3.16","3.16","4.10","5.15","5.15","5.83","5.83","8.54","2.16","2.16","3.49","3.49","2.66"
"n","190","187"," 97","127","108"," 80"," 78","130","122","109","188","186","152"
