ScientificName2021,CommonName2021,Family2021,ScientificName2023,CommonName2023,Family2023
Diomedea exulans,Wandering Albatross,Diomedeidae,,,
,,,Diomedea exulans,Snowy Albatross,Diomedeidae
,,,Diomedea dabbenena,Tristan Albatross,Diomedeidae
,,,Diomedea antipodensis,Antipodean Albatross,Diomedeidae
,,,Diomedea amsterdamensis,Amsterdam Albatross,Diomedeidae
Diomedea epomophora,Royal Albatross,Diomedeidae,,,
,,,Diomedea epomophora,Southern Royal Albatross,Diomedeidae
,,,Diomedea sanfordi,Northern Royal Albatross,Diomedeidae
Thalassarche chlororhynchos,Yellow-nosed Albatross,Diomedeidae,,,
,,,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,Diomedeidae
,,,Thalassarche carteri,Indian Yellow-nosed Albatross,Diomedeidae
Pterodroma hasitata,Black-capped Petrel,Procellariidae,,,
,,,Pterodroma hasitata,Black-capped Petrel,Procellariidae
,,,Pterodroma caribbaea,Jamaican Petrel,Procellariidae
Pachyptila salvini,Salvin's Prion,Procellariidae,,,
,,,Pachyptila salvini,Salvin's Prion,Procellariidae
,,,Pachyptila macgillivrayi,MacGillivray's Prion,Procellariidae
,,,Fregetta lineata,New Caledonian Storm-Petrel,Oceanitidae
Hydrobates macrodactyla,Guadalupe Storm-Petrel,Hydrobatidae,Hydrobates macrodactylus,Guadalupe Storm-Petrel,Hydrobatidae
Ardea intermedia,Intermediate Egret,Ardeidae,,,
,,,Ardea intermedia,Medium Egret,Ardeidae
,,,Ardea brachyrhyncha,Yellow-billed Egret,Ardeidae
,,,Ardea plumifera,Plumed Egret,Ardeidae
Bubulcus ibis,Cattle Egret,Ardeidae,,,
,,,Bubulcus ibis,Western Cattle Egret,Ardeidae
,,,Bubulcus coromandus,Eastern Cattle Egret,Ardeidae
Agamia agami,Agami Heron,Ardeidae,Agamia agami,Agami Heron,Ardeidae
Nyctanassa violacea,Yellow-crowned Night-Heron,Ardeidae,Nyctanassa violacea,Yellow-crowned Night Heron,Ardeidae
Nycticorax nycticorax,Black-crowned Night-Heron,Ardeidae,Nycticorax nycticorax,Black-crowned Night Heron,Ardeidae
Nycticorax caledonicus,Nankeen Night-Heron,Ardeidae,Nycticorax caledonicus,Nankeen Night Heron,Ardeidae
Nycticorax mauritianus,Mauritius Night-Heron,Ardeidae,Nycticorax mauritianus,Mauritius Night Heron,Ardeidae
Nycticorax megacephalus,Rodrigues Night-Heron,Ardeidae,Nycticorax megacephalus,Rodrigues Night Heron,Ardeidae
Nycticorax duboisi,Reunion Night-Heron,Ardeidae,Nycticorax duboisi,Reunion Night Heron,Ardeidae
Gorsachius leuconotus,White-backed Night-Heron,Ardeidae,Calherodius leuconotus,White-backed Night Heron,Ardeidae
Gorsachius magnificus,White-eared Night-Heron,Ardeidae,Oroanassa magnifica,White-eared Night Heron,Ardeidae
Gorsachius goisagi,Japanese Night-Heron,Ardeidae,Gorsachius goisagi,Japanese Night Heron,Ardeidae
Gorsachius melanolophus,Malayan Night-Heron,Ardeidae,Gorsachius melanolophus,Malayan Night Heron,Ardeidae
Tigriornis leucolopha,White-crested Bittern,Ardeidae,Tigriornis leucolopha,White-crested Tiger-Heron,Ardeidae
Ciconia episcopus,Woolly-necked Stork,Ciconiidae,,,
,,,Ciconia episcopus,Asian Woolly-necked Stork,Ciconiidae
,,,Ciconia microscelis,African Woolly-necked Stork,Ciconiidae
Spatula rhynchotis,Australian Shoveler,Anatidae,Spatula rhynchotis,Australasian Shoveler,Anatidae
Marmaronetta angustirostris,Marbled Teal,Anatidae,Marmaronetta angustirostris,Marbled Duck,Anatidae
Chondrohierax uncinatus,Hook-billed Kite,Accipitridae,,,
,,,Chondrohierax uncinatus,Hook-billed Kite,Accipitridae
,,,Chondrohierax wilsonii,Cuban Kite,Accipitridae
Elanus caeruleus,Black-winged Kite,Accipitridae,Elanus caeruleus,Black-winged Kite,Accipitridae
Haliaeetus leucogaster,White-bellied Sea-Eagle,Accipitridae,Icthyophaga leucogaster,White-bellied Sea-Eagle,Accipitridae
Haliaeetus sanfordi,Sanford's Sea-Eagle,Accipitridae,Icthyophaga sanfordi,Sanford's Sea-Eagle,Accipitridae
Haliaeetus vocifer,African Fish-Eagle,Accipitridae,Icthyophaga vocifer,African Fish-Eagle,Accipitridae
Haliaeetus vociferoides,Madagascar Fish-Eagle,Accipitridae,Icthyophaga vociferoides,Madagascar Fish-Eagle,Accipitridae
