"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974","Genus2023","Genus1974"
"1","Sula leucogaster","Brown Booby","dumabiyandangwa","Sulidae","Suliformes",100.9,86.9,20.5,30.1,35.7,388.6,232,159,59.3,204.4,1288.8,"Sula leucogaster","Sula leucogaster","Brown Booby","Sulidae","Anindilyakwa",1,"Pelecaniformes","Sula","Sula"
"2","Fregata ariel","Lesser Frigatebird","yinibirra","Fregatidae","Suliformes",91.4,76.8,19.9,17.2,14.9,513,333,183.5,64.6,277,804.3,"Fregata ariel","Fregata ariel","Lesser Frigatebird","Fregatidae","Anindilyakwa",2,"Pelecaniformes","Fregata","Fregata"
"3","Pandion haliaetus","Osprey","duwankirrariya","Pandionidae","Accipitriformes",47,27.7,17.3,19.6,49.8,468.4,204.8,253,44.9,201.3,1483.2,"Pandion haliaetus","Pandion haliaetus","Osprey","Pandionidae","Anindilyakwa",3,"Falconiformes","Pandion","Pandion"
"4","Haliastur indus","Brahminy Kite","dambukwurnumurra","Accipitridae","Accipitriformes",48.8,24.4,12.9,17,48.2,399.8,147,257.2,36.4,203.8,529,"Haliastur indus","Haliastur indus","Brahminy Kite","Accipitridae","Anindilyakwa",4,"Falconiformes","Haliastur","Haliastur"
"5","Icthyophaga leucogaster","White-bellied Sea-Eagle","yinungwakarda/yiningakarda/yinungwakingaka","Accipitridae","Accipitriformes",71.3,39.2,18.5,24.9,86,556.7,231.8,330.2,41.3,253.3,2827,"Haliaeetus leucogaster","Haliaeetus leucogaster","White-bellied Sea Eagle","Accipitridae","Anindilyakwa",5,"Falconiformes","Icthyophaga","Haliaeetus"
"6","Hydroprogne caspia","Caspian Tern","yilyambarra","Laridae","Charadriiformes",78.7,49.1,10.4,19.2,42.6,410.7,268.2,143.1,65.1,148.7,655,"Sterna caspia","Hydroprogne caspia","Caspian Tern","Laridae","Anindilyakwa",6,"Charadriiformes","Hydroprogne","Hydroprogne"
"7","Thalasseus bergii","Great Crested Tern","yilyambarra","Laridae","Charadriiformes",68.6,44.5,7.1,12.7,30,357.8,249,107.5,69.9,172.4,328,"Sterna bergii","Sterna bergii","Great Crested Tern","Laridae","Anindilyakwa",7,"Charadriiformes","Thalasseus","Sterna"
"8","Sterna hirundo","Common Tern","yijarra","Laridae","Charadriiformes",44.5,24.2,3.8,7,19.5,253.3,170.6,82.6,67.3,129.8,129.2,"Sterna hirundo","Sterna hirundo","Common Tern","Laridae","Anindilyakwa",8,"Charadriiformes","Sterna","Sterna"
"9","Thalasseus bengalensis","Lesser Crested Tern","yijarra","Laridae","Charadriiformes",58.5,39.4,5.8,9.8,24.5,293.2,206,90.2,69.4,134.4,209,"Sterna bengalensis","Sterna bengalensis","Lesser Crested Tern","Laridae","Anindilyakwa",9,"Charadriiformes","Thalasseus","Sterna"
"10","Sterna dougallii","Roseate Tern","yijarra","Laridae","Charadriiformes",45.3,28.9,3.6,7,19.7,223.8,156,69.8,69.1,165.8,112,"Sterna dougallii","Sterna dougallii","Roseate Tern","Laridae","Anindilyakwa",10,"Charadriiformes","Sterna","Sterna"
"11","Sterna sumatrana","Black-naped Tern","yijarra","Laridae","Charadriiformes",39.1,25,3.5,6,18.5,215.5,142,73.5,65.9,120.5,106,"Sterna sumatrana","Sterna sumatrana","Black-naped Tern","Laridae","Anindilyakwa",11,"Charadriiformes","Sterna","Sterna"
"12","Onychoprion anaethetus","Bridled Tern","dungkwurra","Laridae","Charadriiformes",45.5,28.4,5.4,7.9,20.6,273.6,182,89,67.2,182.8,119.4,"Sterna anaethetus","Sterna anaethetus","Bridled Tern","Laridae","Anindilyakwa",12,"Charadriiformes","Onychoprion","Sterna"
"13","Anous stolidus","Brown Noddy","dungkwurra","Laridae","Charadriiformes",45.6,25.2,4.7,7.6,25.8,265.4,160.8,94.5,63,145.2,177.8,"Anous stolidus","Anous stolidus","Common Noddy","Laridae","Anindilyakwa",13,"Charadriiformes","Anous","Anous"
"14","Chlidonias leucopterus","White-winged  Tern","dungkwurra","Laridae","Charadriiformes",30,16.7,3.8,5.7,18.7,208.2,126.9,79.9,61.4,75.4,54.2,"Chlidonias leucopterus","Chlidonias leucoptera","White-winged Black Tern","Laridae","Anindilyakwa",14,"Charadriiformes","Chlidonias","Chlidonias"
"15","Chroicocephalus novaehollandiae","Silver Gull","yirumba/yiningawerruwa","Laridae","Charadriiformes",39.6,17.5,5.3,10.2,44.3,277.3,146.5,129.8,53,107.6,269,"Larus novaehollandiae","Larus novaehollandiae","Silver Gull","Laridae","Anindilyakwa",15,"Charadriiformes","Chroicocephalus","Larus"
"16","Pelecanus conspicillatus","Australian Pelican","dumakbula","Pelecanidae","Pelecaniformes",414.2,389.8,46.9,48.2,114.5,601.5,282,319.6,47,151.2,5505,"Pelecanus conspicillatus","Pelecanus conspicillatus","Australian Pelican","Pelecanidae","Anindilyakwa",16,"Pelecaniformes","Pelecanus","Pelecanus"
"17","Anhinga novaehollandiae","Australasian Darter","alikira","Anhingidae","Suliformes",87.1,75,9.4,12.6,51.3,353,153.3,199.7,43.5,219,1480.1,"Anhinga novaehollandiae","Anhinga novaehollandiae","Australian Darter","Anhingidae","Anindilyakwa",17,"Pelecaniformes","Anhinga","Anhinga"
"18","Microcarbo melanoleucos","Little Pied Cormorant","mawulburda","Phalacrocoracidae","Suliformes",37.4,27.5,7.6,11.4,37.6,218.8,80.5,138.2,36.8,153,727.4,"Phalacrocorax melanoleucos","Phalacrocorax melanoleucos","Little Pied Cormorant","Phalacrocoracidae","Anindilyakwa",18,"Pelecaniformes","Microcarbo","Phalacrocorax"
"19","Phalacrocorax sulcirostris","Little Black Cormorant","mawulburda","Phalacrocoracidae","Suliformes",51.9,39.4,8.6,11.5,45.3,248.8,95,153.8,38.1,128.8,995,"Phalacrocorax sulcirostris","Phalacrocorax sulcirostris","Little Black Cormorant","Phalacrocoracidae","Anindilyakwa",19,"Pelecaniformes","Phalacrocorax","Phalacrocorax"
"20","Phalacrocorax varius","Pied Cormorant","mawulburda","Phalacrocoracidae","Suliformes",75.1,56.5,12.7,17.5,63.8,295.4,110.8,181.8,37.8,136.2,1940.7,"Phalacrocorax varius","Phalacrocorax varius","Pied Cormorant","Phalacrocoracidae","Anindilyakwa",20,"Pelecaniformes","Phalacrocorax","Phalacrocorax"
"21","Esacus magnirostris","Beach Thick-knee","dengbajamurra","Burhinidae","Charadriiformes",76.4,46.2,13.1,19.5,89.2,271,114,156.3,42.2,116,1015.9,"Esacus giganteus","Esacus magnirostris","Beach Thick-knee","Burhinidae","Anindilyakwa",21,"Charadriiformes","Esacus","Esacus"
"22","Numenius madagascariensis","Far Eastern Curlew","wurrawurajirra/wurranyungwunyamurra","Scolopacidae","Charadriiformes",184.2,149.2,9.5,10.5,93.2,305.2,166.2,137.2,54.7,114.2,792,"Numenius madagascariensis","Numenius madagascariensis","Eastern Curlew","Scolopacidae","Anindilyakwa",22,"Charadriiformes","Numenius","Numenius"
"23","Numenius phaeopus","Whimbrel","wurrawurajirra/wurranyungwunyamurra","Scolopacidae","Charadriiformes",92.1,67.1,6.6,7.7,59.9,233,123.4,107,53.5,99.8,364.6,"Numenius phaeopus","Numenius phaeopus","Whimbrel","Scolopacidae","Anindilyakwa",23,"Charadriiformes","Numenius","Numenius"
"24","Numenius minutus","Little Curlew","wurrawurajirra/wurranyungwunyamurra","Scolopacidae","Charadriiformes",46.4,33.2,4.2,4.7,47.6,175,99.5,77.8,56.1,75.6,173,"Numenius minutus","Numenius minutus","Little Curlew","Scolopacidae","Anindilyakwa",24,"Charadriiformes","Numenius","Numenius"
"25","Plegadis falcinellus","Glossy Ibis","warnungwangwurakba","Threskiornithidae","Pelecaniformes",117.2,102.8,10.4,13.9,86.4,274.8,104.7,165.3,38.9,102.7,626.6,"Plegadis falcinellus","Plegadis falcinellus","Glossy Ibis","Threskiornithidae","Anindilyakwa",25,"Ciconiiformes","Plegadis","Plegadis"
"26","Anarhynchus leschenaultii","Greater Sand-Plover","wurriliyuwa","Charadriidae","Charadriiformes",26.5,16.4,4.2,5.4,36.5,136.4,72,63.5,53.1,49.8,74.8,"Charadrius leschenaultii","Charadrius leschenaultii","Greater Sandplover","Charadriidae","Anindilyakwa",26,"Charadriiformes","Anarhynchus","Charadrius"
"27","Anarhynchus veredus","Oriental Plover","wurriliyuwa","Charadriidae","Charadriiformes",23.9,16.1,3.7,4.3,44,158.6,92.5,64.5,58.9,57.2,95,"Charadrius veredus","Charadrius veredus","Oriental Plover","Charadriidae","Anindilyakwa",27,"Charadriiformes","Anarhynchus","Charadrius"
"28","Arenaria interpres","Ruddy Turnstone","wurriliyuwa","Scolopacidae","Charadriiformes",25.4,15.7,3.9,5.5,25.5,148.8,83.4,66.4,55.6,61,136,"Arenaria interpres","Arenaria interpres","Ruddy Turnstone","Charadriidae","Anindilyakwa",28,"Charadriiformes","Arenaria","Arenaria"
"29","Tringa brevipes","Grey-tailed Tattler","wurriliyuwa","Scolopacidae","Charadriiformes",41.8,29.8,3.5,5,32.9,157.8,85.5,70.5,54.8,68.2,127,"Heteroscelus brevipes","Heteroscelus brevipes","Polynesian Tattler","Scolopacidae","Anindilyakwa",29,"Charadriiformes","Tringa","Heteroscelus"
"30","Actitis hypoleucos","Common Sandpiper","wurriliyuwa","Scolopacidae","Charadriiformes",30.1,19.9,3.1,4,22.4,109.9,51.1,55.4,48,57.4,48,"Actitis hypoleucos","Actitis hypoleucos","Common Sandpiper","Scolopacidae","Anindilyakwa",30,"Charadriiformes","Actitis","Actitis"
"31","Tringa nebularia","Common Greenshank","wurriliyuwa","Scolopacidae","Charadriiformes",63.6,42.9,4.1,6,58,185.4,96.9,88.8,52.1,74.8,187,"Tringa nebularia","Tringa nebularia","Greenshank","Scolopacidae","Anindilyakwa",31,"Charadriiformes","Tringa","Tringa"
"32","Tringa stagnatilis","Marsh Sandpiper","wurriliyuwa","Scolopacidae","Charadriiformes",42.5,32.1,3,3.6,49.9,133.4,68.9,64.1,51.7,56.2,77.5,"Tringa stagnatilis","Tringa stagnatilis","Marsh Sandpiper","Scolopacidae","Anindilyakwa",32,"Charadriiformes","Tringa","Tringa"
"33","Xenus cinereus","Terek Sandpiper","wurriliyuwa","Scolopacidae","Charadriiformes",46.8,39,4,4.5,28.2,127.4,70,58,54.6,55,78.8,"Xenus cinereus","Tringa cinerea","Terek Sandpiper","Scolopacidae","Anindilyakwa",33,"Charadriiformes","Xenus","Tringa"
"34","Gallinago hardwickii","Latham's Snipe","wurriliyuwa","Scolopacidae","Charadriiformes",73.1,63.3,5,7.7,34.9,151,72.5,77.2,48.4,60.8,151.3,"Gallinago hardwickii","Capella hardwickii","Japanese Snipe","Scolopacidae","Anindilyakwa",34,"Charadriiformes","Gallinago","Capella"
"35","Limosa lapponica","Bar-tailed Godwit","wurriliyuwa","Scolopacidae","Charadriiformes",92.5,75.1,5.4,8.1,53.2,210.1,117.8,90.3,56.6,74,291.7,"Limosa lapponica","Limosa lapponica","Bar-tailed Godwit","Scolopacidae","Anindilyakwa",35,"Charadriiformes","Limosa","Limosa"
"36","Calidris acuminata","Sharp-tailed Sandpiper","wurriliyuwa","Scolopacidae","Charadriiformes",27.4,20.5,2.8,3.9,28.7,128.8,70.4,58.6,54.5,53.4,66.1,"Calidris acuminata","Calidris acuminata","Sharp-tailed Sandpiper","Scolopacidae","Anindilyakwa",36,"Charadriiformes","Calidris","Calidris"
"37","Calidris alba","Sanderling","wurriliyuwa","Scolopacidae","Charadriiformes",30,21.2,3.4,4.2,23.1,119.6,62.7,57,52.3,50.2,51.7,"Calidris alba","Calidris alba","Sanderling","Scolopacidae","Anindilyakwa",37,"Charadriiformes","Calidris","Calidris"
"38","Calidris canutus","Red Knot","wurriliyuwa","Scolopacidae","Charadriiformes",37.5,26.6,4.1,5.7,29.9,164.4,95.2,69.1,57.9,60.4,141.9,"Calidris canutus","Calidris canutus","Red Knot","Scolopacidae","Anindilyakwa",38,"Charadriiformes","Calidris","Calidris"
"39","Calidris ferruginea","Curlew Sandpiper","wurriliyuwa","Scolopacidae","Charadriiformes",38.5,31.6,3.2,4.3,29.1,129,70.5,58,54.9,48.6,58.1,"Calidris ferruginea","Calidris testacea","Curlew Sandpiper","Scolopacidae","Anindilyakwa",39,"Charadriiformes","Calidris","Calidris"
"40","Calidris ruficollis","Red-necked Stint","wurriliyuwa","Scolopacidae","Charadriiformes",19,13.7,2.4,3.3,18.8,99.5,54.2,45.2,54.5,43.5,26.8,"Calidris ruficollis","Calidris ruficollis","Rufous-necked Sandpiper","Scolopacidae","Anindilyakwa",40,"Charadriiformes","Calidris","Calidris"
"41","Stiltia isabella","Australian Pratincole","wurriliyuwa","Glareolidae","Charadriiformes",19.5,9.7,4.8,5.3,47.8,206,128.6,78.2,62.2,55,65.5,"Stiltia isabella","Stiltia isabella","Australian Pratincole","Glareolidae","Anindilyakwa",41,"Charadriiformes","Stiltia","Stiltia"
"42","Ephippiorhynchus asiaticus","Black-necked Stork","dumekalya","Ciconiidae","Ciconiiformes",296.8,248.2,31.2,47.8,324.2,575,231.2,343.8,40.2,298.8,4100,"Ephippiorhynchus asiaticus","Xenorhynchus asiaticus","Black-necked Stork","Ciconiidae","Anindilyakwa",42,"Ciconiiformes","Ephippiorhynchus","Xenorhynchus"
"43","Antigone rubicunda","Brolga","dukwururrkwa/derrengbirra/dilyirrmarra","Gruidae","Gruiformes",162.2,87.7,13.8,22.8,280.2,572.5,233,339.5,40.7,223.8,6222.8,"Grus rubicunda","Grus rubicunda","Australian Crane","Gruidae","Anindilyakwa",43,"Gruiformes","Antigone","Grus"
"44","Antigone antigone","Sarus Crane","dukwururrkwa/derrengbirra/dilyirrmarra","Gruidae","Gruiformes",176.2,88.2,12.9,22,301,597.5,224.5,373,37.6,238.2,5916.2,"Grus antigone","Grus antigone","Sarus Crane","Gruidae","Anindilyakwa",44,"Gruiformes","Antigone","Grus"
"45","Gallirallus castaneoventris","Chestnut Rail","karridalbuwa","Rallidae","Gruiformes",58.8,32.7,6.1,12.2,67.5,215,54.5,163.7,25,113,684.5,"Eulabeornis castaneoventris","Eulabeornis castaneoventris","Chestnut Rail","Rallidae","Anindilyakwa",45,"Gruiformes","Gallirallus","Eulabeornis"
"46","Himantopus leucocephalus","Pied Stilt","dumamiyabuwa","Recurvirostridae","Charadriiformes",64.6,48.9,4.7,4.9,116,222,118.5,104.8,53,70.2,176.8,"Himantopus leucocephalus","Himantopus leucocephalus","Pied Stilt","Recurvirostridae","Anindilyakwa",46,"Charadriiformes","Himantopus","Himantopus"
"47","Radjah radjah","Radjah Shelduck","mamura/wurrilarrkwarba","Anatidae","Anseriformes",46.3,32,20,14.8,50.1,270,100.2,160.6,38.5,98,885.2,"Tadorna radjah","Tadorna radjah","White-headed Shelduck","Anatidae","Anindilyakwa",47,"Anseriformes","Radjah","Tadorna"
"48","Dendrocygna arcuata","Wandering Whistling Duck","wurrawuminya","Anatidae","Anseriformes",42,29.2,15.4,14.1,45.4,186,58.2,130.1,30.9,49.8,796.2,"Dendrocygna arcuata","Dendrocygna arcuata","Whistling Tree-Duck","Anatidae","Anindilyakwa",48,"Anseriformes","Dendrocygna","Dendrocygna"
"49","Dendrocygna eytoni","Plumed Whistling Duck","wurrawuminya","Anatidae","Anseriformes",41.9,30.3,16.4,15.2,55.1,232,87,145,37.5,67.8,790,"Dendrocygna eytoni","Dendrocygna eytoni","Plumed Tree-Duck","Anatidae","Anindilyakwa",49,"Anseriformes","Dendrocygna","Dendrocygna"
