Group,Order,Family
PENGUINS (18),Sphenisciformes,Spheniscidae
OSTRICH (1),Struthioniformes,Struthionidae
RHEAS (2),Rheiformes,Rheidae
CASSOWARIES (3),Casuariiformes,Casuariidae
EMU (1),Casuariiformes,Dromaiidae
KIWIS (3),Apterygiformes,Apterygidae
TINAMOUS (45),Tinamiformes,Tinamidae
LOONS (4),Gaviiformes,Gaviidae
GREBES (19),Podicipediformes ,Podicipedidae
ALBATROSS (13),Procellariiformes ,Diomedeidae
SHEARWATERS (61),Procellariiformes ,Procellariidae
STORM-PETRELS (20),Procellariiformes ,Hydrobatidae
DIVING-PETRELS (5),Procellariiformes ,Pelecanoididae
TROPICBIRDS (3),Pelecaniformes,Phaethontidae
PELICANS (8),Pelecaniformes,Pelecanidae
BOOBIES (9),Pelecaniformes,Sulidae
CORMORANTS (29),Pelecaniformes,Phalacrocoracidae
ANHINGAS (4),Pelecaniformes,Anhingidae
FRIGATEBIRDS (5),Pelecaniformes,Fregatidae
HERONS (67),Ciconiiformes,Ardeidae
BOAT-BILLED HERON (1),Ciconiiformes,Cochleariidae
WHALE-HEADED STORK (1),Ciconiiformes,Balaenicipitidae
HAMMERHEAD (1),Ciconiiformes,Scopidae
STORKS (18),Ciconiiformes,Ciconiidae
IBIS (30),Ciconiiformes,Threskiornithidae
FLAMINGOS (5),Ciconiiformes,Phoenicopteridae
SCREAMERS (3),Anseriformes,Anhimidae
DUCKS AND GEESE (157),Anseriformes,Anatidae
AMERICAN VULTURES (7),Falconiformes,Cathartidae
SECRETARY BIRD (1),Falconiformes,Sagittariidae
HAWKS (226),Falconiformes,Accipitridae
OSPREY (1),Falconiformes,Pandionidae
FALCONS (63),Falconiformes,Falconidae
MEGAPODES (16),Galliformes,Megapodiidae
CURASSOWS (44),Galliformes,Cracidae
GROUSE (18),Galliformes,Tetraonidae
PHEASANTS (181),Galliformes,Phasianidae
GUINEAFOWL (8),Galliformes,Numididae
TURKEYS (2),Galliformes,Meleagrididae
HOATZIN (1),Galliformes,Opisthocomidae
MESITES (3),Gruiformes,Mesoenatidae
HEMIPODES (16),Gruiformes,Turnicidae
COLLARED-HEMIPODE (1),Gruiformes,Pedionomidae
CRANES (15),Gruiformes,Gruidae
LIMPKIN (1),Gruiformes,Aramidae
TRUMPETERS (3),Gruiformes,Psophiidae
RAILS (130),Gruiformes,Rallidae
FINFEET (3),Gruiformes,Heliornithidae
KAGU (1),Gruiformes,Rhynchochetidae
SUNBITTERN (1),Gruiformes,Eurypygidae
SERIEMAS (2),Gruiformes,Cariamidae
BUSTARDS (25),Gruiformes,Otididae
JACANAS (8),Charadriiformes,Jacanidae
PAINTED-SNIPE (2),Charadriiformes,Rostratulidae
OYSTERCATCHERS (7),Charadriiformes,Haematopodidae
PLOVERS (70),Charadriiformes,Charadriidae
SANDPIPERS (76),Charadriiformes,Scolopacidae
AVOCETS AND STILTS (9),Charadriiformes,Recurvirostridae
PHALAROPES (3),Charadriiformes,Phalaropodidae
CRAB PLOVER (1),Charadriiformes,Dromadidae
THICK-KNEES (8),Charadriiformes,Burhinidae
PRATINCOLES (17),Charadriiformes,Glareolidae
SEEDSNIPE (4),Charadriiformes,Thinocoridae
SHEATHBILLS (2),Charadriiformes,Chionididae
SKUAS (4),Charadriiformes,Stercorariidae
GULLS (88),Charadriiformes,Laridae
SKIMMERS (3),Charadriiformes,Rynchopidae
AUKS (22),Charadriiformes,Alcidae
SANDGROUSE (16),Columbiformes,Pteroclidae
PIGEONS AND DOVES (297),Columbiformes,Columbidae
PARROTS (327),Psittaciformes,Psittacidae
TURACOS (23),Musophagiformes,Musophagidae
CUCKOOS (132),Cuculiformes,Cuculidae
BARN OWLS (9),Strigiformes,Tytonidae
OWLS (125),Strigiformes,Strigidae
OILBIRD (1),Caprimulgiformes,Steatornithidae
FROGMOUTHS (12),Caprimulgiformes,Podargidae
POTOOS (6),Caprimulgiformes,Nyctibiidae
OWLET-FROGMOUTHS (6),Caprimulgiformes,Aegothelidae
NIGHTJARS (72),Caprimulgiformes,Caprimulgidae
SWIFTS (73),Apodiformes,Apodidae
CRESTED-SWIFTS (4),Apodiformes,Hemiprocnidae
HUMMINGBIRDS (308),Apodiformes,Trochilidae
COLIES (6),Coliiformes,Coliidae
TROGONS (36),Trogoniformes,Trogonidae
KINGFISHERS (91),Coraciiformes,Alcedinidae
TODIES (5),Coraciiformes,Todidae
MOTMOTS (8),Coraciiformes,Momotidae
BEE-EATERS (25),Coraciiformes,Meropidae
ROLLERS (16),Coraciiformes,Coraciidae
CUCKOO-ROLLER (1),Coraciiformes,Leptosomatidae
HOOPOES (2),Coraciiformes,Upupidae
WOODHOOPOES (7),Coraciiformes,Phoeniculidae
HORNBILLS (50),Coraciiformes,Bucerotidae
JACAMARS (15),Piciformes,Galbulidae
PUFFBIRDS (31),Piciformes,Bucconidae
BARBETS (81),Piciformes,Capitonidae
HONEYGUIDES (15),Piciformes,Indicatoridae
TOUCANS (39),Piciformes,Ramphastidae
WOODPECKERS (212),Piciformes,Picidae
WRYNECKS (2),Piciformes,Jyngidae
BROADBILLS (14),Passeriformes,Eurylaimidae
WOODCREEPERS (48),Passeriformes,Dendrocolaptidae
OVENBIRDS (215),Passeriformes,Furnariidae
ANTBIRDS (218),Passeriformes,Formicariidae
ANTPIPITS (10),Passeriformes,Conopophagidae
TAPACULOS (28),Passeriformes,Rhinocryptidae
COTINGAS (96),Passeriformes,Cotingidae
MANAKINS (56),Passeriformes,Pipridae
TYRANT FLYCATCHERS (344),Passeriformes,Tyrannidae
SHARPBILL (1),Passeriformes,Oxyruncidae
