ScientificName1974,CommonName1974,Alternate name,Family1974,ScientificName2023,CommonName2023,Alternate name,Family2023
Struthio camelus,Ostrich,,Struthionidae,,,,
,,,,Struthio camelus,Common Ostrich,Autruche d'Afrique,Struthionidae
,,,,Struthio molybdophanes,Somali Ostrich,Autruche de Somalie,Struthionidae
Pterocnemia pennata,Lesser Rhea,,Rheidae,Rhea pennata,Lesser Rhea,Nandou de Darwin,Rheidae
Dromaius novaehollandiae,Emu,,Dromaiidae,Dromaius novaehollandiae,Emu,Émeu d'Australie,Casuariidae
Casuarius casuarius,Double-wattled Cassowary,,Casuariidae,Casuarius casuarius,Southern Cassowary,Casoar à casque,Casuariidae
Casuarius unappendiculatus,Single-wattled Cassowary,,Casuariidae,Casuarius unappendiculatus,Northern Cassowary,Casoar unicaronculé,Casuariidae
Apteryx australis,Brown Kiwi,,Apterygidae,,,,
,,,,Apteryx australis,Southern Brown Kiwi,Kiwi austral,Apterygidae
,,,,Apteryx rowi,Okarito Brown Kiwi,Kiwi d'Okarito,Apterygidae
,,,,Apteryx mantelli,North Island Brown Kiwi,Kiwi de Mantell,Apterygidae
,,,,Crypturellus berlepschi,Berlepsch's Tinamou,Tinamou de Berlepsch,Tinamidae
Crypturellus cinereus,Cinereous Tinamou,,Tinamidae,,,,
,,,,Crypturellus cinereus,Cinereous Tinamou,Tinamou cendré,Tinamidae
,,,,Crypturellus erythropus,Red-legged Tinamou,Tinamou à pieds rouges,Tinamidae
Crypturellus columbianus,Colombian Tinamou,,Tinamidae,,,,
Crypturellus saltuarius,Magdelena Tinamou,,Tinamidae,,,,
Crypturellus atrocapillus,Red-legged Tinamou,,Tinamidae,Crypturellus atrocapillus,Black-capped Tinamou,Tinamou à calotte noire,Tinamidae
Rhynchotus rufescens,Red-winged Tinamou,,Tinamidae,,,,
,,,,Rhynchotus rufescens,Red-winged Tinamou,Tinamou isabelle,Tinamidae
,,,,Rhynchotus maculicollis,Huayco Tinamou,Tinamou huayco,Tinamidae
,,,,Nothoprocta ornata,Ornate Tinamou,Tinamou orné,Tinamidae
Nothoprocta ornata,Ornate Tinamou,,Tinamidae,,,,
Nothoprocta kalinowskii,Kalinowski's Tinamou,,Tinamidae,,,,
,,,,Nothura maculosa,Spotted Nothura,Tinamou tacheté,Tinamidae
Nothura maculosa,Spotted Nothura,,Tinamidae,,,,
Nothura chacoensis,Chaco Nothura,,Tinamidae,,,,
Podiceps rolland,White-tufted Grebe,,Podicipedidae,Rollandia rolland,White-tufted Grebe,Grèbe de Rolland,Podicipedidae
Centropelma micropterum,Short-winged Grebe,,Podicipedidae,Rollandia microptera,Titicaca Grebe,Grèbe microptère,Podicipedidae
Podiceps ruficollis,Little Grebe,,Podicipedidae,Tachybaptus ruficollis,Little Grebe,Grèbe castagneux,Podicipedidae
,,,,Tachybaptus rufolavatus,Alaotra Grebe,Grèbe roussâtre,Podicipedidae
Podiceps novaehollandiae,Australasian Dabchick,,Podicipedidae,Tachybaptus novaehollandiae,Australasian Grebe,Grèbe australasien,Podicipedidae
Podiceps pelzelnii,Madagascar Grebe,,Podicipedidae,Tachybaptus pelzelnii,Madagascar Grebe,Grèbe malgache,Podicipedidae
Podiceps dominicus,Least Grebe,,Podicipedidae,Tachybaptus dominicus,Least Grebe,Grèbe minime,Podicipedidae
Podiceps poliocephalus,Hoary-headed Grebe,,Podicipedidae,Poliocephalus poliocephalus,Hoary-headed Grebe,Grèbe argenté,Podicipedidae
Podiceps rufopectus,New Zealand Dabchick,,Podicipedidae,Poliocephalus rufopectus,New Zealand Grebe,Grèbe de Nouvelle-Zélande,Podicipedidae
,,,,Podiceps cristatus,Great Crested Grebe,Grèbe huppé,Podicipedidae
Podiceps cristatus,Great Crested Grebe,,Podicipedidae,,,,
Podiceps australis,Crested Grebe,,Podicipedidae,,,,
Podiceps nigricollis,Eared Grebe,,Podicipedidae,,,,
,,,,Podiceps nigricollis,Eared Grebe,Grèbe à cou noir,Podicipedidae
,,,,Podiceps andinus,Colombian Grebe,Grèbe des Andes,Podicipedidae
Podiceps taczanowskii,Puna Grebe,,Podicipedidae,Podiceps taczanowskii,Junin Grebe,Grèbe de Taczanowski,Podicipedidae
,,,,Podiceps gallardoi,Hooded Grebe,Grèbe mitré,Podicipedidae
Aechmophorus occidentalis,Western Grebe,,Podicipedidae,,,,
,,,,Aechmophorus occidentalis,Western Grebe,Grèbe élégant,Podicipedidae
,,,,Aechmophorus clarkii,Clark's Grebe,Grèbe à face blanche,Podicipedidae
Pygoscelis antarctica,Chinstrap Penguin,,Spheniscidae,Pygoscelis antarcticus,Chinstrap Penguin,Manchot à jugulaire,Spheniscidae
Eudyptes crestatus,Rockhopper Penguin,,Spheniscidae,,,,
,,,,Eudyptes chrysocome,Southern Rockhopper Penguin,Gorfou sauteur,Spheniscidae
,,,,Eudyptes moseleyi,Moseley's Rockhopper Penguin,Gorfou de Moseley,Spheniscidae
Eudyptes pachyrhynchus,Victoria Penguin,,Spheniscidae,Eudyptes pachyrhynchus,Fiordland Penguin,Gorfou du Fiordland,Spheniscidae
Eudyptes robustus,Snares Island Penguin,,Spheniscidae,Eudyptes robustus,Snares Penguin,Gorfou des Snares,Spheniscidae
,,,,Eudyptula minor,Little Penguin,Manchot pygmée,Spheniscidae
Eudyptula minor,Little Blue Penguin,,Spheniscidae,,,,
Eudyptula albosignata,White-flippered Penguin,,Spheniscidae,,,,
Spheniscus demersus,Cape Penguin,,Spheniscidae,Spheniscus demersus,African Penguin,Manchot du Cap,Spheniscidae
Gavia arctica,Arctic Loon,,Gaviidae,,,,
,,,,Gavia arctica,Arctic Loon,Plongeon arctique,Gaviidae
,,,,Gavia pacifica,Pacific Loon,Plongeon du Pacifique,Gaviidae
Diomedea exulans,Wandering Albatross,,Diomedeidae,,,,
,,,,Diomedea exulans,Snowy Albatross,Albatros hurleur,Diomedeidae
,,,,Diomedea dabbenena,Tristan Albatross,Albatros de Tristan da Cunha,Diomedeidae
,,,,Diomedea antipodensis,Antipodean Albatross,Albatros des Antipodes,Diomedeidae
,,,,Diomedea amsterdamensis,Amsterdam Albatross,Albatros d'Amsterdam,Diomedeidae
Diomedea epomophora,Royal Albatross,,Diomedeidae,,,,
,,,,Diomedea epomophora,Southern Royal Albatross,Albatros royal,Diomedeidae
,,,,Diomedea sanfordi,Northern Royal Albatross,Albatros de Sanford,Diomedeidae
Diomedea irrorata,Waved Albatross,,Diomedeidae,Phoebastria irrorata,Waved Albatross,Albatros des Galapagos,Diomedeidae
Diomedea albatrus,Short-tailed Albatross,,Diomedeidae,Phoebastria albatrus,Short-tailed Albatross,Albatros à queue courte,Diomedeidae
Diomedea nigripes,Black-footed Albatross,,Diomedeidae,Phoebastria nigripes,Black-footed Albatross,Albatros à pieds noirs,Diomedeidae
Diomedea immutabilis,Laysan Albatross,,Diomedeidae,Phoebastria immutabilis,Laysan Albatross,Albatros de Laysan,Diomedeidae
Diomedea melanophrys,Black-browed Albatross,,Diomedeidae,Thalassarche melanophris,Black-browed Albatross,Albatros à sourcils noirs,Diomedeidae
Diomedea cauta,Shy Albatross,,Diomedeidae,,,,
,,,,Thalassarche cauta,White-capped Albatross,Albatros à cape blanche,Diomedeidae
,,,,Thalassarche salvini,Salvin's Albatross,Albatros de Salvin,Diomedeidae
,,,,Thalassarche eremita,Chatham Albatross,Albatros des Chatham,Diomedeidae
Diomedea chrysostoma,Gray-headed Albatross,,Diomedeidae,Thalassarche chrysostoma,Gray-headed Albatross,Albatros à tête grise,Diomedeidae
Diomedea chlororhynchos,Yellow-nosed Albatross,,Diomedeidae,,,,
,,,,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,Albatros à nez jaune,Diomedeidae
