ScientificName2022,CommonName2022,Family2022,ScientificName2023,CommonName2023,Family2023,
Ardea alba modesta,Great Egret (Australasian),Ardeidae,Ardea alba modesta,Great Egret (modesta),Ardeidae,
Ardea intermedia,Intermediate Egret,Ardeidae,,,,
Ardea intermedia plumifera,Intermediate Egret (Plumed),Ardeidae,Ardea plumifera,Plumed Egret,Ardeidae,
Bubulcus ibis,Cattle Egret,Ardeidae,Bubulcus ibis/coromandus,Western/Eastern Cattle Egret,Ardeidae,
Bubulcus ibis coromandus,Cattle Egret (Eastern),Ardeidae,Bubulcus coromandus,Eastern Cattle Egret,Ardeidae,
Butorides virescens/striata,Green/Striated Heron,Ardeidae,Butorides striata/virescens,Striated/Green Heron,Ardeidae,
Nycticorax caledonicus,Nankeen Night-Heron,Ardeidae,Nycticorax caledonicus,Nankeen Night Heron,Ardeidae,
Haliaeetus leucogaster,White-bellied Sea-Eagle,Accipitridae,Icthyophaga leucogaster,White-bellied Sea-Eagle,Accipitridae,
Charadrius alexandrinus/nivosus,Kentish/Snowy Plover,Charadriidae,Anarhynchus nivosus/alexandrinus,Snowy/Kentish Plover,Charadriidae,
Charadrius alexandrinus,Kentish Plover,Charadriidae,Anarhynchus alexandrinus,Kentish Plover,Charadriidae,
Charadrius alexandrinus alexandrinus/nihonensis,Kentish Plover (Kentish),Charadriidae,Anarhynchus alexandrinus alexandrinus/nihonensis,Kentish Plover (Kentish),Charadriidae,
Charadrius ruficapillus,Red-capped Plover,Charadriidae,Anarhynchus ruficapillus,Red-capped Plover,Charadriidae,
Charadrius bicinctus,Double-banded Plover,Charadriidae,Anarhynchus bicinctus,Double-banded Plover,Charadriidae,
Charadrius mongolus,Lesser Sand-Plover,Charadriidae,Anarhynchus mongolus/atrifrons,Siberian/Tibetan Sand-Plover,Charadriidae,
Charadrius mongolus mongolus/stegmanni,Lesser Sand-Plover (Siberian),Charadriidae,Anarhynchus mongolus,Siberian Sand-Plover,Charadriidae,
Charadrius leschenaultii,Greater Sand-Plover,Charadriidae,Anarhynchus leschenaultii,Greater Sand-Plover,Charadriidae,
Charadrius mongolus/leschenaultii,Lesser/Greater Sand-Plover,Charadriidae,Anarhynchus atrifrons/mongolus/leschenaultii,sand-plover sp.,Charadriidae,
Charadrius asiaticus,Caspian Plover,Charadriidae,Anarhynchus asiaticus,Caspian Plover,Charadriidae,
Charadrius veredus,Oriental Plover,Charadriidae,Anarhynchus veredus,Oriental Plover,Charadriidae,
Elseyornis melanops,Black-fronted Dotterel,Charadriidae,Charadrius melanops,Black-fronted Dotterel,Charadriidae,
Gelochelidon nilotica,Gull-billed Tern,Laridae,Gelochelidon nilotica/macrotarsa,Gull-billed/Australian Tern,Laridae,
Gelochelidon nilotica [nilotica Group],Gull-billed Tern (Gull-billed),Laridae,Gelochelidon nilotica,Gull-billed Tern,Laridae,
