Genus1974,Family1974
Abeillia,Trochilidae
Abroscopus,Sylviidae
Aburria,Cracidae
Anthochaera,Meliphagidae
Acanthidops,Fringillidae
Acanthis,Fringillidae
Acanthisitta,Acanthisittidae
Acanthiza,Sylviidae
Acanthorhynchus,Meliphagidae
Acanthornis,Sylviidae
Accipiter,Accipitridae
Aceros,Bucerotidae
Acestrura,Trochilidae
Achaetops,Sylviidae
Acridotheres,Sturnidae
Acrocephalus,Sylviidae
Acrochordopus,Tyrannidae
Acropternis,Rhinocryptidae
Acryllium,Numididae
Actinodura,Timaliidae
Actitis,Scolopacidae
Actophilornis,Jacanidae
Adamaster,Procellariidae
Adelomyia,Trochilidae
Aechmolophus,Tyrannidae
Aechmophorus,Podicipedidae
Aechmorhynchus,Scolopacidae
Aegintha,Ploceidae
Aegithalos,Paridae
Aegithina,Irenidae
Aegolius,Strigidae
Aegotheles,Aegothelidae
Aegypius,Accipitridae
Aepypodius,Megapodiidae
Aeronautes,Apodidae
Aerops,Meropidae
Aethia,Alcidae
Turdoides,Timaliidae
Aethopyga,Nectariniidae
Afribyx,Charadriidae
Afropavo,Phasianidae
Afrotis,Otididae
Agamia,Ardeidae
Agapornis,Psittacidae
Agelaius,Icteridae
Agelastes,Numididae
Aglaeactis,Trochilidae
Aglaiocercus,Trochilidae
Agriocharis,Meleagrididae
Agriornis,Tyrannidae
Cercotrichas,Turdidae
Aidemosyne,Ploceidae
Ailuroedus,Ptilonorhynchidae
Aimophila,Fringillidae
Aix,Anatidae
Ajaia,Threskiornithidae
Alaemon,Alaudidae
Alario,Fringillidae
Alauda,Alaudidae
Alca,Alcidae
Alcedo,Alcedinidae
Alcippe,Timaliidae
Ceyx,Alcedinidae
Alectoris,Phasianidae
Alectroenas,Columbidae
Alectrurus,Tyrannidae
Alectura,Megapodiidae
Alethe,Turdidae
Alisterus,Psittacidae
Alle,Alcidae
Margarops,Mimidae
Allocotopterus,Pipridae
Alopochelidon,Hirundinidae
Alopochen,Anatidae
Alseonax,Muscicapidae
Amadina,Ploceidae
Amalocichla,Turdidae
Amandava,Ploceidae
Amauresthes,Ploceidae
Amaurocichla,Sylviidae
Amaurolimnas,Rallidae
Amaurornis,Rallidae
Amaurospiza,Fringillidae
Amazilia,Trochilidae
Amazona,Psittacidae
Amazonetta,Anatidae
Amblycercus,Icteridae
Amblyornis,Ptilonorhynchidae
Amblyramphus,Icteridae
Amblyospiza,Ploceidae
Ammodramus,Fringillidae
Ammomanes,Alaudidae
Ammoperdix,Phasianidae
Ammospiza,Fringillidae
Bolborhynchus,Psittacidae
Ampeliceps,Sturnidae
Ampelioides,Cotingidae
Ampelion,Cotingidae
Amphispiza,Fringillidae
Amytornis,Sylviidae
Anabacerthia,Furnariidae
Anabazenops,Furnariidae
Prionochilus,Dicaeidae
Anaplectes,Ploceidae
Anarhynchus,Charadriidae
Anas,Anatidae
Anastomus,Ciconiidae
