culture,category_index,scientific_name
anindilyakwa,1,Sula leucogaster
anindilyakwa,2,Fregata ariel
anindilyakwa,3,Pandion haliaetus
anindilyakwa,4,Haliastur indus
anindilyakwa,5,Haliaeetus leucogaster
anindilyakwa,6,Hydroprogne caspia
anindilyakwa,6,Sterna bergii
anindilyakwa,7,Sterna hirundo
anindilyakwa,7,Sterna bengalensis
anindilyakwa,7,Sterna dougalli
anindilyakwa,7,Sterna sumatrana
anindilyakwa,7,Gelochelidon nilotica
anindilyakwa,8,Sterna albifrons
anindilyakwa,9,Sterna anaethetus
anindilyakwa,9,Anous stolidus
anindilyakwa,9,Sterna leucoptera
anindilyakwa,10,Larus novaehollandiae
anindilyakwa,11,Pelecanus conspicillatus
anindilyakwa,12,Anhinga melanogaster
anindilyakwa,13,Phalacrocorax carbo
anindilyakwa,13,Phalacrocorax melanoleucos
anindilyakwa,13,Phalacrocorax sulcirostris
anindilyakwa,13,Phalacrocorax varius
anindilyakwa,14,Haematopus ostralegus
anindilyakwa,14,Haematopus fuliginosus
anindilyakwa,15,Burhinus neglectus
anindilyakwa,16,Numenius madagascariensis
anindilyakwa,16,Numenius phaeopus
anindilyakwa,16,Numenius minutus
anindilyakwa,17,Plegadis falcinellus
anindilyakwa,18,Charadrius leschenaultii
anindilyakwa,18,Charadrius mongolus
anindilyakwa,18,Charadrius ruficapillus
anindilyakwa,18,Charadrius veredus
anindilyakwa,18,Arenaria interpres
anindilyakwa,18,Tringa brevipes
anindilyakwa,18,Tringa hypoleucos
anindilyakwa,18,Tringa nebularia
anindilyakwa,18,Tringa stagnatilis
anindilyakwa,18,Tringa terek
anindilyakwa,18,Gallinago hardwickii
anindilyakwa,18,Limosa lapponica
anindilyakwa,18,Calidris acuminata
anindilyakwa,18,Calidris alba
anindilyakwa,18,Calidris canutus
anindilyakwa,18,Calidris ferruginea
anindilyakwa,18,Calidris ruficollis
anindilyakwa,18,Stiltia isabella
anindilyakwa,18,Megalurus timoriensis
anindilyakwa,19,Xenorhynchus asiaticus
anindilyakwa,20,Grus rubicundus
anindilyakwa,20,Grus antigone
anindilyakwa,21,Eulabeornis castaneoventris
anindilyakwa,22,Himantopus himantopus
anindilyakwa,23,Vanellus miles
anindilyakwa,24,Tadorna radjah
anindilyakwa,25,Anas supercillosa
anindilyakwa,25,Anas gibberifrons
anindilyakwa,25,Dendrocygna arcuata
anindilyakwa,25,Dendrocygna eytoni
anindilyakwa,25,Nettatus pulchellus
anindilyakwa,25,Tachybaptus novaehollandiae
anindilyakwa,26,Gallinula tenebrosa
anindilyakwa,27,Anseranas semipalmata
anindilyakwa,28,Platalea flavipes
anindilyakwa,28,Platalea regia
anindilyakwa,28,Threskiornis molucca
anindilyakwa,29,Ardea novaehollandiae
anindilyakwa,29,Nycticorax caledonicus
anindilyakwa,29,Ixobrychus minutus
anindilyakwa,29,Dupetor flavicollis
anindilyakwa,30,Butorides striatus
anindilyakwa,31,Ardea sumatrana
anindilyakwa,32,Egretta sacra
anindilyakwa,33,Egretta alba
anindilyakwa,33,Egretta garzetta
anindilyakwa,33,Egretta intermedia
anindilyakwa,33,Egretta sacra
anindilyakwa,34,Ardea pacifica
anindilyakwa,34,Ardea picata
anindilyakwa,35,Accipiter fasciatus
anindilyakwa,35,Accipiter cirrhocephalus
anindilyakwa,35,Aviceda subcrista
anindilyakwa,35,Circus assimilis
anindilyakwa,35,Elanus notatus
anindilyakwa,35,Milvus migrans
anindilyakwa,35,Falco berigora
anindilyakwa,35,Falco cenchroides
anindilyakwa,35,Falco longipennis
anindilyakwa,35,Falco peregrinus
anindilyakwa,35,Aegotheles cristatus
anindilyakwa,36,Haliastur sphenurus
anindilyakwa,36,Hieraaetus morphnoides
anindilyakwa,36,Lophoictinia isura
anindilyakwa,36,Falco subniger
anindilyakwa,37,Aquila audax
anindilyakwa,38,Ninox novaeseelandiae
anindilyakwa,39,Podargus strigoides
anindilyakwa,40,Caprimulgus guttatus
anindilyakwa,40,Caprimulgus macrurus
anindilyakwa,41,Tyto alba
anindilyakwa,42,Chalcophaps indica
anindilyakwa,42,Phaps chalcoptera
anindilyakwa,42,Ptilinopus regina
anindilyakwa,43,Geopelia striata
anindilyakwa,43,Geopelia humeralis
anindilyakwa,43,Geopelia cuneata
anindilyakwa,44,Coturnix ypsilophorus
anindilyakwa,44,Coturnix chinensis
anindilyakwa,44,Turnix maculosa
anindilyakwa,44,Turnix castanota
anindilyakwa,45,Duculus spilorrhoa
anindilyakwa,46,Philemon argenticeps
anindilyakwa,46,Philemon buceroides
anindilyakwa,46,Philemon citreogularis
anindilyakwa,47,Oriolus flavocinctus
anindilyakwa,47,Oriolus sagittatus
anindilyakwa,47,Sphecotheres viridis
anindilyakwa,47,Coracina tenuirostris
