CommonName2023,ScientificName2023,Notes
ANSERIFORMES: Anatidae,,
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Rare/Accidental
Fulvous Whistling-Duck,Dendrocygna bicolor,Rare/Accidental
Snow Goose,Anser caerulescens,
Ross's Goose,Anser rossii,
Graylag Goose,Anser anser,Rare/Accidental
Greater White-fronted Goose,Anser albifrons,
Taiga Bean-Goose,Anser fabalis,Rare/Accidental
Tundra Bean-Goose,Anser serrirostris,Rare/Accidental
Pink-footed Goose,Anser brachyrhynchus,Rare/Accidental
Brant,Branta bernicla,
Barnacle Goose,Branta leucopsis,Rare/Accidental
Cackling Goose,Branta hutchinsii,
Canada Goose,Branta canadensis,
Mute Swan,Cygnus olor,Introduced species
Trumpeter Swan,Cygnus buccinator,Rare/Accidental
Tundra Swan,Cygnus columbianus,
Whooper Swan,Cygnus cygnus,Introduced species
Ruddy Shelduck,Tadorna ferruginea,Introduced species
Common Shelduck,Tadorna tadorna,Rare/Accidental
Wood Duck,Aix sponsa,
Garganey,Spatula querquedula,Rare/Accidental
Blue-winged Teal,Spatula discors,
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental
Northern Shoveler,Spatula clypeata,
Gadwall,Mareca strepera,
Eurasian Wigeon,Mareca penelope,
American Wigeon,Mareca americana,
Mallard,Anas platyrhynchos,
American Black Duck,Anas rubripes,
Northern Pintail,Anas acuta,
Green-winged Teal,Anas crecca,
Canvasback,Aythya valisineria,
Redhead,Aythya americana,
Common Pochard,Aythya ferina,Rare/Accidental
Ring-necked Duck,Aythya collaris,
Tufted Duck,Aythya fuligula,Rare/Accidental
Greater Scaup,Aythya marila,
Lesser Scaup,Aythya affinis,
Steller's Eider,Polysticta stelleri,Rare/Accidental
Labrador Duck,Camptorhynchus labradorius,Rare/Accidental
King Eider,Somateria spectabilis,
Common Eider,Somateria mollissima,
Harlequin Duck,Histrionicus histrionicus,
Surf Scoter,Melanitta perspicillata,
White-winged Scoter,Melanitta deglandi,
Common Scoter,Melanitta nigra,Rare/Accidental
Black Scoter,Melanitta americana,
Long-tailed Duck,Clangula hyemalis,
Bufflehead,Bucephala albeola,
Common Goldeneye,Bucephala clangula,
Barrow's Goldeneye,Bucephala islandica,
Smew,Mergellus albellus,Introduced species
Hooded Merganser,Lophodytes cucullatus,
Common Merganser,Mergus merganser,
Red-breasted Merganser,Mergus serrator,
Ruddy Duck,Oxyura jamaicensis,
,,
GALLIFORMES: Phasianidae,,
Wild Turkey,Meleagris gallopavo,Introduced species
Ruffed Grouse,Bonasa umbellus,
Sharp-tailed Grouse,Tympanuchus phasianellus,
Willow Ptarmigan,Lagopus lagopus,
Rock Ptarmigan,Lagopus muta,
Spruce Grouse,Canachites canadensis,
Gray Partridge,Perdix perdix,Introduced species
,,
PHOENICOPTERIFORMES: Phoenicopteridae,,
American Flamingo,Phoenicopterus ruber,Introduced species
Greater Flamingo,Phoenicopterus roseus,Introduced species
,,
PODICIPEDIFORMES: Podicipedidae,,
Pied-billed Grebe,Podilymbus podiceps,
Horned Grebe,Podiceps auritus,
Red-necked Grebe,Podiceps grisegena,
Eared Grebe,Podiceps nigricollis,Rare/Accidental
Western Grebe,Aechmophorus occidentalis,Rare/Accidental
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Common Wood-Pigeon,Columba palumbus,Rare/Accidental
Band-tailed Pigeon,Patagioenas fasciata,Rare/Accidental
Passenger Pigeon,Ectopistes migratorius,Rare/Accidental
Eurasian Collared-Dove,Streptopelia decaocto,Rare/Accidental
Common Ground Dove,Columbina passerina,Rare/Accidental
White-winged Dove,Zenaida asiatica,Rare/Accidental
Mourning Dove,Zenaida macroura,
,,
CUCULIFORMES: Cuculidae,,
Yellow-billed Cuckoo,Coccyzus americanus,
Black-billed Cuckoo,Coccyzus erythropthalmus,
Common Cuckoo,Cuculus canorus,Rare/Accidental
,,
CAPRIMULGIFORMES: Caprimulgidae,,
Common Nighthawk,Chordeiles minor,
Chuck-will's-widow,Antrostomus carolinensis,Rare/Accidental
Eastern Whip-poor-will,Antrostomus vociferus,
,,
CAPRIMULGIFORMES: Apodidae,,
Chimney Swift,Chaetura pelagica,
Common Swift,Apus apus,Rare/Accidental
,,
CAPRIMULGIFORMES: Trochilidae,,
Mexican Violetear,Colibri thalassinus,Rare/Accidental
Amethyst-throated Mountain-gem,Lampornis amethystinus,Rare/Accidental
Ruby-throated Hummingbird,Archilochus colubris,
Anna's Hummingbird,Calypte anna,Rare/Accidental
Rufous Hummingbird,Selasphorus rufus,Rare/Accidental
Broad-billed Hummingbird,Cynanthus latirostris,Rare/Accidental
,,
GRUIFORMES: Rallidae,,
King Rail,Rallus elegans,Rare/Accidental
Clapper Rail,Rallus crepitans,Rare/Accidental
Virginia Rail,Rallus limicola,
Sora,Porzana carolina,
Common Gallinule,Gallinula galeata,
Eurasian Coot,Fulica atra,Rare/Accidental
American Coot,Fulica americana,
