CommonName,ScientificName2023,Notes
STRUTHIONIFORMES: Struthionidae,,
Common Ostrich,Struthio camelus,
,,
ANSERIFORMES: Anatidae,,
White-faced Whistling-Duck,Dendrocygna viduata,
Fulvous Whistling-Duck,Dendrocygna bicolor,
White-backed Duck,Thalassornis leuconotus,
Knob-billed Duck,Sarkidiornis melanotos,
Egyptian Goose,Alopochen aegyptiaca,
Spur-winged Goose,Plectropterus gambensis,
African Pygmy-Goose,Nettapus auritus,
Garganey,Spatula querquedula,
Blue-billed Teal,Spatula hottentota,
African Black Duck,Anas sparsa,
Yellow-billed Duck,Anas undulata,
Cape Teal,Anas capensis,
Red-billed Duck,Anas erythrorhyncha,
Northern Pintail,Anas acuta,
Southern Pochard,Netta erythrophthalma,
Maccoa Duck,Oxyura maccoa,
,,
GALLIFORMES: Numididae,,
Helmeted Guineafowl,Numida meleagris,
Vulturine Guineafowl,Acryllium vulturinum,
Eastern Crested Guineafowl,Guttera pucherani,
Southern Crested Guineafowl,Guttera edouardi,
,,
GALLIFORMES: Phasianidae,,
Udzungwa Partridge,Xenoperdix udzungwensis,Endemic (country/region)
Crested Francolin,Ortygornis sephaena,
Coqui Francolin,Campocolinus coqui,
Shelley's Francolin,Scleroptila shelleyi,
Common Quail,Coturnix coturnix,
Harlequin Quail,Coturnix delegorguei,
Hildebrandt's Spurfowl,Pternistis hildebrandti,
Scaly Spurfowl,Pternistis squamatus,
Yellow-necked Spurfowl,Pternistis leucoscepus,
Red-necked Spurfowl,Pternistis afer,
,,
PHOENICOPTERIFORMES: Phoenicopteridae,,
Greater Flamingo,Phoenicopterus roseus,
Lesser Flamingo,Phoeniconaias minor,
,,
PODICIPEDIFORMES: Podicipedidae,,
Little Grebe,Tachybaptus ruficollis,
Great Crested Grebe,Podiceps cristatus,
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Speckled Pigeon,Columba guinea,
Rameron Pigeon,Columba arquatrix,
Delegorgue's Pigeon,Columba delegorguei,
Lemon Dove,Aplopelia larvata,
Dusky Turtle-Dove,Streptopelia lugens,
Mourning Collared-Dove,Streptopelia decipiens,
Red-eyed Dove,Streptopelia semitorquata,
Ring-necked Dove,Streptopelia capicola,
Laughing Dove,Spilopelia senegalensis,
Emerald-spotted Wood-Dove,Turtur chalcospilos,
Blue-spotted Wood-Dove,Turtur afer,
Tambourine Dove,Turtur tympanistria,
Namaqua Dove,Oena capensis,
African Green-Pigeon,Treron calvus,
,,
PTEROCLIFORMES: Pteroclidae,,
Chestnut-bellied Sandgrouse,Pterocles exustus,
Yellow-throated Sandgrouse,Pterocles gutturalis,
Black-faced Sandgrouse,Pterocles decoratus,
,,
OTIDIFORMES: Otididae,,
Kori Bustard,Ardeotis kori,
White-bellied Bustard,Eupodotis senegalensis,
Buff-crested Bustard,Lophotis gindiana,
Black-bellied Bustard,Lissotis melanogaster,
Hartlaub's Bustard,Lissotis hartlaubii,
,,
MUSOPHAGIFORMES: Musophagidae,,
Livingstone's Turaco,Tauraco livingstonii,
Purple-crested Turaco,Gallirex porphyreolophus,
Bare-faced Go-away-bird,Crinifer personatus,
White-bellied Go-away-bird,Crinifer leucogaster,
,,
CUCULIFORMES: Cuculidae,,
Senegal Coucal,Centropus senegalensis,
White-browed Coucal,Centropus superciliosus,
Black Coucal,Centropus grillii,
Green Malkoha,Ceuthmochares australis,
Great Spotted Cuckoo,Clamator glandarius,
Levaillant's Cuckoo,Clamator levaillantii,
Pied Cuckoo,Clamator jacobinus,
Thick-billed Cuckoo,Pachycoccyx audeberti,
Dideric Cuckoo,Chrysococcyx caprius,
Klaas's Cuckoo,Chrysococcyx klaas,
African Emerald Cuckoo,Chrysococcyx cupreus,
Barred Long-tailed Cuckoo,Cercococcyx montanus,
Black Cuckoo,Cuculus clamosus,
Red-chested Cuckoo,Cuculus solitarius,
Lesser Cuckoo,Cuculus poliocephalus,
African Cuckoo,Cuculus gularis,
