CommonName,ScientificName2023,Notes
Snow Goose,Anser caerulescens,
Ross's Goose,Anser rossii,Rare/Accidental
Greater White-fronted Goose,Anser albifrons,
Brant,Branta bernicla,
Cackling Goose,Branta hutchinsii,
Canada Goose,Branta canadensis,
Trumpeter Swan,Cygnus buccinator,
Tundra Swan,Cygnus columbianus,
Wood Duck,Aix sponsa,Rare/Accidental
Blue-winged Teal,Spatula discors,
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental
Northern Shoveler,Spatula clypeata,
Gadwall,Mareca strepera,
Eurasian Wigeon,Mareca penelope,
American Wigeon,Mareca americana,
Mallard,Anas platyrhynchos,
Northern Pintail,Anas acuta,
Green-winged Teal,Anas crecca,
Canvasback,Aythya valisineria,
Redhead,Aythya americana,
Ring-necked Duck,Aythya collaris,
Greater Scaup,Aythya marila,
Lesser Scaup,Aythya affinis,
Steller's Eider,Polysticta stelleri,
Harlequin Duck,Histrionicus histrionicus,
Surf Scoter,Melanitta perspicillata,
White-winged Scoter,Melanitta deglandi,
Black Scoter,Melanitta americana,
Long-tailed Duck,Clangula hyemalis,
Bufflehead,Bucephala albeola,
Common Goldeneye,Bucephala clangula,
Barrow's Goldeneye,Bucephala islandica,
Hooded Merganser,Lophodytes cucullatus,
Common Merganser,Mergus merganser,
Red-breasted Merganser,Mergus serrator,
Ruddy Duck,Oxyura jamaicensis,
,,
GALLIFORMES: Phasianidae,,
Ruffed Grouse,Bonasa umbellus,
Sooty Grouse,Dendragapus fuliginosus,
Willow Ptarmigan,Lagopus lagopus,
Rock Ptarmigan,Lagopus muta,
,,
PODICIPEDIFORMES: Podicipedidae,,
Pied-billed Grebe,Podilymbus podiceps,Rare/Accidental
Horned Grebe,Podiceps auritus,
Red-necked Grebe,Podiceps grisegena,
Western Grebe,Aechmophorus occidentalis,
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Band-tailed Pigeon,Patagioenas fasciata,Rare/Accidental
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species
