CommonName,ScientificName2023,Notes
CASUARIIFORMES: Casuariidae,,
Southern Cassowary,Casuarius casuarius,Introduced species
Dwarf Cassowary,Casuarius bennetti,Introduced species
,,
ANSERIFORMES: Anseranatidae,,
Magpie Goose,Anseranas semipalmata,
,,
ANSERIFORMES: Anatidae,,
Spotted Whistling-Duck,Dendrocygna guttata,
Wandering Whistling-Duck,Dendrocygna arcuata,
Radjah Shelduck,Radjah radjah,
Green Pygmy-Goose,Nettapus pulchellus,
Garganey,Spatula querquedula,
Pacific Black Duck,Anas superciliosa,
Sunda Teal,Anas gibberifrons,
Gray Teal,Anas gracilis,
Hardhead,Aythya australis,
,,
GALLIFORMES: Megapodiidae,,
Yellow-legged Brushturkey,Talegalla fuscirostris,
Moluccan Megapode,Eulipoa wallacei,Endemic (country/region)
Tanimbar Megapode,Megapodius tenimberensis,Endemic
Dusky Megapode,Megapodius freycinet,
Orange-footed Megapode,Megapodius reinwardt,
,,
GALLIFORMES: Phasianidae,,
Green Junglefowl,Gallus varius,Endemic (country/region)
Brown Quail,Synoicus ypsilophorus,
Blue-breasted Quail,Synoicus chinensis,
,,
PODICIPEDIFORMES: Podicipedidae,,
Little Grebe,Tachybaptus ruficollis,
Australasian Grebe,Tachybaptus novaehollandiae,
Great Crested Grebe,Podiceps cristatus,Rare/Accidental
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Metallic Pigeon,Columba vitiensis,
Sunda Collared-Dove,Streptopelia bitorquata,
Spotted Dove,Spilopelia chinensis,Introduced species
Flores Sea Cuckoo-Dove,Macropygia macassariensis,
Timor Cuckoo-Dove,Macropygia magna,Endemic (country/region)
Tanimbar Cuckoo-Dove,Macropygia timorlaoensis,Endemic
Amboyna Cuckoo-Dove,Macropygia amboinensis,
Sultan's Cuckoo-Dove,Macropygia doreya,
Little Cuckoo-Dove,Macropygia ruficeps,
Great Cuckoo-Dove,Reinwardtoena reinwardti,
Slaty Cuckoo-Dove,Turacoena modesta,Endemic (country/region)
Asian Emerald Dove,Chalcophaps indica,
Pacific Emerald Dove,Chalcophaps longirostris,
Stephan's Dove,Chalcophaps stephani,
New Guinea Bronzewing,Henicophaps albifrons,
Wetar Ground Dove,Pampusana hoedtii,Endemic (country/region)
Zebra Dove,Geopelia striata,Introduced species
Peaceful Dove,Geopelia placida,Introduced species
Barred Dove,Geopelia maugeus,Endemic (country/region)
Nicobar Pigeon,Caloenas nicobarica,
Cinnamon Ground Dove,Gallicolumba rufigula,
Pheasant Pigeon,Otidiphaps nobilis,
Western Crowned-Pigeon,Goura cristata,Introduced species
Pink-necked Green-Pigeon,Treron vernans,
