CommonName,ScientificName2023,Notes
TINAMIFORMES: Tinamidae,,
Great Tinamou,Tinamus major,
Little Tinamou,Crypturellus soui,
Slaty-breasted Tinamou,Crypturellus boucardi,
Thicket Tinamou,Crypturellus cinnamomeus,
,,
ANSERIFORMES: Anatidae,,
Black-bellied Whistling-Duck,Dendrocygna autumnalis,
Fulvous Whistling-Duck,Dendrocygna bicolor,
Snow Goose,Anser caerulescens,Rare/Accidental
Greater White-fronted Goose,Anser albifrons,Rare/Accidental
Canada Goose,Branta canadensis,Rare/Accidental
Muscovy Duck,Cairina moschata,
Wood Duck,Aix sponsa,Rare/Accidental
Blue-winged Teal,Spatula discors,
Cinnamon Teal,Spatula cyanoptera,
Northern Shoveler,Spatula clypeata,
Gadwall,Mareca strepera,
American Wigeon,Mareca americana,
Northern Pintail,Anas acuta,
Green-winged Teal,Anas crecca,
Canvasback,Aythya valisineria,Rare/Accidental
Redhead,Aythya americana,Rare/Accidental
Ring-necked Duck,Aythya collaris,
Lesser Scaup,Aythya affinis,
Surf Scoter,Melanitta perspicillata,
Masked Duck,Nomonyx dominicus,Rare/Accidental
Ruddy Duck,Oxyura jamaicensis,
,,
GALLIFORMES: Cracidae,,
Plain Chachalaca,Ortalis vetula,
West Mexican Chachalaca,Ortalis poliocephala,Endemic (country/region)
White-bellied Chachalaca,Ortalis leucogastra,
Crested Guan,Penelope purpurascens,
Highland Guan,Penelopina nigra,
Horned Guan,Oreophasis derbianus,
Great Curassow,Crax rubra,
,,
GALLIFORMES: Odontophoridae,,
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,
Long-tailed Wood-Partridge,Dendrortyx macroura,Endemic (country/region)
Northern Bobwhite,Colinus virginianus,
Ocellated Quail,Cyrtonyx ocellatus,
Singing Quail,Dactylortyx thoracicus,
Spotted Wood-Quail,Odontophorus guttatus,
,,
GALLIFORMES: Phasianidae,,
Ocellated Turkey,Meleagris ocellata,
,,
PODICIPEDIFORMES: Podicipedidae,,
Least Grebe,Tachybaptus dominicus,
Pied-billed Grebe,Podilymbus podiceps,
Eared Grebe,Podiceps nigricollis,
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Pale-vented Pigeon,Patagioenas cayennensis,
Scaled Pigeon,Patagioenas speciosa,
Red-billed Pigeon,Patagioenas flavirostris,
Band-tailed Pigeon,Patagioenas fasciata,
Short-billed Pigeon,Patagioenas nigrirostris,
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species
Inca Dove,Columbina inca,
Common Ground Dove,Columbina passerina,
