CommonName2023,ScientificName2023,Notes
TINAMIFORMES: Tinamidae,,
Great Tinamou,Tinamus major,
Little Tinamou,Crypturellus soui,
Slaty-breasted Tinamou,Crypturellus boucardi,
Thicket Tinamou,Crypturellus cinnamomeus,
,,
ANSERIFORMES: Anatidae,,
Black-bellied Whistling-Duck,Dendrocygna autumnalis,
Fulvous Whistling-Duck,Dendrocygna bicolor,
Snow Goose,Anser caerulescens,
Greater White-fronted Goose,Anser albifrons,Rare/Accidental
Muscovy Duck,Cairina moschata,
Wood Duck,Aix sponsa,
Blue-winged Teal,Spatula discors,
Cinnamon Teal,Spatula cyanoptera,
Northern Shoveler,Spatula clypeata,
Gadwall,Mareca strepera,
American Wigeon,Mareca americana,
Mexican Duck,Anas diazi,Endemic (country/region)
Northern Pintail,Anas acuta,
Green-winged Teal,Anas crecca,
Canvasback,Aythya valisineria,Rare/Accidental
Redhead,Aythya americana,
Ring-necked Duck,Aythya collaris,
Lesser Scaup,Aythya affinis,
Hooded Merganser,Lophodytes cucullatus,
Red-breasted Merganser,Mergus serrator,Rare/Accidental
Masked Duck,Nomonyx dominicus,
Ruddy Duck,Oxyura jamaicensis,
,,
GALLIFORMES: Cracidae,,
Plain Chachalaca,Ortalis vetula,
West Mexican Chachalaca,Ortalis poliocephala,Endemic (country/region)
Crested Guan,Penelope purpurascens,
Highland Guan,Penelopina nigra,
Horned Guan,Oreophasis derbianus,
Great Curassow,Crax rubra,
,,
GALLIFORMES: Odontophoridae,,
Long-tailed Wood-Partridge,Dendrortyx macroura,Endemic (country/region)
Bearded Wood-Partridge,Dendrortyx barbatus,Endemic (country/region)
Banded Quail,Philortyx fasciatus,Endemic (country/region)
Northern Bobwhite,Colinus virginianus,
Montezuma Quail,Cyrtonyx montezumae,
Ocellated Quail,Cyrtonyx ocellatus,
Singing Quail,Dactylortyx thoracicus,
Spotted Wood-Quail,Odontophorus guttatus,
,,
PODICIPEDIFORMES: Podicipedidae,,
Least Grebe,Tachybaptus dominicus,
Pied-billed Grebe,Podilymbus podiceps,
Eared Grebe,Podiceps nigricollis,
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Scaled Pigeon,Patagioenas speciosa,
Red-billed Pigeon,Patagioenas flavirostris,
Band-tailed Pigeon,Patagioenas fasciata,
Short-billed Pigeon,Patagioenas nigrirostris,
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species
Inca Dove,Columbina inca,
Common Ground Dove,Columbina passerina,
Plain-breasted Ground Dove,Columbina minuta,
