CommonNameV3,ScientificNameV3,Recognised
Tawny-breasted Tinamou,Nothocercus julius,R
Highland Tinamou,Nothocercus bonapartei,R
Hooded Tinamou,Nothocercus nigrocapillus,R
Grey Tinamou,Tinamus tao,R
Solitary Tinamou,Tinamus solitarius,R
Black Tinamou,Tinamus osgoodi,R
Great Tinamou,Tinamus major,R
White-throated Tinamou,Tinamus guttatus,R
Berlepsch's Tinamou,Crypturellus berlepschi,R
Cinereous Tinamou,Crypturellus cinereus,R
Little Tinamou,Crypturellus soui,R
Tepui Tinamou,Crypturellus ptaritepui,R
Brown Tinamou,Crypturellus obsoletus,R
Thicket Tinamou,Crypturellus cinnamomeus,R
Undulated Tinamou,Crypturellus undulatus,R
Pale-browed Tinamou,Crypturellus transfasciatus,R
Brazilian Tinamou,Crypturellus strigulosus,R
Slaty-breasted Tinamou,Crypturellus boucardi,R
Choco Tinamou,Crypturellus kerriae,R
Red-legged Tinamou,Crypturellus erythropus,R
,Crypturellus erythropus,NR
,Crypturellus columbianus,NR
,Crypturellus saltuarius,NR
,Crypturellus idoneus,NR
Grey-legged Tinamou,Crypturellus duidae,R
Yellow-legged Tinamou,Crypturellus noctivagus,R
Black-capped Tinamou,Crypturellus atrocapillus,R
Variegated Tinamou,Crypturellus variegatus,R
Rusty Tinamou,Crypturellus brevirostris,R
Bartlett's Tinamou,Crypturellus bartletti,R
Small-billed Tinamou,Crypturellus parvirostris,R
Barred Tinamou,Crypturellus casiquiare,R
Tataupa Tinamou,Crypturellus tataupa,R
,Rhynchotus rufescens,NR
Red-winged Tinamou,Rhynchotus rufescens,R
Huayco Tinamou,Rhynchotus maculicollis,R
Taczanowski's Tinamou,Nothoprocta taczanowskii,R
,Nothoprocta kalinowskii,NR
Ornate Tinamou,Nothoprocta ornata,R
Andean Tinamou,Nothoprocta pentlandii,R
Brushland Tinamou,Nothoprocta cinerascens,R
Chilean Tinamou,Nothoprocta perdicaria,R
Curve-billed Tinamou,Nothoprocta curvirostris,R
Darwin's Nothura,Nothura darwinii,R
Chaco Nothura,Nothura chacoensis,R
Spotted Nothura,Nothura maculosa,R
Lesser Nothura,Nothura minor,R
White-bellied Nothura,Nothura boraquira,R
Dwarf Tinamou,Taoniscus nanus,R
Elegant Crested-tinamou,Eudromia elegans,R
Quebracho Crested-tinamou,Eudromia formosa,R
Puna Tinamou,Tinamotis pentlandii,R
Patagonian Tinamou,Tinamotis ingoufi,R
Ostrich,Struthio camelus,R
Somali Ostrich,Struthio molybdophanes,UR
Greater Rhea,Rhea americana,R
,Rhea nana,NR
Lesser Rhea,Rhea pennata,R
,Pterocnemia tarapacensis,NR
Southern Cassowary,Casuarius casuarius,R
Dwarf Cassowary,Casuarius bennetti,R
Northern Cassowary,Casuarius unappendiculatus,R
,Dromaius novaehollandiae,NR
Emu,Dromaius novaehollandiae,R
King Island Emu,Dromaius ater,R
Kangaroo Island Emu,Dromaius baudinianus,R
,Apteryx australis,NR
Southern Brown Kiwi,Apteryx australis,R
Northern Brown Kiwi,Apteryx mantelli,R
Okarito Brown Kiwi,Apteryx rowi,UR
Little Spotted Kiwi,Apteryx owenii,R
Great Spotted Kiwi,Apteryx haastii,R
Australian Brush-turkey,Alectura lathami,R
Wattled Brush-turkey,Aepypodius arfakianus,R
Bruijn's Brush-turkey,Aepypodius bruijnii,R
Red-billed Brush-turkey,Talegalla cuvieri,R
Black-billed Brush-turkey,Talegalla fuscirostris,R
Brown-collared Brush-turkey,Talegalla jobiensis,R
Malleefowl,Leipoa ocellata,R
Maleo,Macrocephalon maleo,R
Moluccan Megapode,Eulipoa wallacei,R
Nicobar Megapode,Megapodius nicobariensis,R
Tabon Megapode,Megapodius cumingii,R
Sula Megapode,Megapodius bernsteinii,R
,Megapodius reinwardt,NR
Orange-footed Megapode,Megapodius reinwardt,R
Tanimbar Megapode,Megapodius tenimberensis,R
,Megapodius freycinet,NR
Dusky Megapode,Megapodius freycinet,R
Biak Megapode,Megapodius geelvinkianus,R
New Guinea Megapode,Megapodius affinis,R
Melanesian Megapode,Megapodius eremita,R
Vanuatu Megapode,Megapodius layardi,R
Micronesian Megapode,Megapodius laperouse,R
Polynesian Megapode,Megapodius pritchardii,R
,Megapodius stairi,NR
,Megapodius forstenii,NR
Plain Chachalaca,Ortalis vetula,R
Grey-headed Chachalaca,Ortalis cinereiceps,R
Chestnut-winged Chachalaca,Ortalis garrula,R
Rufous-vented Chachalaca,Ortalis ruficauda,R
Rufous-headed Chachalaca,Ortalis erythroptera,R
Rufous-bellied Chachalaca,Ortalis wagleri,R
West Mexican Chachalaca,Ortalis poliocephala,R
Chaco Chachalaca,Ortalis canicollis,R
White-bellied Chachalaca,Ortalis leucogastra,R
Speckled Chachalaca,Ortalis guttata,R
,Ortalis guttata,NR
,Ortalis colombiana,NR
,Ortalis araucuan,NR
Little Chachalaca,Ortalis motmot,R
Buff-browed Chachalaca,Ortalis superciliaris,R
Band-tailed Guan,Penelope argyrotis,R
Bearded Guan,Penelope barbata,R
Baudo Guan,Penelope ortoni,R
Andean Guan,Penelope montagnii,R
Marail Guan,Penelope marail,R
Rusty-margined Guan,Penelope superciliaris,R
Red-faced Guan,Penelope dabbenei,R
Crested Guan,Penelope purpurascens,R
Cauca Guan,Penelope perspicax,R
White-winged Guan,Penelope albipennis,R
Spix's Guan,Penelope jacquacu,R
Dusky-legged Guan,Penelope obscura,R
White-crested Guan,Penelope pileata,R
Chestnut-bellied Guan,Penelope ochrogaster,R
White-browed Guan,Penelope jacucaca,R
Trinidad Piping-guan,Pipile pipile,R
Blue-throated Piping-guan,Pipile cumanensis,R
Red-throated Piping-guan,Pipile cujubi,R
Black-fronted Piping-guan,Pipile jacutinga,R
Wattled Guan,Aburria aburri,R
Black Guan,Chamaepetes unicolor,R
Sickle-winged Guan,Chamaepetes goudotii,R
Highland Guan,Penelopina nigra,R
Horned Guan,Oreophasis derbianus,R
Nocturnal Curassow,Nothocrax urumutum,R
Crestless Curassow,Mitu tomentosum,R
Salvin's Curassow,Mitu salvini,R
Razor-billed Curassow,Mitu tuberosum,R
Alagoas Curassow,Mitu mitu,R
Helmeted Curassow,Pauxi pauxi,R
Horned Curassow,Pauxi unicornis,R
Great Curassow,Crax rubra,R
Blue-billed Curassow,Crax alberti,R
Yellow-knobbed Curassow,Crax daubentoni,R
Black Curassow,Crax alector,R
Wattled Curassow,Crax globulosa,R
Bare-faced Curassow,Crax fasciolata,R
Red-billed Curassow,Crax blumenbachii,R
White-breasted Guineafowl,Agelastes meleagrides,R
Black Guineafowl,Agelastes niger,R
Helmeted Guineafowl,Numida meleagris,R
Plumed Guineafowl,Guttera plumifera,R
Crested Guineafowl,Guttera pucherani,R
Vulturine Guineafowl,Acryllium vulturinum,R
Bearded Wood-partridge,Dendrortyx barbatus,R
Long-tailed Wood-partridge,Dendrortyx macroura,R
Buffy-crowned Wood-partridge,Dendrortyx leucophrys,R
Mountain Quail,Oreortyx pictus,R
Scaled Quail,Callipepla squamata,R
Elegant Quail,Callipepla douglasii,R
California Quail,Callipepla californica,R
Gambel's Quail,Callipepla gambelii,R
Banded Quail,Philortyx fasciatus,R
Northern Bobwhite,Colinus virginianus,R
,Colinus ridgwayi,NR
Black-throated Bobwhite,Colinus nigrogularis,R
Crested Bobwhite,Colinus cristatus,R
Marbled Wood-quail,Odontophorus gujanensis,R
Spot-winged Wood-quail,Odontophorus capueira,R
Black-eared Wood-quail,Odontophorus melanotis,R
Rufous-fronted Wood-quail,Odontophorus erythrops,R
Black-fronted Wood-quail,Odontophorus atrifrons,R
Chestnut Wood-quail,Odontophorus hyperythrus,R
Dark-backed Wood-quail,Odontophorus melanonotus,R
Rufous-breasted Wood-quail,Odontophorus speciosus,R
Tacarcuna Wood-quail,Odontophorus dialeucos,R
Gorgeted Wood-quail,Odontophorus strophium,R
Venezuelan Wood-quail,Odontophorus columbianus,R
Black-breasted Wood-quail,Odontophorus leucolaemus,R
Stripe-faced Wood-quail,Odontophorus balliviani,R
Starred Wood-quail,Odontophorus stellatus,R
Spotted Wood-quail,Odontophorus guttatus,R
Singing Quail,Dactylortyx thoracicus,R
Montezuma Quail,Cyrtonyx montezumae,R
,Cyrtonyx sallei,NR
Ocellated Quail,Cyrtonyx ocellatus,R
Tawny-faced Quail,Rhynchortyx cinctus,R
Wild Turkey,Meleagris gallopavo,R
Ocellated Turkey,Meleagris ocellata,R
Hazel Grouse,Bonasa bonasia,R
Chinese Grouse,Bonasa sewerzowi,R
Ruffed Grouse,Bonasa umbellus,R
Black Grouse,Tetrao tetrix,R
Caucasian Grouse,Tetrao mlokosiewiczi,R
Western Capercaillie,Tetrao urogallus,R
Black-billed Capercaillie,Tetrao parvirostris,R
,Centrocercus urophasianus,NR
Greater Sage-grouse,Centrocercus urophasianus,R
Gunnison Sage-grouse,Centrocercus minimus,R
Siberian Grouse,Dendragapus falcipennis,R
Spruce Grouse,Dendragapus canadensis,R
,Dendragapus obscurus,NR
Dusky Grouse,Dendragapus obscurus,R
Sooty Grouse,Dendragapus fuliginosus,R
Sharp-tailed Grouse,Tympanuchus phasianellus,R
