"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"1","Onychoprion aleuticus","Aleutian Tern","kootl’éet’aa","Laridae","Charadriiformes",37.3,23.2,4.1,6.5,17.3,262.2,185,82,69.3,152.4,120,"Sterna aleutica","Sterna aleutica","Aleutian Tern","Laridae","Tlingit",1,"Charadriiformes"
"2","Cinclus mexicanus","American Dipper","hinyikl’eixí","Cinclidae","Passeriformes",21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,26.5,51.8,56.7,"Cinclus mexicanus","Cinclus mexicanus","American Dipper","Cinclidae","Tlingit",2,"Passeriformes"
"3","Falco sparverius","American Kestrel","k’ákw","Falconidae","Falconiformes",17.1,11,8.4,10.1,33.7,182.4,77.9,100.1,43.7,126.5,114.6,"Falco sparverius","Falco sparverius","American Kestrel","Falconidae","Tlingit",3,"Falconiformes"
"4","Synthliboramphus antiquus","Ancient Murrelet","káax","Alcidae","Charadriiformes",23.6,12.7,5,7.1,25.9,135.5,70.2,65.2,51.9,35.5,217.7,"Synthliboramphus antiquus","Synthliboramphus antiquus","Ancient Murrelet","Alcidae","Tlingit",4,"Charadriiformes"
"5","Calypte anna","Anna's Hummingbird","dagitgiyáa","Trochilidae","Caprimulgiformes",20.6,15.7,1.6,1.7,4.6,49,32.1,16.9,65.6,30,4.2,"Calypte anna","Calypte anna","Anna's Hummingbird","Trochilidae","Tlingit",5,"Apodiformes"
"6","Sterna paradisaea","Arctic Tern","kootl’éet’aa","Laridae","Charadriiformes",37.8,22.8,3.8,7,16.1,262.7,181.1,80.9,69.1,179.6,110,"Sterna paradisaea","Sterna paradisaea","Arctic Tern","Laridae","Tlingit",6,"Charadriiformes"
"7","Haliaeetus leucocephalus","Bald Eagle","ch’áak’","Accipitridae","Accipitriformes",76,48.2,24,34.1,81.7,601.8,248.8,353,41.4,294,4700.6,"Haliaeetus leucocephalus","Haliaeetus leucocephalus","Bald Eagle","Accipitridae","Tlingit",7,"Falconiformes"
"8","Hirundo rustica","Barn Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,"Hirundo rustica","Hirundo rustica","Barn Swallow","Hirundinidae","Tlingit",8,"Passeriformes"
"9","Bucephala islandica","Barrow's Goldeneye","hinyik-gáaxu","Anatidae","Anseriformes",34.9,18.2,16.6,12.7,38.2,221.7,103,115,47.2,86,921.2,"Bucephala islandica","Bucephala islandica","Barrow's Goldeneye","Anatidae","Tlingit",9,"Anseriformes"
"10","Megaceryle alcyon","Belted Kingfisher","tlaxaneis’","Alcedinidae","Coraciiformes",58.6,44.8,9.5,13.4,12.5,158.8,53.2,105,33.6,94.3,148,"Megaceryle alcyon","Ceryle alcyon","Belted Kingfisher","Alcedinidae","Tlingit",10,"Coraciiformes"
